Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
2515,0,0,0,0,431,115,3061,1313,4374,0.0323899,-0.126958,-0.991379,0
2645,0,0,0,0,548,136,3329,604,3933,0.0237094,-0.0933642,-0.99535,0
2522,0,0,0,0,445,116,3083,638,3721,0.0111812,-0.0422561,-0.999044,0
2627,0,0,0,0,428,106,3161,1257,4418,-0.00970103,0.0229129,-0.99969,0
2578,0,0,0,0,424,104,3106,1434,4540,-0.0103996,0.0227087,-0.999688,0
2624,0,0,0,0,440,104,3168,1518,4686,-0.0118428,0.0216753,-0.999695,0
2621,0,0,0,0,424,103,3148,1424,4572,-0.0106833,0.0222902,-0.999694,0
2589,0,0,0,0,484,108,3181,1641,4822,-0.0106835,0.0226882,-0.999686,0
2640,0,0,0,0,502,102,3244,1422,4666,-0.0105702,0.0226335,-0.999688,0
2658,0,0,0,0,467,107,3232,1476,4708,-0.0102927,0.0224818,-0.999694,0
2549,0,0,0,0,483,105,3137,1427,4564,-0.0106724,0.0222292,-0.999696,0
2523,0,0,0,0,447,107,3077,1136,4213,-0.00977967,0.0257807,-0.99962,0
2527,0,0,0,0,456,116,3099,1416,4515,-0.010124,0.0222458,-0.999701,0
2621,0,0,0,0,423,108,3152,1462,4614,-0.0106042,0.0223318,-0.999694,0
2564,0,0,0,0,490,107,3161,1464,4625,-0.0103924,0.0226965,-0.999688,0
2701,0,0,0,0,419,125,3245,1508,4753,-0.0110586,0.02234,-0.999689,0
2760,0,0,0,0,471,106,3337,1560,4897,-0.0104608,0.0225912,-0.99969,0
2696,0,0,0,0,522,112,3330,1367,4697,-0.0105448,0.0219256,-0.999704,0
2554,0,0,0,0,435,107,3096,1347,4443,-0.0105564,0.0215825,-0.999711,0
2540,0,0,0,0,431,106,3077,499,3576,-0.0116331,0.0243472,-0.999636,0
2701,0,0,0,0,434,109,3244,1381,4625,-0.010825,0.0218459,-0.999703,0
2703,0,0,0,0,523,122,3348,1625,4973,-0.010338,0.0223503,-0.999697,0
2657,0,0,0,0,434,103,3194,1502,4696,-0.0108071,0.0215091,-0.99971,0
2617,0,0,0,0,500,195,3312,1569,4881,-0.0109332,0.0213335,-0.999713,0
2717,0,0,0,0,432,107,3256,1456,4712,-0.0108156,0.0218454,-0.999703,0
2514,0,0,0,0,464,106,3084,1502,4586,-0.0105852,0.0221432,-0.999699,0
2644,0,0,0,0,467,133,3244,1383,4627,-0.00926687,0.0224896,-0.999704,0
2610,0,0,0,0,475,113,3198,1451,4649,-0.0103111,0.0218005,-0.999709,0
2586,0,0,0,0,459,105,3150,1383,4533,-0.010776,0.0220321,-0.999699,0
2531,0,0,0,0,457,104,3092,1417,4509,-0.0104358,0.022213,-0.999699,0
2689,0,0,0,0,488,103,3280,1487,4767,-0.0108359,0.0218823,-0.999702,0
3528,0,0,0,0,525,111,4164,1541,5705,-0.0104137,0.0221675,-0.9997,0
2640,0,0,0,0,520,137,3297,1468,4765,-0.011126,0.0216006,-0.999705,0
2579,0,0,0,0,509,104,3192,1544,4736,-0.0107044,0.0221096,-0.999698,0
