Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7340,0,0,0,0,858,229,8427,3722,12149,-0.0413431,0.0561348,-0.997567,0
3017,0,0,0,0,521,140,3678,828,4506,-0.00447227,0.0377989,-0.999275,0
3281,0,0,0,0,577,134,3992,1003,4995,-0.00182088,0.0342444,-0.999412,0
2005,0,0,0,0,559,124,2688,718,3406,-0.000949821,0.0330393,-0.999454,0
2315,0,0,0,0,413,115,2843,799,3642,-0.00048279,0.0332171,-0.999448,0
3102,0,0,0,0,519,131,3752,979,4731,0.00145796,0.034743,-0.999395,0
3524,0,0,0,0,596,143,4263,926,5189,0.00468996,0.0363426,-0.999328,0
2075,0,0,0,0,390,102,2567,872,3439,0.005738,0.0373224,-0.999287,0
2421,0,0,0,0,451,112,2984,944,3928,0.00524633,0.0397839,-0.999195,0
2266,0,0,0,0,457,127,2850,1215,4065,0.00572372,0.0427514,-0.999069,0
2343,0,0,0,0,465,141,2949,739,3688,0.00541319,0.046159,-0.99892,0
2368,0,0,0,0,415,106,2889,722,3611,0.00766504,0.0517323,-0.998632,0
6130,0,0,0,0,1173,279,7582,1858,9440,0.0133365,0.0593209,-0.99815,0
6204,0,0,0,0,1180,281,7665,1868,9533,0.0119565,0.0576932,-0.998263,0
4501,0,0,0,0,857,216,5574,1384,6958,0.0121125,0.0611603,-0.998054,0
4374,0,0,0,0,776,196,5346,1581,6927,0.00934222,0.0624638,-0.998004,0
6801,0,0,0,0,1368,333,8502,2436,10938,0.0115503,0.0670279,-0.997684,0
6509,0,0,0,0,794,246,7549,1648,9197,0.0139564,0.0694034,-0.997491,0
6618,0,0,0,0,918,231,7767,2005,9772,0.0150711,0.0690022,-0.997503,0
3904,0,0,0,0,635,164,4703,1710,6413,0.014739,0.0666237,-0.997669,0
3710,0,0,0,0,617,160,4487,1813,6300,0.0127193,0.0762196,-0.99701,0
6292,0,0,0,0,1023,279,7594,1900,9494,0.0100344,0.0840961,-0.996407,0
3673,0,0,0,0,632,162,4467,1503,5970,0.0113186,0.0754436,-0.997086,0
6358,0,0,0,0,1710,380,8448,2254,10702,0.01329,0.0976061,-0.995136,0
5641,0,0,0,0,790,206,6637,2005,8642,0.0148104,0.0765635,-0.996955,0
2585,0,0,0,0,486,131,3202,1529,4731,0.016595,0.0737151,-0.997141,0
6836,0,0,0,0,1178,277,8291,4354,12645,0.0131945,0.0857405,-0.99623,0
6337,0,0,0,0,1144,328,7809,2365,10174,0.0124645,0.0930975,-0.995579,0
6930,0,0,0,0,828,195,7953,1811,9764,0.0127561,0.090559,-0.995809,0
2788,0,0,0,0,597,141,3526,1137,4663,0.0138705,0.0888232,-0.995951,0
3434,0,0,0,0,658,179,4271,1198,5469,0.0140347,0.0906989,-0.99578,0
4380,0,0,0,0,679,190,5249,1418,6667,0.0167062,0.0959006,-0.995251,0
4416,0,0,0,0,734,157,5307,1411,6718,0.0164658,0.0992553,-0.994926,0
5096,0,0,0,0,775,214,6085,1717,7802,0.0124702,0.102088,-0.994697,0
5405,0,0,0,0,1021,211,6637,1550,8187,0.00911978,0.100866,-0.994858,0
5230,0,0,0,0,716,226,6172,1952,8124,0.00230386,0.102439,-0.994737,0
