Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6221,0,0,0,0,1098,323,7642,1666,9308,0.0149374,-0.116268,-0.993106,0
6571,0,0,0,0,1085,252,7908,1160,9068,0.0143285,-0.101772,-0.994705,0
4380,0,0,0,0,767,176,5323,908,6231,0.0150912,-0.0978342,-0.995088,0
6930,0,0,0,0,1241,251,8422,2377,10799,0.012216,-0.0803682,-0.99669,0
6060,0,0,0,0,1075,250,7385,2539,9924,0.00406005,-0.0384758,-0.999251,0
6269,0,0,0,0,1102,257,7628,3233,10861,0.00270575,0.000144111,-0.999997,0
7061,0,0,0,0,1189,282,8532,4653,13185,-0.00164303,0.0183159,-0.999831,0
5930,0,0,0,0,1161,347,7438,5449,12887,-0.0047141,0.024304,-0.999694,0
3202,0,0,0,0,567,133,3902,2629,6531,-0.00540801,0.0282474,-0.999586,0
7365,0,0,0,0,1154,258,8777,5205,13982,-0.00369415,0.031538,-0.999496,0
6036,0,0,0,0,1046,246,7328,5363,12691,-0.00137396,0.0308226,-0.999524,0
6364,0,0,0,0,1103,252,7719,4443,12162,-0.00237846,0.0283903,-0.999594,0
4161,0,0,0,0,727,172,5060,3289,8349,-0.00275684,0.0257096,-0.999666,0
6651,0,0,0,0,1206,281,8138,4901,13039,-0.00270338,0.024414,-0.999698,0
6925,0,0,0,0,1223,255,8403,5428,13831,-0.00326344,0.0233552,-0.999722,0
5906,0,0,0,0,1065,261,7232,5049,12281,-0.00298544,0.0239179,-0.999709,0
6042,0,0,0,0,1124,254,7420,5018,12438,-0.00337139,0.0236294,-0.999715,0
6672,0,0,0,0,1216,287,8175,4917,13092,-0.00327033,0.0226089,-0.999739,0
6656,0,0,0,0,1197,303,8156,5106,13262,-0.00221245,0.0224415,-0.999746,0
5992,0,0,0,0,1173,344,7509,5325,12834,-0.00222827,0.0239228,-0.999711,0
5400,0,0,0,0,959,225,6584,4687,11271,-0.00202818,0.0228867,-0.999736,0
6726,0,0,0,0,1233,257,8216,5269,13485,-0.00300922,0.0247247,-0.99969,0
6077,0,0,0,0,1072,250,7399,5639,13038,-0.0047346,0.0261871,-0.999646,0
6263,0,0,0,0,1075,254,7592,5588,13180,-0.00407781,0.0254192,-0.999669,0
4143,0,0,0,0,749,176,5068,3773,8841,-0.00400942,0.0266307,-0.999637,0
5967,0,0,0,0,1191,257,7415,5289,12704,-0.004989,0.0276022,-0.999606,0
6097,0,0,0,0,1092,255,7444,5500,12944,-0.0054439,0.0270059,-0.99962,0
6117,0,0,0,0,1071,255,7443,5268,12711,-0.00569679,0.0268326,-0.999623,0
6227,0,0,0,0,1088,255,7570,5282,12852,-0.00631444,0.0279737,-0.999589,0
6178,0,0,0,0,1072,252,7502,5389,12891,-0.0053195,0.0279247,-0.999596,0
6213,0,0,0,0,1074,255,7542,5344,12886,-0.00525328,0.0283997,-0.999583,0
6038,0,0,0,0,1108,257,7403,5321,12724,-0.00548614,0.0290336,-0.999563,0
6790,0,0,0,0,1224,297,8311,6281,14592,-0.00477743,0.0301334,-0.999534,0
6068,0,0,0,0,1071,288,7427,5208,12635,-0.00329981,0.0297319,-0.999552,0
6134,0,0,0,0,1080,256,7470,5338,12808,-0.00306562,0.0291779,-0.99957,0
6339,0,0,0,0,1083,255,7677,5292,12969,-0.00304572,0.0286546,-0.999585,0
6819,0,0,0,0,1230,286,8335,5514,13849,-0.0022642,0.027086,-0.99963,0
6022,0,0,0,0,1123,257,7402,5468,12870,-0.00429033,0.0265318,-0.999639,0
6710,0,0,0,0,1252,289,8251,5658,13909,-0.00601568,0.0284463,-0.999577,0
6071,0,0,0,0,1086,254,7411,5454,12865,-0.00725186,0.0306048,-0.999505,0
6847,0,0,0,0,1227,258,8332,5396,13728,-0.00685852,0.0317347,-0.999473,0
7033,0,0,0,0,1211,287,8531,6154,14685,-0.00514186,0.0311884,-0.9995,0
4655,0,0,0,0,863,191,5709,4352,10061,-0.00480183,0.0292469,-0.999561,0
6884,0,0,0,0,1212,254,8350,5345,13695,-0.00442348,0.0264972,-0.999639,0
7190,0,0,0,0,1265,288,8743,6034,14777,-0.00541433,0.0245136,-0.999685,0
6944,0,0,0,0,1209,270,8423,6310,14733,-0.000130913,0.0242313,-0.999707,0
4430,0,0,0,0,780,183,5393,3836,9229,0.00459407,0.025104,-0.999674,0
7070,0,0,0,0,1305,398,8773,6222,14995,0.0060018,0.0245961,-0.99968,0
7157,0,0,0,0,1265,299,8721,5456,14177,0.000428585,0.0241942,-0.999707,0
6176,0,0,0,0,1236,325,7737,5807,13544,-0.0039618,0.0265495,-0.99964,0
4193,0,0,0,0,775,201,5169,3975,9144,-0.00534433,0.0271362,-0.999617,0
5358,0,0,0,0,1058,236,6652,4997,11649,-0.00429673,0.02889,-0.999573,0
6924,0,0,0,0,1295,324,8543,6712,15255,-0.00354712,0.0311112,-0.99951,0
6838,0,0,0,0,1289,300,8427,4857,13284,-0.00467272,0.0321791,-0.999471,0
4291,0,0,0,0,786,205,5282,3969,9251,-0.00519902,0.033451,-0.999427,0
6790,0,0,0,0,1332,298,8420,5755,14175,-0.00534372,0.034949,-0.999375,0
6987,0,0,0,0,1308,301,8596,4698,13294,-0.00549012,0.0375096,-0.999281,0
4152,0,0,0,0,787,181,5120,3764,8884,-0.00597285,0.0392807,-0.99921,0
6917,0,0,0,0,1270,295,8482,5994,14476,-0.00692747,0.0460906,-0.998913,0
6913,0,0,0,0,1249,299,8461,5631,14092,-0.0069755,0.0445875,-0.998981,0
7650,0,0,0,0,1267,300,9217,4307,13524,-0.00724005,0.0474492,-0.998847,0
3350,0,0,0,0,615,144,4109,2730,6839,-0.00576967,0.0429061,-0.999062,0
7866,0,0,0,0,1218,308,9392,5305,14697,-0.00571274,0.0389014,-0.999226,0
6861,0,0,0,0,1593,382,8836,5784,14620,-0.00443637,0.035352,-0.999365,0
4550,0,0,0,0,841,232,5623,3786,9409,-0.00589961,0.0335351,-0.99942,0
4452,0,0,0,0,816,191,5459,4264,9723,-0.00534096,0.0323438,-0.999463,0
6176,0,0,0,0,1131,256,7563,766,8329,-0.00751084,0.0214875,-0.999741,0
6441,0,0,0,0,1143,259,7843,5025,12868,-0.00335863,0.0265398,-0.999642,0
7443,0,0,0,0,1277,312,9032,6019,15051,-0.00439769,0.0304931,-0.999525,0
6882,0,0,0,0,1245,290,8417,4255,12672,-0.00543574,0.031225,-0.999498,0
3410,0,0,0,0,624,144,4178,3136,7314,-0.00604674,0.0319019,-0.999473,0
6622,0,0,0,0,1142,260,8024,5430,13454,-0.00510269,0.0327851,-0.999449,0
6215,0,0,0,0,1127,260,7602,1073,8675,-0.00277044,0.0255254,-0.99967,0
6786,0,0,0,0,1266,312,8364,5633,13997,-0.00236425,0.0301766,-0.999542,0
4126,0,0,0,0,762,177,5065,3719,8784,-0.00291549,0.0318114,-0.99949,0
6881,0,0,0,0,1262,291,8434,5560,13994,-0.00324664,0.0312384,-0.999507,0
6739,0,0,0,0,1104,256,8099,4998,13097,-0.00459917,0.0305504,-0.999523,0
6134,0,0,0,0,1112,256,7502,5297,12799,-0.00554336,0.0314837,-0.999489,0
6178,0,0,0,0,1259,358,7795,4716,12511,-0.0054548,0.0329576,-0.999442,0
4155,0,0,0,0,745,177,5077,3438,8515,-0.0048824,0.0338188,-0.999416,0
6996,0,0,0,0,1279,290,8565,5565,14130,-0.00380391,0.0370087,-0.999308,0
6162,0,0,0,0,1129,256,7547,5617,13164,-0.007098,0.0432285,-0.99904,0
4173,0,0,0,0,785,175,5133,3140,8273,-0.00678686,0.0500822,-0.998722,0
6496,0,0,0,0,1085,253,7834,3922,11756,-0.00755228,0.0573385,-0.998326,0
6723,0,0,0,0,1100,290,8113,3188,11301,-0.00877405,0.0717791,-0.997382,0
7072,0,0,0,0,1181,315,8568,2595,11163,-0.00622818,0.0894098,-0.995975,0
6670,0,0,0,0,1156,270,8096,2557,10653,-0.0065155,0.116513,-0.993168,0
6752,0,0,0,0,1108,263,8123,1704,9827,-0.0053496,0.145696,-0.989315,0
5813,0,0,0,0,959,225,6997,1566,8563,-0.0118769,0.193905,-0.980949,0
5856,0,0,0,0,972,228,7056,1506,8562,-0.0187465,0.257816,-0.966012,0
6618,0,0,0,0,1100,243,7961,1664,9625,-0.044172,0.304361,-0.951532,0
5970,0,0,0,0,890,201,7061,1333,8394,-0.0704609,0.359357,-0.930536,0
5974,0,0,0,0,787,183,6944,1645,8589,-0.102474,0.43649,-0.893854,0
5829,0,0,0,0,733,172,6734,1621,8355,-0.106095,0.515185,-0.850487,0
5660,0,0,0,0,691,163,6514,1717,8231,-0.102909,0.593808,-0.797999,0
6541,0,0,0,0,742,178,7461,1696,9157,-0.110424,0.677543,-0.727146,0
6350,0,0,0,0,697,183,7230,-1000,-1000,-1,-1,-1,0
5658,0,0,0,0,609,192,6459,3139,9598,-0.0144692,0.171539,-0.985071,0
5797,0,0,0,0,571,138,6506,3319,9825,-0.013652,0.201522,-0.979389,0
5562,0,0,0,0,588,130,6280,2370,8650,-0.0143568,0.181506,-0.983285,0
5615,0,0,0,0,482,116,6213,3039,9252,-0.0256298,0.198716,-0.979722,0
5533,0,0,0,0,418,103,6054,2406,8460,-0.0149639,0.198567,-0.979973,0
5325,0,0,0,0,370,93,5788,2770,8558,-0.00310902,0.207566,-0.978216,0
5286,0,0,0,0,372,87,5745,2778,8523,0.0130261,0.143447,-0.989572,0
5393,0,0,0,0,328,80,5801,2680,8481,0.0179854,0.180361,-0.983436,0
5392,0,0,0,0,316,83,5791,2360,8151,0.0109409,0.150383,-0.988567,0
5326,0,0,0,0,304,77,5707,2147,7854,-0.0114327,0.191135,-0.981497,0
5406,0,0,0,0,315,83,5804,2439,8243,-0.0174736,0.178175,-0.983844,0
5507,0,0,0,0,346,92,5945,2345,8290,-0.0124915,0.148871,-0.988778,0
5806,0,0,0,0,377,103,6286,2403,8689,-0.0249503,0.175325,-0.984194,0
5666,0,0,0,0,431,112,6209,2267,8476,-0.0189737,0.159373,-0.987036,0
5706,0,0,0,0,459,117,6282,2017,8299,-0.0385077,0.19314,-0.980415,0
6105,0,0,0,0,552,147,6804,1896,8700,-0.0456981,0.231379,-0.97179,0
6397,0,0,0,0,588,143,7128,1563,8691,-0.0479101,0.236025,-0.970565,0
5953,0,0,0,0,634,156,6743,1792,8535,-0.0542618,0.289241,-0.955717,0
6057,0,0,0,0,720,172,6949,1468,8417,-0.0724424,0.353823,-0.932503,0
6594,0,0,0,0,783,192,7569,2133,9702,-0.0808129,0.416367,-0.905598,0
6152,0,0,0,0,870,212,7234,1505,8739,-0.0847646,0.483132,-0.871435,0
6305,0,0,0,0,965,232,7502,1035,8537,-0.105776,0.594507,-0.797103,0
6389,0,0,0,0,1118,260,7767,1063,8830,-0.117625,0.580407,-0.805787,0
6390,0,0,0,0,1135,268,7793,1092,8885,-0.0446429,0.632162,-0.773549,0
6626,0,0,0,0,1134,261,8021,-1000,-1000,-1,-1,-1,0
6305,0,0,0,0,1035,241,7581,3507,11088,0.00395042,0.111272,-0.993782,0
5510,0,0,0,0,857,197,6564,1903,8467,0.0191658,0.161701,-0.986654,0
5939,0,0,0,0,825,187,6951,1883,8834,0.00118214,0.261266,-0.965267,0
5864,0,0,0,0,656,163,6683,1374,8057,-0.000571888,0.369442,-0.929254,0
5792,0,0,0,0,561,129,6482,1452,7934,-0.00944302,0.482163,-0.876031,0
5616,0,0,0,0,527,118,6261,1354,7615,-0.0111283,0.565072,-0.824967,0
5958,0,0,0,0,481,111,6550,1568,8118,-0.0124202,0.678564,-0.734437,0
5612,0,0,0,0,484,111,6207,-1000,-1000,-1,-1,-1,0
5663,0,0,0,0,476,113,6252,3165,9417,-0.0246213,0.230318,-0.972804,0
6262,0,0,0,0,531,118,6911,2969,9880,-0.0299926,0.303871,-0.952241,0
5726,0,0,0,0,480,126,6332,1419,7751,-0.0229798,0.364234,-0.931024,0
5709,0,0,0,0,478,116,6303,2082,8385,-0.00835129,0.416117,-0.909273,0
5680,0,0,0,0,505,132,6317,2056,8373,-0.0104582,0.450313,-0.892809,0
