Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5247,0,0,0,0,90,47,5384,1215,6599,-0.0205087,-0.0613034,-0.997909,0
5255,0,0,0,0,88,34,5377,-1000,-1000,-1,-1,-1,0
5351,0,0,0,0,87,34,5472,-1000,-1000,-1,-1,-1,0
3620,0,0,0,0,59,23,3702,-1000,-1000,-1,-1,-1,0
3397,0,0,0,0,56,20,3473,-1000,-1000,-1,-1,-1,0
5143,0,0,0,0,82,31,5256,-1000,-1000,-1,-1,-1,0
4870,0,0,0,0,88,30,4988,-1000,-1000,-1,-1,-1,0
5146,0,0,0,0,84,33,5263,-1000,-1000,-1,-1,-1,0
3427,0,0,0,0,56,20,3503,-1000,-1000,-1,-1,-1,0
4955,0,0,0,0,85,29,5069,-1000,-1000,-1,-1,-1,0
4937,0,0,0,0,82,30,5049,-1000,-1000,-1,-1,-1,0
3441,0,0,0,0,57,22,3520,-1000,-1000,-1,-1,-1,0
5017,0,0,0,0,84,32,5133,-1000,-1000,-1,-1,-1,0
5976,0,0,0,0,86,35,6097,-1000,-1000,-1,-1,-1,0
5097,0,0,0,0,85,31,5213,-1000,-1000,-1,-1,-1,0
2660,0,0,0,0,47,16,2723,-1000,-1000,-1,-1,-1,0
4963,0,0,0,0,85,33,5081,-1000,-1000,-1,-1,-1,0
4991,0,0,0,0,85,31,5107,-1000,-1000,-1,-1,-1,0
5096,0,0,0,0,83,30,5209,-1000,-1000,-1,-1,-1,0
5053,0,0,0,0,86,33,5172,-1000,-1000,-1,-1,-1,0
5039,0,0,0,0,81,31,5151,-1000,-1000,-1,-1,-1,0
3653,0,0,0,0,58,23,3734,-1000,-1000,-1,-1,-1,0
5184,0,0,0,0,82,32,5298,-1000,-1000,-1,-1,-1,0
5139,0,0,0,0,82,31,5252,-1000,-1000,-1,-1,-1,0
3551,0,0,0,0,58,21,3630,-1000,-1000,-1,-1,-1,0
4603,0,0,0,0,94,31,4728,-1000,-1000,-1,-1,-1,0
4996,0,0,0,0,84,30,5110,-1000,-1000,-1,-1,-1,0
5148,0,0,0,0,81,31,5260,-1000,-1000,-1,-1,-1,0
4886,0,0,0,0,81,40,5007,-1000,-1000,-1,-1,-1,0
5093,0,0,0,0,85,32,5210,-1000,-1000,-1,-1,-1,0
3475,0,0,0,0,58,21,3554,-1000,-1000,-1,-1,-1,0
5079,0,0,0,0,84,33,5196,-1000,-1000,-1,-1,-1,0
5014,0,0,0,0,81,31,5126,-1000,-1000,-1,-1,-1,0
5011,0,0,0,0,82,32,5125,-1000,-1000,-1,-1,-1,0
5047,0,0,0,0,83,34,5164,-1000,-1000,-1,-1,-1,0
5085,0,0,0,0,84,30,5199,-1000,-1000,-1,-1,-1,0
6364,0,0,0,0,80,34,6478,-1000,-1000,-1,-1,-1,0
4764,0,0,0,0,58,21,4843,-1000,-1000,-1,-1,-1,0
2095,0,0,0,0,33,12,2140,-1000,-1000,-1,-1,-1,0
1796,0,0,0,0,29,10,1835,-1000,-1000,-1,-1,-1,0
5075,0,0,0,0,79,29,5183,-1000,-1000,-1,-1,-1,0
5077,0,0,0,0,84,30,5191,-1000,-1000,-1,-1,-1,0
4909,0,0,0,0,79,30,5018,-1000,-1000,-1,-1,-1,0
5039,0,0,0,0,80,30,5149,-1000,-1000,-1,-1,-1,0
3421,0,0,0,0,58,20,3499,-1000,-1000,-1,-1,-1,0
