Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6808,0,0,0,0,724,222,7754,3543,11297,-0.0464493,-0.0832837,-0.995443,0
5769,0,0,0,0,684,160,6613,1472,8085,-0.0509305,-0.068215,-0.99637,0
6646,0,0,0,0,725,182,7553,1940,9493,-0.0554334,-0.0629962,-0.996473,0
6530,0,0,0,0,722,178,7430,1934,9364,-0.0578023,-0.0588082,-0.996594,0
6613,0,0,0,0,720,179,7512,1966,9478,-0.0538676,-0.0508415,-0.997253,0
6441,0,0,0,0,634,156,7231,1949,9180,-0.050485,-0.0418498,-0.997848,0
6591,0,0,0,0,728,180,7499,1651,9150,-0.047313,-0.03768,-0.998169,0
6533,0,0,0,0,733,177,7443,1721,9164,-0.036542,-0.0212177,-0.999107,0
6657,0,0,0,0,732,178,7567,1920,9487,-0.0292106,-0.0133473,-0.999484,0
5988,0,0,0,0,615,150,6753,1779,8532,-0.0235119,-0.00678029,-0.999701,0
5884,0,0,0,0,614,184,6682,1479,8161,-0.0201882,0.00102962,-0.999796,0
6593,0,0,0,0,694,171,7458,1969,9427,-0.0153485,0.00707416,-0.999857,0
4489,0,0,0,0,345,90,4924,948,5872,-0.010304,0.016372,-0.999813,0
2555,0,0,0,0,290,69,2914,782,3696,-0.00834339,0.0196768,-0.999772,0
6457,0,0,0,0,630,159,7246,1676,8922,-0.00874383,0.0192863,-0.999776,0
6629,0,0,0,0,701,175,7505,2004,9509,-0.00615399,0.0213775,-0.999753,0
4339,0,0,0,0,496,115,4950,1211,6161,-0.00800391,0.0198571,-0.999771,0
6494,0,0,0,0,698,192,7384,2015,9399,-0.00523326,0.0233962,-0.999713,0
6597,0,0,0,0,681,168,7446,1974,9420,-0.00519798,0.027177,-0.999617,0
6423,0,0,0,0,447,110,6980,1279,8259,-0.00834119,0.0309929,-0.999485,0
2575,0,0,0,0,269,65,2909,742,3651,-0.0114858,0.0314293,-0.99944,0
3453,0,0,0,0,353,87,3893,1016,4909,-0.0105396,0.0311771,-0.999459,0
6825,0,0,0,0,705,171,7701,1828,9529,-0.0163298,0.0276288,-0.999485,0
6359,0,0,0,0,683,167,7209,1727,8936,-0.0132417,0.0315543,-0.999414,0
4435,0,0,0,0,443,110,4988,1207,6195,-0.0118282,0.0308353,-0.999455,0
6669,0,0,0,0,649,165,7483,2403,9886,-0.0116238,0.0303906,-0.99947,0
6515,0,0,0,0,734,170,7419,1861,9280,-0.00900076,0.0312141,-0.999472,0
6533,0,0,0,0,649,182,7364,1810,9174,-0.0125508,0.0303796,-0.99946,0
6503,0,0,0,0,620,161,7284,1645,8929,-0.0141879,0.0295835,-0.999462,0
6368,0,0,0,0,658,159,7185,1639,8824,-0.0117654,0.0330932,-0.999383,0
6474,0,0,0,0,717,166,7357,1830,9187,-0.00750142,0.0379878,-0.99925,0
6490,0,0,0,0,418,109,7017,1075,8092,-0.00821502,0.0376404,-0.999258,0
4264,0,0,0,0,442,105,4811,1066,5877,-0.00825829,0.036484,-0.9993,0
6490,0,0,0,0,626,158,7274,1782,9056,-0.00741168,0.0393831,-0.999197,0
6593,0,0,0,0,680,164,7437,1152,8589,-0.00720132,0.036709,-0.9993,0
5649,0,0,0,0,558,140,6347,1472,7819,-0.00611322,0.0411984,-0.999132,0
6274,0,0,0,0,561,144,6979,1436,8415,-0.00357344,0.0423224,-0.999098,0
6873,0,0,0,0,562,145,7580,1419,8999,-0.00526077,0.040313,-0.999173,0
6824,0,0,0,0,634,160,7618,1470,9088,-0.0109976,0.037689,-0.999229,0
5828,0,0,0,0,429,111,6368,1102,7470,-0.0107097,0.0379107,-0.999224,0
3220,0,0,0,0,301,75,3596,606,4202,-0.0142942,0.031869,-0.99939,0
2009,0,0,0,0,200,49,2258,536,2794,-0.014232,0.0333244,-0.999343,0
6164,0,0,0,0,592,144,6900,1390,8290,-0.00927214,0.041643,-0.999089,0
6552,0,0,0,0,639,158,7349,1573,8922,-0.0108686,0.0428807,-0.999021,0
6697,0,0,0,0,561,141,7399,1450,8849,-0.00901901,0.0474638,-0.998832,0
6073,0,0,0,0,602,147,6822,1568,8390,-0.00208896,0.0554272,-0.99846,0
5660,0,0,0,0,576,146,6382,1464,7846,0.00266635,0.0665167,-0.997782,0
6407,0,0,0,0,656,180,7243,1819,9062,-0.00812723,0.0440647,-0.998995,0
6607,0,0,0,0,681,174,7462,2443,9905,-0.0131985,0.0129443,-0.999829,0
6662,0,0,0,0,609,188,7459,2496,9955,-0.0131749,0.00809695,-0.999881,0
6242,0,0,0,0,661,171,7074,3265,10339,-0.0147346,0.0150961,-0.999778,0
4209,0,0,0,0,458,121,4788,2402,7190,-0.0211456,0.0138425,-0.999681,0
7401,0,0,0,0,806,214,8421,4585,13006,-0.0212647,0.0107052,-0.999717,0
6792,0,0,0,0,913,265,7970,4202,12172,-0.0307501,-0.00357118,-0.999521,0
3411,0,0,0,0,395,94,3900,2625,6525,-0.0281655,-0.000580095,-0.999603,0
7725,0,0,0,0,833,199,8757,5281,14038,-0.0266386,-0.00981669,-0.999597,0
6124,0,0,0,0,568,120,6812,3007,9819,-0.0116613,-0.00629138,-0.999912,0
3130,0,0,0,0,382,90,3602,2357,5959,-0.0137188,0.00838342,-0.999871,0
6785,0,0,0,0,846,200,7831,5154,12985,-0.0334702,0.0133207,-0.999351,0
6835,0,0,0,0,802,212,7849,3777,11626,-0.0313662,0.0063622,-0.999488,0
5118,0,0,0,0,523,126,5767,3018,8785,-0.0169318,0.00617023,-0.999838,0
4490,0,0,0,0,514,157,5161,2685,7846,-0.0211388,0.0120564,-0.999704,0
6945,0,0,0,0,872,254,8071,3432,11503,-0.022352,0.014638,-0.999643,0
6723,0,0,0,0,1042,207,7972,3045,11017,-0.0110443,0.0221894,-0.999693,0
7646,0,0,0,0,718,178,8542,2821,11363,-0.015392,0.0336654,-0.999315,0
7410,0,0,0,0,689,170,8269,1893,10162,-0.0171572,0.047012,-0.998747,0
3054,0,0,0,0,273,64,3391,992,4383,-0.0158143,0.0473287,-0.998754,0
2783,0,0,0,0,292,72,3147,1046,4193,-0.0102892,0.0475334,-0.998817,0
6968,0,0,0,0,864,178,8010,2267,10277,-0.00414354,0.0419411,-0.999112,0
6331,0,0,0,0,628,154,7113,2424,9537,0.00271165,0.0541844,-0.998527,0
4340,0,0,0,0,414,101,4855,1235,6090,0.00805996,0.0549802,-0.998455,0
2449,0,0,0,0,240,59,2748,854,3602,0.0118296,0.0543689,-0.998451,0
6440,0,0,0,0,848,194,7482,1425,8907,0.0100621,0.0651034,-0.997828,0
6249,0,0,0,0,597,142,6988,2050,9038,0.0164349,0.0553728,-0.99833,0
6437,0,0,0,0,573,143,7153,1911,9064,0.0175817,0.0440374,-0.998875,0
6418,0,0,0,0,582,142,7142,2033,9175,0.016514,0.0353616,-0.999238,0
6356,0,0,0,0,533,127,7016,1862,8878,0.0176357,0.034587,-0.999246,0
5849,0,0,0,0,510,125,6484,1734,8218,0.0179974,0.0374911,-0.999135,0
5573,0,0,0,0,501,143,6217,1675,7892,0.0192617,0.0392788,-0.999043,0
6078,0,0,0,0,508,126,6712,1734,8446,0.018003,0.0359949,-0.99919,0
5580,0,0,0,0,511,128,6219,1577,7796,0.0167408,0.0311642,-0.999374,0
5674,0,0,0,0,517,128,6319,1791,8110,0.0149243,0.0287976,-0.999474,0
6473,0,0,0,0,513,129,7115,1849,8964,0.0157899,0.0364664,-0.99921,0
5673,0,0,0,0,547,131,6351,1750,8101,0.0182251,0.0374744,-0.999131,0
3984,0,0,0,0,422,93,4499,1259,5758,0.01676,0.0354843,-0.99923,0
5781,0,0,0,0,512,131,6424,1792,8216,0.0149772,0.0320852,-0.999373,0
5580,0,0,0,0,582,132,6294,2147,8441,0.0166606,0.0318515,-0.999354,0
6457,0,0,0,0,603,145,7205,2189,9394,0.0182006,0.030984,-0.999354,0
6205,0,0,0,0,615,144,6964,2509,9473,0.018286,0.0302669,-0.999374,0
4431,0,0,0,0,382,92,4905,1178,6083,0.0178196,0.0320328,-0.999328,0
2479,0,0,0,0,193,47,2719,689,3408,0.0158429,0.031338,-0.999383,0
2636,0,0,0,0,244,60,2940,871,3811,0.0152804,0.0308383,-0.999408,0
6358,0,0,0,0,634,147,7139,2202,9341,0.0151411,0.0277859,-0.999499,0
6186,0,0,0,0,647,208,7041,1609,8650,0.0170506,0.0303295,-0.999394,0
4989,0,0,0,0,464,114,5567,1580,7147,0.0167536,0.0292826,-0.999431,0
6320,0,0,0,0,587,145,7052,2095,9147,0.0174201,0.0303404,-0.999388,0
5550,0,0,0,0,521,128,6199,1913,8112,0.0163849,0.0320456,-0.999352,0
5805,0,0,0,0,523,128,6456,1915,8371,0.0158238,0.0348995,-0.999266,0
5454,0,0,0,0,517,127,6098,1932,8030,0.016935,0.0345011,-0.999261,0
5704,0,0,0,0,520,127,6351,1842,8193,0.0176722,0.0349552,-0.999233,0
5535,0,0,0,0,552,132,6219,1816,8035,0.0153743,0.0336997,-0.999314,0
5634,0,0,0,0,535,131,6300,2008,8308,0.0166543,0.0353344,-0.999237,0
5538,0,0,0,0,526,129,6193,1889,8082,0.0166531,0.0334201,-0.999303,0
6339,0,0,0,0,516,131,6986,1791,8777,0.0145622,0.0319357,-0.999384,0
5493,0,0,0,0,521,129,6143,1738,7881,0.0169911,0.033788,-0.999285,0
5959,0,0,0,0,519,128,6606,1782,8388,0.0172309,0.0348871,-0.999242,0
5415,0,0,0,0,522,136,6073,1886,7959,0.0180735,0.0325256,-0.999308,0
5604,0,0,0,0,520,129,6253,1784,8037,0.0179582,0.034793,-0.999233,0
5972,0,0,0,0,553,131,6656,1906,8562,0.0185602,0.0363792,-0.999166,0
5679,0,0,0,0,517,128,6324,1821,8145,0.0195587,0.0378864,-0.99909,0
5529,0,0,0,0,538,135,6202,1994,8196,0.0182776,0.0348532,-0.999225,0
5626,0,0,0,0,519,128,6273,1748,8021,0.0187022,0.0347665,-0.999221,0
5692,0,0,0,0,512,127,6331,1798,8129,0.0167474,0.0359983,-0.999212,0
6475,0,0,0,0,582,143,7200,1951,9151,0.0176997,0.0371829,-0.999152,0
6358,0,0,0,0,552,152,7062,1846,8908,0.0190022,0.0367542,-0.999144,0
3813,0,0,0,0,358,88,4259,1280,5539,0.019534,0.0374971,-0.999106,0
5831,0,0,0,0,746,199,6776,1972,8748,0.0210422,0.0387207,-0.999029,0
6006,0,0,0,0,556,140,6702,1625,8327,0.0211946,0.0501451,-0.998517,0
5767,0,0,0,0,541,138,6446,1763,8209,0.0220411,0.055712,-0.998204,0
3810,0,0,0,0,358,86,4254,1177,5431,0.0227984,0.0560184,-0.998169,0
3157,0,0,0,0,287,68,3512,880,4392,0.023494,0.0594944,-0.997952,0
5600,0,0,0,0,516,126,6242,1763,8005,0.0318523,0.0745539,-0.996708,0
5609,0,0,0,0,524,128,6261,1684,7945,0.0327188,0.0856817,-0.995785,0
5628,0,0,0,0,514,129,6271,1554,7825,0.0402174,0.11038,-0.993076,0
5667,0,0,0,0,518,127,6312,1444,7756,0.0448476,0.141657,-0.9889,0
5652,0,0,0,0,528,130,6310,1234,7544,0.0631059,0.173352,-0.982836,0
5716,0,0,0,0,536,130,6382,849,7231,0.0742363,0.178675,-0.981103,0
5640,0,0,0,0,564,138,6342,1094,7436,0.12424,0.2485,-0.960631,0
5892,0,0,0,0,587,144,6623,989,7612,0.152959,0.310534,-0.938175,0
4032,0,0,0,0,409,98,4539,558,5097,0.149602,0.308173,-0.939493,0
2500,0,0,0,0,248,62,2810,565,3375,0.168407,0.354702,-0.919688,0
6515,0,0,0,0,538,139,7192,1228,8420,0.194071,0.411584,-0.890469,0
7791,0,0,0,0,504,136,8431,1920,10351,0.236024,0.466641,-0.852373,0
5965,0,0,0,0,477,128,6570,1632,8202,0.274261,0.489378,-0.827822,0
5684,0,0,0,0,463,117,6264,2541,8805,0.324344,0.53195,-0.782196,0
6119,0,0,0,0,449,118,6686,1977,8663,0.382604,0.593265,-0.708272,0
