Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5257,0,384,514,4480,115,310,11060,1912,12972,0.00185436,0.028565,-0.99959,0
5182,0,361,497,3835,71,289,10235,2552,12787,0.0271881,0.00559363,-0.999615,0
5255,0,397,487,3645,51,298,10133,2521,12654,0.0269082,0.00433289,-0.999629,0
4640,0,381,407,3255,45,255,8983,2159,11142,0.0289529,0.00311337,-0.999576,0
5274,0,373,503,3467,50,237,9904,2266,12170,0.0271606,0.00539244,-0.999617,0
5086,0,328,398,3463,60,250,9585,2436,12021,0.0265471,0.00374822,-0.999641,0
3504,0,253,324,2411,33,185,6710,1719,8429,0.026134,0.00530866,-0.999645,0
5311,0,370,447,3541,50,271,9990,2855,12845,0.0270191,0.00448611,-0.999625,0
5203,0,310,398,3363,49,230,9553,2343,11896,0.0286433,0.00383213,-0.999582,0
4248,0,216,282,2326,38,155,7265,1606,8871,0.0290212,0.0021885,-0.999576,0
5233,0,315,403,3449,52,266,9718,2342,12060,0.0288783,0.00234591,-0.99958,0
5159,0,366,440,3621,50,234,9870,2298,12168,0.0280415,0.00179624,-0.999605,0
4962,0,373,473,3432,73,280,9593,2135,11728,0.0287091,0.00320061,-0.999583,0
4018,0,248,276,2442,41,201,7226,1554,8780,0.0287398,0.00322246,-0.999582,0
6128,0,380,447,3989,80,236,11260,2235,13495,0.0292907,0.00293905,-0.999567,0
3609,0,249,303,2391,38,184,6774,1611,8385,0.0294088,0.00456049,-0.999557,0
5274,0,386,491,3338,46,216,9751,2347,12098,0.0291465,0.00264564,-0.999572,0
5200,0,336,473,3638,52,234,9933,2712,12645,0.0284068,0.00325805,-0.999591,0
2216,0,134,168,1475,21,97,4111,1015,5126,0.0288334,0.00265313,-0.999581,0
5284,0,314,401,3619,72,260,9950,2148,12098,0.0284533,0.00281038,-0.999591,0
3871,0,333,440,2152,33,124,6953,1227,8180,0.0296846,0.00155469,-0.999558,0
1958,0,111,170,1198,18,69,3524,735,4259,0.0295896,0.0023524,-0.999559,0
5268,0,313,397,3383,47,273,9681,2277,11958,0.0269635,0.00278257,-0.999633,0
4156,0,280,359,2939,36,161,7931,1590,9521,0.0282443,0.00183991,-0.999599,0
4817,0,291,361,3142,54,206,8871,2078,10949,0.0297513,0.00225323,-0.999555,0
4793,0,285,361,3108,42,205,8794,2086,10880,0.0272419,0.00107823,-0.999628,0
5360,0,325,403,3491,76,233,9888,2442,12330,0.0298428,-0.000213859,-0.999555,0
3772,0,257,281,2037,26,119,6492,1230,7722,0.0293765,0.00104985,-0.999568,0
2266,0,133,169,1448,22,95,4133,1002,5135,0.0299168,0.00126402,-0.999552,0
4904,0,281,363,3082,64,203,8897,2175,11072,0.0286693,0.00195786,-0.999587,0
5685,0,278,391,3103,51,203,9711,2147,11858,0.0290944,0.00158294,-0.999575,0
4726,0,291,358,3141,57,209,8782,2145,10927,0.028197,0.00277481,-0.999598,0
5079,0,282,362,3159,84,208,9174,2023,11197,0.0285598,0.00206921,-0.99959,0
3340,0,238,304,2281,31,183,6377,1464,7841,0.0282795,0.00114849,-0.9996,0
5415,0,371,473,3488,71,277,10095,2311,12406,0.0291121,0.00320212,-0.999571,0
5348,0,370,441,3475,72,306,10012,1784,11796,0.0292042,0.00230734,-0.999571,0
2806,0,196,230,1839,26,141,5238,1288,6526,0.0296089,0.000881185,-0.999561,0
5530,0,302,353,3199,69,232,9685,2176,11861,0.0299498,0.00226744,-0.999549,0
4941,0,348,424,2570,34,152,8469,1414,9883,0.0282182,0.00194327,-0.9996,0
2318,0,136,165,1411,20,92,4142,912,5054,0.0299088,0.00178771,-0.999551,0
5541,0,364,440,3457,51,263,10116,2806,12922,0.0290891,0.00296288,-0.999572,0
3106,0,191,244,1805,26,139,5511,991,6502,0.0310185,0.0021292,-0.999517,0
1877,0,117,165,1230,23,107,3519,1113,4632,0.0295183,-9.52084e-05,-0.999564,0
4767,0,336,446,3083,53,239,8924,2025,10949,0.028128,0.000953016,-0.999604,0
5048,0,274,376,3003,61,270,9032,1424,10456,0.0290903,0.0013305,-0.999576,0
3421,0,204,275,2117,53,144,6214,1775,7989,0.0287636,0.000576959,-0.999586,0
4380,0,249,373,2848,59,207,8116,1915,10031,0.0278894,0.000632256,-0.999611,0
5391,0,314,464,3506,50,226,9951,2288,12239,0.0286974,-0.0001727,-0.999588,0
5504,0,363,482,3605,58,277,10289,1654,11943,0.026288,0.000518278,-0.999654,0
4256,0,292,321,2376,39,179,7463,1594,9057,0.0300807,-0.000664363,-0.999547,0
5433,0,314,455,3420,56,227,9905,2349,12254,0.030331,0.00233099,-0.999537,0
4758,0,270,328,2504,49,177,8086,1613,9699,0.0299157,0.000254368,-0.999552,0
3646,0,233,317,2437,49,175,6857,1801,8658,0.0281235,0.00258473,-0.999601,0
4872,0,308,392,3161,47,213,8993,2239,11232,0.0289364,0.000611696,-0.999581,0
4792,0,278,356,3171,57,236,8890,1998,10888,0.0295312,0.00150513,-0.999562,0
5084,0,332,391,3151,86,254,9298,1784,11082,0.0286055,-0.000204707,-0.999591,0
3360,0,198,252,2187,33,146,6176,1513,7689,0.028514,0.000797982,-0.999593,0
5623,0,310,479,3470,54,307,10243,2363,12606,0.0286434,0.00026517,-0.99959,0
2853,0,170,240,1757,27,107,5154,989,6143,0.0286858,0.000350475,-0.999588,0
2491,0,160,211,1670,22,115,4669,1097,5766,0.0288542,0.00123034,-0.999583,0
5517,0,364,479,3426,49,278,10113,2113,12226,0.0288029,-0.000627303,-0.999585,0
5314,0,303,392,3066,33,156,9264,2045,11309,0.0287259,0.000379892,-0.999587,0
2716,0,172,226,1757,36,134,5041,1132,6173,0.0293108,0.000760835,-0.99957,0
6000,0,306,397,3073,64,251,10091,2277,12368,0.0296383,-0.000409289,-0.99956,0
4802,0,330,434,3249,46,261,9122,1943,11065,0.0298206,0.000503388,-0.999555,0
