Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5053,0,306,495,3383,66,218,9521,2250,11771,-0.0307677,0.0138631,-0.99943,0
4864,0,301,395,3821,41,244,9666,2022,11688,-0.0222537,0.021454,-0.999522,0
4662,0,299,383,3270,37,195,8846,2100,10946,-0.021239,0.0221694,-0.999529,0
4784,0,329,418,3246,39,242,9058,2363,11421,-0.0202436,0.0236494,-0.999516,0
4784,0,301,381,3325,40,217,9048,2025,11073,-0.0168973,0.0213773,-0.999629,0
4699,0,300,379,3196,39,214,8827,2113,10940,-0.0186883,0.0295317,-0.999389,0
4725,0,302,375,3245,40,218,8905,2014,10919,-0.0166092,0.0207575,-0.999647,0
4776,0,325,379,3199,40,217,8936,2026,10962,-0.0139865,0.0213545,-0.999674,0
4849,0,301,479,3338,39,219,9225,2240,11465,-0.0176877,0.0303007,-0.999384,0
4783,0,333,374,3195,38,240,8963,2125,11088,-0.0194018,0.0304521,-0.999348,0
4733,0,312,406,3421,43,221,9136,2157,11293,-0.0174109,0.0289869,-0.999428,0
4686,0,298,389,3166,38,211,8788,2267,11055,-0.018058,0.0235491,-0.99956,0
4729,0,301,374,3240,38,215,8897,2170,11067,-0.017366,0.0273897,-0.999474,0
4970,0,300,374,3208,40,213,9105,2179,11284,-0.0194363,0.0310283,-0.99933,0
4870,0,298,373,3228,39,214,9022,2087,11109,-0.0187094,0.0221927,-0.999579,0
4599,0,223,259,2259,27,192,7559,1321,8880,-0.0191769,0.025433,-0.999492,0
2372,0,150,186,1603,19,106,4436,1050,5486,-0.0201121,0.0206056,-0.999586,0
4777,0,302,376,3225,38,216,8934,2235,11169,-0.0188432,0.0214161,-0.999593,0
5346,0,298,375,3439,40,220,9718,2094,11812,-0.0180563,0.0267104,-0.99948,0
4848,0,300,375,3294,39,218,9074,2153,11227,-0.0216739,0.0310849,-0.999282,0
4628,0,296,395,3129,37,213,8698,1937,10635,-0.0195726,0.0318308,-0.999302,0
2483,0,243,275,1792,28,115,4936,983,5919,-0.0168117,0.027264,-0.999487,0
4764,0,301,384,3210,40,214,8913,2045,10958,-0.0178211,0.0266903,-0.999485,0
4782,0,297,393,3244,38,219,8973,2192,11165,-0.0186817,0.0260285,-0.999487,0
5217,0,300,378,3215,39,215,9364,2136,11500,-0.0188764,0.0309812,-0.999342,0
4688,0,337,481,3832,40,218,9596,1984,11580,-0.0161705,0.0225825,-0.999614,0
4671,0,298,370,3215,38,216,8808,2102,10910,-0.0155652,0.0216122,-0.999645,0
4881,0,301,374,3199,38,215,9008,1409,10417,-0.0186046,0.0288894,-0.99941,0
4173,0,336,350,3137,47,290,8333,1982,10315,-0.0196858,0.029462,-0.999372,0
4830,0,299,375,3222,37,213,8976,2033,11009,-0.0169227,0.0217248,-0.999621,0
4664,0,422,606,3410,55,217,9374,1951,11325,-0.0163008,0.0238782,-0.999582,0
4788,0,299,372,3544,53,256,9312,2006,11318,-0.0152783,0.021073,-0.999661,0
4744,0,326,390,3275,39,217,8991,1620,10611,-0.0186222,0.01946,-0.999637,0
5464,0,386,427,3686,38,216,10217,2482,12699,-0.0200403,0.02511,-0.999484,0
4480,0,208,285,2232,26,147,7378,1180,8558,-0.0222165,0.0232888,-0.999482,0
2072,0,129,159,1431,19,93,3903,814,4717,-0.0204671,0.0222155,-0.999544,0
4662,0,328,396,3172,45,211,8814,2220,11034,-0.0176762,0.0305528,-0.999377,0
5356,0,334,416,3469,40,209,9824,2209,12033,-0.0191385,0.0320374,-0.999304,0
4741,0,346,425,3399,39,218,9168,2273,11441,-0.0199907,0.0309756,-0.99932,0
