Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5998,0,204,282,2105,82,147,8818,11838,20656,0.0437517,-0.0593612,-0.997277,0
4116,0,140,179,1429,35,101,6000,3225,9225,0.109341,-0.0803471,-0.990752,0
3791,0,132,163,1280,42,117,5525,2874,8399,0.136793,-0.0762528,-0.98766,0
6818,0,202,259,2001,69,148,9497,4705,14202,0.0990289,-0.0714864,-0.992513,0
6642,0,201,260,1996,49,146,9294,3574,12868,0.135985,-0.0670965,-0.988436,0
5899,0,203,257,2006,46,147,8558,3920,12478,0.106477,-0.0614153,-0.992417,0
5363,0,185,233,1849,48,133,7811,4203,12014,0.0994845,-0.0554339,-0.993494,0
5283,0,182,234,1820,46,133,7698,4589,12287,0.0665269,-0.0827992,-0.994343,0
5871,0,203,258,2073,49,177,8631,4858,13489,0.083482,-0.0913499,-0.992314,0
4519,0,183,184,1438,33,103,6460,2290,8750,0.144312,-0.0913458,-0.985307,0
6236,0,204,258,2135,53,153,9039,2826,11865,0.146593,-0.0608694,-0.987322,0
5818,0,141,178,1380,34,102,7653,2498,10151,0.134236,-0.0658225,-0.988761,0
2533,0,89,113,863,21,62,3681,1818,5499,0.0937364,-0.0739388,-0.992848,0
2032,0,70,91,703,17,50,2963,1705,4668,0.121731,-0.0811851,-0.989238,0
6137,0,205,262,2131,52,153,8940,3929,12869,0.084053,-0.0935687,-0.992059,0
5901,0,218,261,2025,51,150,8606,3332,11938,0.0837252,-0.0950423,-0.991946,0
3412,0,108,140,1138,27,80,4905,2440,7345,0.104115,-0.0945951,-0.990056,0
6787,0,204,284,2051,61,150,9537,2847,12384,0.0458835,-0.150307,-0.987574,0
5848,0,203,257,2029,51,147,8535,3746,12281,0.0643544,-0.125787,-0.989968,0
4628,0,139,192,1407,33,101,6500,3765,10265,0.111603,-0.10878,-0.987781,0
6033,0,203,262,1984,48,145,8675,4355,13030,0.140465,-0.0992925,-0.985094,0
4068,0,140,178,1389,33,100,5908,2543,8451,0.10223,-0.113588,-0.988255,0
6234,0,202,259,2010,46,189,8940,5029,13969,0.113034,-0.0957294,-0.988969,0
5900,0,203,257,2048,48,149,8605,2813,11418,0.12195,-0.116042,-0.985729,0
5291,0,184,234,1831,48,133,7721,2716,10437,0.143644,-0.0983224,-0.984733,0
5275,0,182,231,1798,47,132,7665,6186,13851,0.163382,-0.127163,-0.978333,0
3289,0,101,130,1007,24,74,4625,2870,7495,0.102847,-0.088362,-0.990765,0
5936,0,202,259,2008,49,147,8601,4193,12794,0.0338755,-0.1496,-0.988166,0
5949,0,249,264,1996,49,147,8654,4098,12752,0.0306056,-0.148363,-0.988459,0
4114,0,140,192,1413,33,101,5993,3756,9749,0.00728832,-0.0875508,-0.996133,0
6843,0,231,318,2305,81,167,9945,4026,13971,-0.0227712,-0.0439735,-0.998773,0
5285,0,152,198,1496,35,109,7275,3986,11261,-0.0732546,0.0320637,-0.996798,0
4506,0,215,226,1487,32,104,6570,4155,10725,-0.0647726,0.0394085,-0.997122,0
2132,0,72,92,723,20,52,3091,1652,4743,-0.0581877,0.0408726,-0.997469,0
2557,0,80,105,801,19,64,3626,2491,6117,-0.0610591,0.0652034,-0.996002,0
6838,0,204,263,2053,53,152,9563,4723,14286,-0.0563116,0.0410719,-0.997568,0
4014,0,140,178,1385,34,102,5853,3487,9340,-0.0473075,0.0308155,-0.998405,0
5899,0,204,259,2056,50,151,8619,4577,13196,-0.0664366,0.0551283,-0.996266,0
4030,0,139,194,1426,34,101,5924,3072,8996,-0.0666823,0.0568613,-0.996153,0
5913,0,205,260,2056,52,151,8637,4465,13102,-0.0585186,0.0431732,-0.997352,0
6065,0,229,281,2007,55,151,8788,4406,13194,-0.0532883,0.0383705,-0.997842,0
3113,0,107,135,1058,28,76,4517,2711,7228,-0.0633755,0.0637288,-0.995952,0
6007,0,203,261,2063,63,153,8750,5348,14098,-0.0668488,0.0520517,-0.996404,0
5916,0,202,258,2002,50,152,8580,2819,11399,-0.0648133,0.0630578,-0.995903,0
3638,0,106,150,1050,25,77,5046,2592,7638,-0.0613893,0.0789284,-0.994989,0
5997,0,202,258,2029,50,160,8696,6076,14772,-0.054375,0.0807175,-0.995253,0
4096,0,140,178,1440,38,104,5996,2960,8956,-0.0521597,0.0878978,-0.994763,0
6020,0,200,254,2048,53,151,8726,3992,12718,-0.0491709,0.0976162,-0.994009,0
6048,0,208,284,1961,52,151,8704,4845,13549,-0.045183,0.0947986,-0.994471,0
4165,0,139,189,1374,33,101,6001,5732,11733,-0.0411872,0.0981485,-0.994319,0
6026,0,204,280,2081,49,153,8793,3593,12386,-0.0053299,0.0678721,-0.99768,0
5924,0,203,256,2023,69,148,8623,4523,13146,-0.0353168,0.0844233,-0.995804,0
3730,0,129,165,1336,31,94,5485,2491,7976,-0.0405648,0.0944672,-0.994701,0
3850,0,131,164,1330,31,96,5602,4346,9948,-0.0454868,0.0913479,-0.99478,0
4285,0,130,189,1274,31,94,6003,2762,8765,-0.0359067,0.0922886,-0.995085,0
5939,0,205,259,2081,52,195,8731,3806,12537,-0.0508239,0.0919437,-0.994466,0
6489,0,317,377,2144,56,181,9564,3976,13540,-0.0535103,0.089298,-0.994567,0
3598,0,107,137,1072,25,78,5017,3083,8100,-0.025195,0.0653099,-0.997547,0
5993,0,202,259,2034,51,152,8691,6630,15321,-0.045563,0.0648135,-0.996857,0
5876,0,202,254,1970,49,147,8498,2644,11142,-0.0603449,0.0581298,-0.996484,0
3781,0,131,166,1317,30,109,5534,3395,8929,-0.0581763,0.079566,-0.99513,0
5886,0,218,265,2049,51,153,8622,4028,12650,-0.0631526,0.080455,-0.994756,0
5884,0,217,281,2012,47,170,8611,4741,13352,-0.0758382,0.0635223,-0.995094,0
4071,0,142,181,1494,34,104,6026,2966,8992,-0.0691421,0.0512943,-0.996287,0
5944,0,243,265,2015,49,147,8663,6254,14917,-0.0680579,0.0573996,-0.996029,0
4637,0,166,178,1383,35,101,6500,3264,9764,-0.0707889,0.0707714,-0.994977,0
5924,0,240,262,2026,49,149,8650,5593,14243,-0.0622999,0.0788788,-0.994936,0
5918,0,240,259,2013,51,147,8628,2843,11471,-0.0536314,0.0433769,-0.997618,0
4129,0,144,184,1385,33,101,5976,2702,8678,-0.0625325,0.068317,-0.995702,0
5799,0,202,256,2000,51,147,8455,3288,11743,-0.0612524,0.0737518,-0.995394,0
5832,0,203,257,2041,53,151,8537,3393,11930,-0.0682748,0.0820317,-0.994288,0
5944,0,205,273,2008,52,148,8630,4823,13453,-0.0676175,0.0816989,-0.994361,0
3708,0,131,167,1302,33,94,5435,2417,7852,-0.0752939,0.0588029,-0.995426,0
6005,0,203,265,2070,49,153,8745,4308,13053,-0.0741307,0.0644073,-0.995166,0
6080,0,204,261,2014,51,148,8758,5635,14393,-0.0720025,0.0612339,-0.995523,0
