Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
1673,0,104,163,1160,33,76,3209,390,3599,0.00955705,0.0802852,-0.996726,0
1628,0,104,153,1122,20,75,3102,659,3761,-0.00502598,0.02568,-0.999658,0
4636,0,241,303,2514,44,171,7909,1533,9442,-0.00629647,0.0249674,-0.999668,0
3728,0,247,318,2686,61,197,7237,1477,8714,-0.00517567,0.025559,-0.99966,0
2446,0,187,219,1696,33,128,4709,784,5493,-0.00468831,0.0255102,-0.999663,0
2372,0,161,201,1587,39,111,4471,880,5351,-0.00335143,0.0239627,-0.999707,0
2373,0,135,228,1536,37,104,4413,877,5290,-0.00386556,0.0230672,-0.999726,0
2345,0,140,181,1521,38,121,4346,899,5245,-0.00349389,0.0235227,-0.999717,0
3337,0,205,243,1948,37,140,5910,1126,7036,-0.00450088,0.0223435,-0.99974,0
2471,0,161,200,1626,32,117,4607,879,5486,-0.00550561,0.0219268,-0.999744,0
3222,0,204,239,1892,38,135,5730,1055,6785,-0.00593922,0.0209653,-0.999763,0
3269,0,216,248,1952,50,149,5884,1119,7003,-0.00569315,0.0220635,-0.99974,0
2445,0,177,268,1633,41,105,4669,864,5533,-0.00586693,0.0230629,-0.999717,0
2289,0,161,197,1572,29,118,4366,875,5241,-0.0053862,0.023384,-0.999712,0
2266,0,168,200,1548,37,110,4329,822,5151,-0.00581356,0.0240052,-0.999695,0
2278,0,156,186,1455,25,112,4212,850,5062,-0.004969,0.0241822,-0.999695,0
4407,0,284,359,2960,71,203,8284,1652,9936,-0.00441349,0.0245521,-0.999689,0
4022,0,260,333,2817,47,190,7669,1670,9339,-0.0049448,0.0254709,-0.999663,0
2561,0,240,330,1773,30,111,5045,812,5857,-0.0048417,0.0248632,-0.999679,0
1878,0,153,338,1284,26,84,3763,661,4424,-0.00473222,0.0236699,-0.999709,0
1803,0,111,145,1363,31,122,3575,909,4484,-0.00457424,0.0241357,-0.999698,0
1830,0,127,161,1449,32,122,3721,862,4583,-0.00364998,0.0230935,-0.999727,0
3772,0,231,269,2072,39,151,6534,1189,7723,-0.00434422,0.0162034,-0.999859,0
3053,0,223,263,2058,37,160,5794,1551,7345,-0.00662597,0.00740659,-0.999951,0
3196,0,224,277,2179,54,185,6115,1568,7683,-0.00751112,-0.00328879,-0.999966,0
3594,0,220,279,2086,33,164,6376,1293,7669,-0.0113589,-0.013203,-0.999848,0
6090,0,471,623,4341,97,381,12003,2428,14431,-0.0166568,-0.0486451,-0.998677,0
3432,0,244,273,1874,36,132,5991,1109,7100,-0.0116872,-0.0274491,-0.999555,0
2720,0,109,156,1212,26,94,4317,676,4993,-0.0108843,-0.00631496,-0.999921,0
3002,0,152,226,1497,26,103,5006,845,5851,-0.0166094,0.0037964,-0.999855,0
3499,0,253,300,2333,38,156,6579,1276,7855,-0.0190897,0.0172228,-0.99967,0
3713,0,214,291,1956,26,148,6348,977,7325,-0.0242763,0.0282648,-0.999305,0
3029,0,203,254,1935,37,148,5606,1002,6608,-0.0304075,0.0443997,-0.998551,0
3367,0,203,239,1859,29,144,5841,987,6828,-0.0333373,0.0519488,-0.998093,0
2772,0,210,251,1928,31,144,5336,999,6335,-0.0378685,0.0358326,-0.99864,0
3432,0,302,316,2397,45,171,6663,1139,7802,-0.0270867,0.00993393,-0.999584,0
3057,0,221,294,2316,41,204,6133,1464,7597,-0.0191531,-0.0125661,-0.999737,0
3217,0,228,290,2415,38,183,6371,1157,7528,-0.00507599,-0.0379608,-0.999267,0
4843,0,385,470,4468,49,312,10527,1837,12364,0.00728987,-0.056687,-0.998365,0
4703,0,353,436,3757,69,300,9618,1619,11237,0.0110941,-0.0867173,-0.996171,0
3520,0,276,348,2992,50,212,7398,1211,8609,0.022267,-0.087835,-0.995886,0
5540,0,419,555,3993,64,305,10876,2038,12914,0.0393639,-0.133433,-0.990276,0
5149,0,318,470,3282,42,168,9429,1184,10613,0.0319246,-0.103488,-0.994119,0
2919,0,187,207,1487,38,126,4964,915,5879,0.00869793,-0.0804709,-0.996719,0
5315,0,256,343,2514,53,191,8672,1972,10644,-0.0130298,-0.122743,-0.992353,0
5396,0,338,416,3054,49,254,9507,2222,11729,-0.00568847,-0.128969,-0.991632,0
5181,0,283,459,3096,67,211,9297,2064,11361,-0.0159315,-0.150761,-0.988442,0
4011,0,225,281,2012,49,175,6753,2300,9053,-0.0106746,-0.123869,-0.992241,0
5348,0,390,377,2954,52,208,9329,2827,12156,-0.0101186,-0.163478,-0.986495,0
5319,0,317,449,2992,46,179,9302,1631,10933,-0.00931042,-0.155379,-0.987811,0
2846,0,186,211,1630,38,129,5040,1385,6425,-0.00755203,-0.122037,-0.992497,0
5548,0,321,397,2825,68,233,9392,2271,11663,-0.00821813,-0.191341,-0.981489,0
5646,0,303,365,2671,75,195,9255,1643,10898,-2.20698e-05,-0.214086,-0.976815,0
5751,0,215,341,2164,70,205,8746,2543,11289,0.0565191,-0.402293,-0.913765,0
3427,0,117,186,1336,52,117,5235,1232,6467,0.0467162,-0.322358,-0.945464,0
1989,0,67,83,594,22,49,2804,725,3529,0.0319689,-0.242738,-0.969565,0
1951,0,95,113,827,23,69,3078,676,3754,0.0302929,-0.211718,-0.976861,0
6347,0,347,459,3773,91,360,11377,2104,13481,0.0311167,-0.339219,-0.940193,0
6112,0,354,455,3138,44,179,10282,1156,11438,0.0219132,-0.369086,-0.929137,0
3999,0,247,319,2637,56,184,7442,1096,8538,-0.00279744,-0.421084,-0.907017,0
6513,0,406,558,4200,82,355,12114,1375,13489,0.020781,-0.536308,-0.843767,0
4416,0,274,347,3015,52,216,8320,1090,9410,0.0659751,-0.698825,-0.712244,0
3654,0,242,311,2516,63,184,6970,1910,8880,-0.000319718,-0.64755,-0.762023,0
5505,0,443,521,4244,51,257,11021,-1000,-1000,-1,-1,-1,0
3827,0,206,297,2900,61,173,7464,1212,8676,0.0351751,-0.368478,-0.928971,0
4603,0,204,282,2311,85,227,7712,1388,9100,-0.023148,-0.289624,-0.956861,0
5011,0,377,450,3109,65,208,9220,2475,11695,0.0219982,-0.425429,-0.904724,0
4741,0,312,402,3095,68,239,8857,1371,10228,0.00822602,-0.458241,-0.88879,0
7268,0,421,586,4109,39,220,12643,775,13418,-0.012728,-0.539271,-0.842036,0
3216,0,255,304,2460,29,171,6435,669,7104,0.048999,-0.26222,-0.963763,0
3752,0,335,406,3119,38,243,7893,661,8554,-0.0162946,-0.376747,-0.926173,0
7265,0,695,653,4072,56,243,12984,808,13792,-0.0470584,-0.476674,-0.87782,0
3123,0,200,254,2118,25,145,5865,639,6504,-0.0340489,-0.385585,-0.922044,0
