Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6594,0,331,405,3155,8306,129,18920,513,19433,-0.175794,0.212824,-0.961147,0
2767,0,201,271,1972,28,160,5399,698,6097,-0.155995,0.21118,-0.964919,0
2284,0,163,196,1538,18,119,4318,616,4934,-0.127758,0.202222,-0.970971,0
2395,0,178,198,1545,25,108,4449,668,5117,-0.0878464,0.156963,-0.98369,0
3311,0,215,261,1964,25,146,5922,808,6730,-0.0474488,0.101178,-0.993736,0
2302,0,144,205,1692,44,145,4532,993,5525,-0.00521567,0.0423466,-0.999089,0
2231,0,161,207,1581,24,133,4337,903,5240,0.00268504,0.0351407,-0.999379,0
2700,0,140,185,1581,34,141,4781,950,5731,0.00533288,0.0339156,-0.99941,0
2247,0,139,220,1590,37,132,4365,859,5224,0.00489319,0.0346002,-0.999389,0
2395,0,172,256,1779,55,150,4807,963,5770,0.00261716,0.0380192,-0.999274,0
2293,0,146,181,1587,28,107,4342,1031,5373,0.00213473,0.041217,-0.999148,0
2252,0,140,218,1623,38,122,4393,1009,5402,0.00230214,0.0469343,-0.998895,0
6545,0,376,552,4546,86,278,12383,1992,14375,0.00527887,0.0508534,-0.998692,0
3334,0,278,340,2333,48,188,6521,1257,7778,0.00423312,0.0494849,-0.998766,0
3505,0,228,280,2289,43,181,6526,1283,7809,0.00661261,0.0498921,-0.998733,0
3229,0,199,253,2317,38,172,6208,1242,7450,0.0029534,0.0540937,-0.998531,0
3931,0,277,340,2918,44,211,7721,1433,9154,0.00337582,0.056168,-0.998416,0
4135,0,329,372,2984,37,187,8044,1471,9515,0.00376853,0.057143,-0.998359,0
4625,0,343,523,2874,42,185,8592,1456,10048,0.00455622,0.0593552,-0.998227,0
6405,0,262,351,2845,39,190,10092,1308,11400,0.00754417,0.0612651,-0.998093,0
2821,0,157,202,1690,48,160,5078,1055,6133,0.00600305,0.0595048,-0.99821,0
6883,0,546,705,3812,45,192,12183,1851,14034,-0.000101233,0.0818785,-0.996642,0
3309,0,279,293,2210,52,157,6300,1239,7539,0.00221965,0.0791825,-0.996858,0
