Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6033,0,337,488,3787,86,256,10987,997,11984,-0.0128678,0.00337846,-0.999912,0
5983,0,335,421,3532,67,239,10577,1540,12117,-0.00740229,0.0338257,-0.999401,0
4194,0,234,303,2467,39,166,7403,1528,8931,-0.00788198,0.0330131,-0.999424,0
6059,0,335,416,3581,58,242,10691,2207,12898,-0.00987114,0.0372165,-0.999258,0
5999,0,451,423,3516,54,238,10681,2815,13496,-0.00928867,0.0326755,-0.999423,0
6102,0,339,423,3585,62,243,10754,2223,12977,-0.00920454,0.0318937,-0.999449,0
6414,0,392,424,3601,56,241,11128,1995,13123,-0.00965933,0.0309859,-0.999473,0
4059,0,232,288,2574,45,170,7368,1537,8905,-0.0100718,0.0337596,-0.999379,0
6170,0,340,423,3626,51,244,10854,2206,13060,-0.0110174,0.0366435,-0.999268,0
6012,0,338,448,3698,57,265,10818,2017,12835,-0.00840612,0.037061,-0.999278,0
5979,0,333,411,3535,57,240,10555,2161,12716,-0.00665736,0.0354947,-0.999348,0
6133,0,335,421,3559,38,168,10654,1481,12135,-0.00755811,0.032828,-0.999432,0
5491,0,301,411,3215,50,234,9702,1983,11685,-0.00837814,0.0312828,-0.999475,0
5395,0,303,377,3315,56,229,9675,1950,11625,-0.00815771,0.0314696,-0.999472,0
6206,0,342,464,3662,53,249,10976,1960,12936,-0.009218,0.0298842,-0.999511,0
4173,0,235,303,2541,46,169,7467,1524,8991,-0.00966652,0.0303201,-0.999494,0
5436,0,304,382,3344,60,221,9747,1946,11693,-0.008519,0.0291474,-0.999539,0
5984,0,355,429,3675,65,245,10753,2165,12918,-0.00941873,0.0284331,-0.999551,0
6135,0,338,423,3536,55,243,10730,2040,12770,-0.00764065,0.0289331,-0.999552,0
4143,0,236,294,2567,42,170,7452,1522,8974,-0.00753975,0.0304409,-0.999508,0
6024,0,341,471,3650,63,245,10794,2154,12948,-0.00742696,0.0294751,-0.999538,0
4180,0,237,297,2574,37,169,7494,1521,9015,-0.0075418,0.0288151,-0.999556,0
6545,0,386,429,3720,60,251,11391,2143,13534,-0.00886095,0.0299285,-0.999513,0
6034,0,341,428,4008,60,250,11121,2191,13312,-0.0101827,0.0317763,-0.999443,0
4729,0,236,302,2546,45,169,8027,1498,9525,-0.00865113,0.0311679,-0.999477,0
5446,0,306,380,3308,66,221,9727,2020,11747,-0.0108433,0.0324064,-0.999416,0
5342,0,306,378,3345,71,224,9666,1640,11306,-0.0113349,0.0315774,-0.999437,0
6050,0,341,425,3796,98,313,11023,2183,13206,-0.0109748,0.0309703,-0.99946,0
5991,0,355,423,3634,64,242,10709,2169,12878,-0.0116901,0.032797,-0.999394,0
4193,0,257,293,2558,58,170,7529,1584,9113,-0.0112946,0.0324307,-0.999411,0
6069,0,341,454,3713,75,245,10897,2235,13132,-0.0107307,0.0329157,-0.999401,0
6009,0,342,448,3484,41,184,10508,1532,12040,-0.0106888,0.0327998,-0.999405,0
5558,0,307,383,3330,45,225,9848,2115,11963,-0.0106836,0.0339888,-0.999365,0
6206,0,359,427,3687,80,248,11007,1524,12531,-0.010032,0.0343307,-0.99936,0
4495,0,237,296,2606,49,172,7855,1566,9421,-0.00884365,0.0329592,-0.999418,0
6130,0,342,476,3766,57,250,11021,2505,13526,-0.00961693,0.0335123,-0.999392,0
4230,0,237,295,2636,50,173,7621,1518,9139,-0.00873958,0.0316983,-0.999459,0
6184,0,344,458,3803,50,250,11089,2217,13306,-0.0101355,0.0309756,-0.999469,0
4365,0,236,313,2537,53,172,7676,1560,9236,-0.0117276,0.0325712,-0.999401,0
6145,0,341,427,3798,56,249,11016,2236,13252,-0.0128915,0.0354558,-0.999288,0
4157,0,238,297,2587,41,173,7493,1554,9047,-0.0111694,0.0349973,-0.999325,0
6118,0,342,437,3808,58,252,11015,2238,13253,-0.0108101,0.0350887,-0.999326,0
6181,0,342,446,3219,38,170,10396,1557,11953,-0.0107175,0.0325125,-0.999414,0
5433,0,306,378,3271,51,219,9658,2076,11734,-0.0109212,0.0316347,-0.99944,0
6514,0,344,441,3736,57,250,11342,1844,13186,-0.0109258,0.0284936,-0.999534,0
4169,0,260,299,2605,40,173,7546,1552,9098,-0.00593006,0.0302475,-0.999525,0
5549,0,314,437,3496,61,228,10085,2025,12110,0.00349273,0.0277849,-0.999608,0
3919,0,226,282,2481,68,162,7138,1437,8575,-0.00115581,0.0281352,-0.999603,0
6055,0,350,436,3820,61,256,10978,2222,13200,-0.00654571,0.0289966,-0.999558,0
4140,0,245,309,2692,45,206,7637,1539,9176,-0.00909277,0.0298374,-0.999513,0
6117,0,353,459,3900,53,257,11139,2178,13317,-0.0111401,0.0323501,-0.999415,0
4122,0,244,303,2695,37,177,7578,1565,9143,-0.00927993,0.0344606,-0.999363,0
6099,0,354,443,3916,56,258,11126,2176,13302,-0.0091064,0.0359021,-0.999314,0
6073,0,355,458,3884,53,258,11081,1517,12598,-0.00839641,0.0343958,-0.999373,0
4155,0,245,343,2728,38,179,7688,1487,9175,-0.00975296,0.0362839,-0.999294,0
5869,0,317,435,3441,49,231,10342,2068,12410,-0.010719,0.0374584,-0.999241,0
5445,0,320,402,3343,38,165,9713,1378,11091,-0.0108809,0.0409217,-0.999103,0
4497,0,266,330,2936,55,196,8280,1674,9954,-0.00997753,0.0412171,-0.9991,0
6162,0,352,442,3843,78,256,11133,2209,13342,-0.0109787,0.0474233,-0.998815,0
5502,0,312,389,3434,54,227,9918,1988,11906,-0.0104418,0.0453852,-0.998915,0
5636,0,311,392,3401,52,227,10019,2034,12053,-0.0107628,0.0461646,-0.998876,0
3831,0,240,279,2439,43,162,6994,1425,8419,-0.00933497,0.0452125,-0.998934,0
6211,0,377,435,3686,78,247,11034,2219,13253,-0.00977226,0.0409319,-0.999114,0
5507,0,325,393,3398,65,223,9911,1977,11888,-0.00937944,0.0375188,-0.999252,0
6101,0,352,432,3754,74,254,10967,2235,13202,-0.0106536,0.0367517,-0.999268,0
4171,0,255,309,2531,46,183,7495,1562,9057,-0.00911002,0.0357544,-0.999319,0
5459,0,309,387,3346,56,224,9781,2053,11834,-0.0083142,0.0347795,-0.999361,0
5445,0,308,388,3386,79,261,9867,2046,11913,-0.00821752,0.0347791,-0.999362,0
6188,0,414,440,3707,90,248,11087,1737,12824,-0.0087504,0.0361884,-0.999307,0
4103,0,238,295,2591,39,174,7440,1513,8953,-0.00977164,0.0367042,-0.999278,0
5579,0,311,389,3425,71,235,10010,2032,12042,-0.0107122,0.0371258,-0.999253,0
5991,0,344,429,3555,54,175,10548,1590,12138,-0.00893426,0.0368069,-0.999283,0
3208,0,183,227,1979,54,133,5784,1180,6964,-0.0067669,0.0367547,-0.999301,0
6136,0,384,477,3790,74,253,11114,2270,13384,-0.0070707,0.0356974,-0.999338,0
4163,0,238,298,2521,53,170,7443,1600,9043,-0.00755635,0.0360777,-0.99932,0
6198,0,343,432,3754,58,253,11038,2266,13304,-0.00828221,0.0357668,-0.999326,0
4120,0,238,297,2543,47,171,7416,1517,8933,-0.00920734,0.0356649,-0.999321,0
5974,0,343,429,3738,89,252,10825,2187,13012,-0.00992755,0.0360459,-0.999301,0
6240,0,416,482,3736,90,173,11137,1504,12641,-0.0100228,0.0375467,-0.999245,0
4097,0,237,296,2446,51,173,7300,1492,8792,-0.00987021,0.0385491,-0.999208,0
6011,0,342,428,3660,57,244,10742,2012,12754,-0.0080596,0.0413965,-0.99911,0
5486,0,307,384,3393,54,223,9847,1964,11811,-0.0121682,0.0498339,-0.998683,0
3827,0,218,271,2366,41,157,6880,1369,8249,-0.0119884,0.0541633,-0.99846,0
5953,0,366,473,3598,47,219,10656,1898,12554,-0.0117538,0.0589649,-0.998191,0
5352,0,308,503,3721,72,228,10184,1994,12178,-0.0122915,0.072018,-0.997328,0
5302,0,297,372,3280,75,219,9545,1954,11499,-0.010626,0.0885881,-0.996012,0
5834,0,288,368,3230,72,212,10004,1923,11927,-0.0115636,0.111529,-0.993694,0
3722,0,200,250,2245,38,145,6600,1335,7935,-0.0082169,0.112732,-0.993591,0
5880,0,323,388,3252,83,229,10155,1945,12100,-0.0113243,0.128317,-0.991668,0
5845,0,327,402,3552,71,248,10445,1991,12436,-0.00990663,0.142019,-0.989814,0
3998,0,203,253,2145,46,148,6793,1270,8063,-0.0170841,0.13381,-0.99086,0
