Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5171,0,24,78,301,95,26,5695,3206,8901,-0.0671399,-0.0552501,-0.996213,0
4977,0,24,47,242,74,30,5394,-1000,-1000,-1,-1,-1,0
5002,0,24,47,202,53,22,5350,-1000,-1000,-1,-1,-1,0
5695,0,27,52,224,63,25,6086,-1000,-1000,-1,-1,-1,0
4456,0,21,42,229,45,23,4816,-1000,-1000,-1,-1,-1,0
5163,0,23,45,181,51,21,5484,-1000,-1000,-1,-1,-1,0
5137,0,23,48,184,53,22,5467,-1000,-1000,-1,-1,-1,0
3378,0,17,31,140,39,16,3621,-1000,-1000,-1,-1,-1,0
5137,0,24,47,191,46,23,5468,-1000,-1000,-1,-1,-1,0
6322,0,23,47,194,54,25,6665,-1000,-1000,-1,-1,-1,0
4994,0,24,49,213,53,22,5355,-1000,-1000,-1,-1,-1,0
5083,0,35,57,216,74,32,5497,-1000,-1000,-1,-1,-1,0
5379,0,24,45,189,55,22,5714,-1000,-1000,-1,-1,-1,0
3411,0,16,32,131,33,15,3638,-1000,-1000,-1,-1,-1,0
5022,0,24,46,195,56,22,5365,-1000,-1000,-1,-1,-1,0
5255,0,24,49,199,46,23,5596,-1000,-1000,-1,-1,-1,0
5364,0,24,49,199,58,23,5717,-1000,-1000,-1,-1,-1,0
5093,0,23,46,194,56,22,5434,-1000,-1000,-1,-1,-1,0
5069,0,23,46,203,46,23,5410,-1000,-1000,-1,-1,-1,0
5011,0,22,45,187,49,22,5336,-1000,-1000,-1,-1,-1,0
5677,0,34,56,221,60,26,6074,-1000,-1000,-1,-1,-1,0
5048,0,23,45,187,51,22,5376,-1000,-1000,-1,-1,-1,0
5319,0,23,49,208,54,22,5675,-1000,-1000,-1,-1,-1,0
5555,0,22,47,201,59,23,5907,-1000,-1000,-1,-1,-1,0
5166,0,23,46,188,51,21,5495,-1000,-1000,-1,-1,-1,0
3548,0,16,33,132,34,16,3779,-1000,-1000,-1,-1,-1,0
5127,0,23,45,212,72,37,5516,-1000,-1000,-1,-1,-1,0
5695,0,27,56,218,53,26,6075,-1000,-1000,-1,-1,-1,0
5713,0,26,52,258,63,41,6153,-1000,-1000,-1,-1,-1,0
5055,0,23,46,192,54,22,5392,-1000,-1000,-1,-1,-1,0
5038,0,24,49,197,47,23,5378,-1000,-1000,-1,-1,-1,0
5189,0,24,50,200,50,23,5536,-1000,-1000,-1,-1,-1,0
5072,0,24,46,194,54,22,5412,-1000,-1000,-1,-1,-1,0
5109,0,23,47,190,55,22,5446,-1000,-1000,-1,-1,-1,0
5002,0,23,45,185,51,22,5328,-1000,-1000,-1,-1,-1,0
5640,0,26,53,272,72,35,6098,-1000,-1000,-1,-1,-1,0
5116,0,24,49,262,52,28,5531,-1000,-1000,-1,-1,-1,0
6465,0,23,49,191,53,22,6803,-1000,-1000,-1,-1,-1,0
5136,0,24,47,210,56,23,5496,-1000,-1000,-1,-1,-1,0
3368,0,15,29,124,35,14,3585,-1000,-1000,-1,-1,-1,0
4461,0,20,40,220,43,20,4804,-1000,-1000,-1,-1,-1,0
5122,0,22,44,184,51,22,5445,-1000,-1000,-1,-1,-1,0
4926,0,23,44,195,50,22,5260,-1000,-1000,-1,-1,-1,0
5105,0,22,46,181,51,22,5427,-1000,-1000,-1,-1,-1,0
5128,0,23,48,185,48,22,5454,-1000,-1000,-1,-1,-1,0
5013,0,23,46,194,49,23,5348,-1000,-1000,-1,-1,-1,0
5134,0,22,45,185,50,24,5460,-1000,-1000,-1,-1,-1,0
5180,0,23,48,185,50,26,5512,-1000,-1000,-1,-1,-1,0
5524,0,36,55,192,45,23,5875,-1000,-1000,-1,-1,-1,0
3424,0,16,31,122,33,15,3641,-1000,-1000,-1,-1,-1,0
3411,0,15,30,127,32,14,3629,-1000,-1000,-1,-1,-1,0
4961,0,22,46,177,50,22,5278,-1000,-1000,-1,-1,-1,0
4908,0,23,44,188,50,22,5235,-1000,-1000,-1,-1,-1,0
5191,0,23,47,188,53,22,5524,-1000,-1000,-1,-1,-1,0
5154,0,23,47,196,49,23,5492,-1000,-1000,-1,-1,-1,0
3568,0,16,31,126,32,15,3788,-1000,-1000,-1,-1,-1,0
4608,0,20,40,159,45,19,4891,-1000,-1000,-1,-1,-1,0
3215,0,14,28,140,49,19,3465,-1000,-1000,-1,-1,-1,0
5158,0,23,47,213,52,27,5520,-1000,-1000,-1,-1,-1,0
5145,0,23,47,190,46,22,5473,-1000,-1000,-1,-1,-1,0
5197,0,29,59,205,75,26,5591,-1000,-1000,-1,-1,-1,0
3438,0,16,30,127,33,15,3659,-1000,-1000,-1,-1,-1,0
4984,0,33,47,189,48,30,5331,-1000,-1000,-1,-1,-1,0
4959,0,23,44,191,51,23,5291,-1000,-1000,-1,-1,-1,0
5257,0,34,67,255,75,39,5727,-1000,-1000,-1,-1,-1,0
5058,0,23,70,191,45,26,5413,-1000,-1000,-1,-1,-1,0
5014,0,23,50,186,48,23,5344,-1000,-1000,-1,-1,-1,0
5111,0,23,58,187,47,22,5448,-1000,-1000,-1,-1,-1,0
5245,0,22,48,195,49,22,5581,-1000,-1000,-1,-1,-1,0
5007,0,24,48,191,46,23,5339,-1000,-1000,-1,-1,-1,0
5014,0,23,47,193,51,22,5350,-1000,-1000,-1,-1,-1,0
5140,0,23,49,205,54,22,5493,-1000,-1000,-1,-1,-1,0
5142,0,23,47,181,50,21,5464,-1000,-1000,-1,-1,-1,0
