Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6053,0,209,335,2203,87,163,9050,-1000,-1000,-1,-1,-1,0
4023,0,175,188,1405,27,80,5898,1385,7283,-0.0397999,-0.0482654,-0.998041,0
3408,0,124,159,1242,26,93,5052,1437,6489,-0.0428833,-0.0408779,-0.998243,0
5825,0,207,268,2101,46,182,8629,4254,12883,-0.0487144,-0.0251421,-0.998496,0
5728,0,205,261,2051,58,153,8456,2178,10634,-0.0352726,-0.0177884,-0.999219,0
5281,0,189,267,1884,51,142,7814,3461,11275,-0.0397601,-0.0238189,-0.998925,0
5882,0,206,268,1997,83,155,8591,2455,11046,-0.0316938,-0.0151671,-0.999383,0
5740,0,204,262,1783,34,103,8126,1997,10123,-0.0264729,-0.000480126,-0.99965,0
5277,0,179,284,1905,53,138,7836,2350,10186,-0.0443191,-0.00141992,-0.999017,0
5301,0,177,229,1761,53,132,7653,2142,9795,-0.0236695,0.0219381,-0.999479,0
5948,0,199,259,1964,57,148,8575,6116,14691,-0.0178447,0.0337333,-0.999272,0
4221,0,138,205,1554,45,105,6268,2583,8851,-0.0263578,0.0461666,-0.998586,0
4059,0,140,181,1408,41,104,5933,1853,7786,-0.035163,0.0543586,-0.997902,0
6765,0,204,264,2134,53,152,9572,2768,12340,-0.0247541,0.0489869,-0.998493,0
4036,0,140,179,1478,32,105,5970,1823,7793,-0.0105577,0.0550761,-0.998426,0
6087,0,230,262,2007,55,163,8804,3319,12123,-0.0158658,0.0521289,-0.998515,0
6737,0,198,258,1910,52,144,9299,3201,12500,-0.00560724,0.052846,-0.998587,0
6420,0,198,254,1908,54,152,8986,3792,12778,-0.00792531,0.0603085,-0.998148,0
3049,0,102,131,940,24,75,4321,1503,5824,-0.0077917,0.0583135,-0.998268,0
