Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5410,4011,96,496,0,917,270,11200,1228,12428,-0.0867741,0.0564186,-0.994629,0
5370,3769,42,449,0,891,255,10776,1120,11896,-0.0624284,0.0354131,-0.997421,0
3346,1940,18,228,0,449,139,6120,571,6691,-0.0285095,0.00226912,-0.999591,0
5164,3661,39,431,0,865,250,10410,3771,14181,0.0131732,-0.0112089,-0.999851,0
3565,2498,23,321,0,576,182,7165,2859,10024,0.022192,-0.0118256,-0.999684,0
3662,2546,29,460,0,820,204,7721,3175,10896,0.0217878,-0.0120049,-0.999691,0
3304,2356,21,288,0,562,166,6697,2406,9103,0.0235411,-0.00983521,-0.999675,0
5112,2882,27,366,0,682,213,9282,3445,12727,0.0235993,-0.010515,-0.999666,0
4150,2811,27,330,0,658,232,8208,2778,10986,0.0223252,-0.0117773,-0.999681,0
3230,2087,21,243,0,485,137,6203,2407,8610,0.0233156,-0.0128884,-0.999645,0
3893,3080,33,500,0,868,264,8638,3258,11896,0.0227953,-0.0113967,-0.999675,0
4185,2769,34,369,0,634,175,8166,2983,11149,0.0228618,-0.0126033,-0.999659,0
2979,2426,23,314,0,690,195,6627,2346,8973,0.0227093,-0.0125257,-0.999664,0
3743,2502,22,297,0,555,179,7298,2792,10090,0.021226,-0.0130147,-0.99969,0
3702,2508,23,323,0,592,184,7332,2794,10126,0.0227233,-0.0124643,-0.999664,0
5361,3655,41,429,0,808,252,10546,3962,14508,0.0239985,-0.0105725,-0.999656,0
5174,3708,43,634,0,862,236,10657,2126,12783,0.0252882,-0.00698967,-0.999656,0
5256,3489,39,424,0,808,242,10258,3416,13674,0.0233123,-0.012021,-0.999656,0
3627,2435,27,292,0,561,168,7110,2732,9842,0.023838,-0.012167,-0.999642,0
5279,3577,46,424,0,813,243,10382,3808,14190,0.0221247,-0.0122034,-0.999681,0
3686,2017,21,231,0,431,126,6512,2045,8557,0.023522,-0.0128172,-0.999642,0
1872,1199,13,128,0,249,74,3535,1212,4747,0.0218788,-0.0125091,-0.999683,0
2264,1485,17,178,0,346,102,4392,1679,6071,0.0221889,-0.0126341,-0.999674,0
5453,3643,34,466,0,929,267,10792,4028,14820,0.0222674,-0.0139415,-0.999655,0
5476,3564,41,453,0,875,246,10655,4002,14657,0.0245455,-0.0130488,-0.999614,0
3844,2482,28,295,0,595,170,7414,1076,8490,0.0272459,-0.0104793,-0.999574,0
