Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4823,3444,75,422,0,788,217,9769,1408,11177,-0.0458449,-0.0866731,-0.995182,0
4824,3267,34,434,0,783,216,9558,1109,10667,-0.0481559,-0.0110014,-0.998779,0
4711,3286,32,382,0,767,229,9407,1744,11151,-0.032225,0.0162882,-0.999348,0
4769,3304,33,421,0,757,215,9499,1947,11446,-0.0246791,0.0258475,-0.999361,0
4740,3287,33,384,0,776,215,9435,2038,11473,-0.0248922,0.0169476,-0.999547,0
4787,3386,37,384,0,753,211,9558,2143,11701,-0.0265832,0.0187479,-0.999471,0
4837,3347,33,404,0,756,213,9590,2056,11646,-0.0199196,0.0271581,-0.999433,0
4771,3266,33,384,0,843,218,9515,1869,11384,-0.0183587,0.0209067,-0.999613,0
4844,3340,35,381,0,765,241,9606,2076,11682,-0.0155292,0.0195533,-0.999688,0
5180,3488,38,387,0,755,239,10087,2004,12091,-0.0160704,0.0188088,-0.999694,0
4681,3300,33,382,0,755,212,9363,1902,11265,-0.0196655,0.0221188,-0.999562,0
4705,3282,34,385,0,753,212,9371,2038,11409,-0.0215624,0.0274608,-0.99939,0
4704,3327,34,377,0,754,212,9408,2280,11688,-0.0206177,0.0278501,-0.999399,0
3288,2376,23,262,0,544,145,6638,1574,8212,-0.0218524,0.0305328,-0.999295,0
4694,3294,32,379,0,755,211,9365,1975,11340,-0.0162729,0.0263586,-0.99952,0
4746,3175,33,377,0,776,214,9321,2005,11326,-0.0185904,0.027743,-0.999442,0
4705,3338,43,444,0,779,215,9524,2312,11836,-0.0218253,0.0231558,-0.999494,0
4555,2296,23,266,0,544,148,7832,1075,8907,-0.0194237,0.0245932,-0.999509,0
2805,2005,21,231,0,514,130,5706,1321,7027,-0.0202555,0.0259952,-0.999457,0
4912,4049,36,387,0,791,214,10389,1993,12382,-0.017033,0.0280749,-0.999461,0
5516,3243,35,382,0,785,215,10176,1968,12144,-0.0199982,0.0253933,-0.999477,0
4767,3273,33,390,0,755,215,9433,1996,11429,-0.0210992,0.0198778,-0.99958,0
4681,3216,33,387,0,754,217,9288,1926,11214,-0.0179772,0.0227606,-0.999579,0
2605,1718,17,198,0,395,110,5043,914,5957,-0.0169203,0.0273759,-0.999482,0
4727,3291,34,396,0,783,217,9448,1909,11357,-0.0198358,0.0260663,-0.999463,0
4461,2913,30,381,0,674,193,8652,1699,10351,-0.0258138,0.019148,-0.999483,0
4729,3286,33,380,0,754,209,9391,2075,11466,-0.024722,0.0183796,-0.999525,0
4708,3232,32,383,0,789,216,9360,1482,10842,-0.0181315,0.0203463,-0.999629,0
3703,2391,26,328,0,538,148,7134,1351,8485,-0.0192543,0.0299053,-0.999367,0
4690,3250,33,379,0,789,216,9357,2065,11422,-0.0196368,0.0286698,-0.999396,0
4883,3206,35,379,0,885,216,9604,2098,11702,-0.0185366,0.0210429,-0.999607,0
4649,3379,34,383,0,751,213,9409,1880,11289,-0.0165664,0.0209109,-0.999644,0
4758,3282,34,389,0,750,210,9423,1287,10710,-0.0189506,0.0197801,-0.999625,0
3674,2277,23,263,0,519,145,6901,1359,8260,-0.0198994,0.024204,-0.999509,0
4676,3239,33,377,0,752,211,9288,1892,11180,-0.0187857,0.0279418,-0.999433,0
4707,3239,36,383,0,753,254,9372,2032,11404,-0.0193485,0.0189046,-0.999634,0
4018,2322,22,263,0,536,112,7273,1043,8316,-0.0191519,0.0219923,-0.999574,0
2092,1424,15,167,0,323,95,4116,780,4896,-0.0193361,0.0275606,-0.999433,0
4336,3413,31,348,0,678,188,8994,1977,10971,-0.0203318,0.017238,-0.999645,0
4752,3294,34,381,0,745,210,9416,2232,11648,-0.0242343,0.0151098,-0.999592,0
4835,3298,34,391,0,748,230,9536,1840,11376,-0.0209821,0.0262896,-0.999435,0
4685,3289,34,384,0,758,248,9398,1874,11272,-0.018665,0.0218361,-0.999587,0
4693,3232,32,383,0,753,212,9305,2099,11404,-0.0191487,0.0235524,-0.999539,0
4666,3311,34,417,0,782,215,9425,1938,11363,-0.0193558,0.0204215,-0.999604,0
4320,2912,32,398,0,674,195,8531,1770,10301,-0.0204377,0.0258048,-0.999458,0
4614,3464,33,385,0,751,231,9478,1862,11340,-0.0195724,0.0229939,-0.999544,0
4669,3234,33,385,0,775,215,9311,1821,11132,-0.0179038,0.0201748,-0.999636,0
4824,3189,38,381,0,801,216,9449,1853,11302,-0.0186746,0.0185193,-0.999654,0
4854,3310,34,388,0,756,212,9554,1896,11450,-0.0169204,0.01618,-0.999726,0
3297,2249,23,264,0,521,146,6500,1435,7935,-0.0206537,0.0253425,-0.999465,0
5082,3628,45,425,0,757,211,10148,1926,12074,-0.0212473,0.0208502,-0.999557,0
4893,3345,23,264,0,519,165,9209,1221,10430,-0.0309931,0.0169324,-0.999376,0
2057,1384,15,163,0,292,77,3988,801,4789,-0.0202628,0.0248267,-0.999486,0
1835,1267,14,150,0,303,84,3653,885,4538,-0.0213406,0.0279996,-0.99938,0
4867,3298,32,386,0,777,211,9571,1997,11568,-0.0212655,0.0266625,-0.999418,0
4367,3086,30,348,0,678,194,8703,1825,10528,-0.0216756,0.0276509,-0.999383,0
4845,3503,33,387,0,791,216,9775,2120,11895,-0.0254393,0.0189187,-0.999497,0
3881,2460,23,268,0,419,114,7165,1013,8178,-0.0222972,0.027993,-0.999359,0
2046,1407,15,166,0,325,91,4050,855,4905,-0.0245917,0.0193818,-0.99951,0
4836,3340,35,384,0,751,211,9557,2014,11571,-0.0185348,0.0283706,-0.999426,0
4933,3510,48,517,0,761,219,9988,2083,12071,-0.0227928,0.0259235,-0.999404,0
4756,3285,34,387,0,763,213,9438,2042,11480,-0.0213408,0.025455,-0.999448,0
4680,3428,34,388,0,960,285,9775,1980,11755,-0.019518,0.0227015,-0.999552,0
3219,2258,23,260,0,519,145,6424,1421,7845,-0.0203197,0.0265683,-0.99944,0
4793,3269,34,417,0,755,213,9481,1987,11468,-0.0171639,0.0281694,-0.999456,0
4791,3361,48,388,0,790,216,9594,1838,11432,-0.0185865,0.0203011,-0.999621,0
4666,3314,53,379,0,755,212,9379,1952,11331,-0.0182992,0.0214587,-0.999603,0
4819,3262,33,400,0,795,218,9527,2164,11691,-0.0211016,0.0253708,-0.999455,0
4665,3289,34,380,0,747,210,9325,2115,11440,-0.0208738,0.0259625,-0.999445,0
