Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6395,2345,92,290,0,606,149,9877,2197,12074,0.0090778,-0.045625,-0.998917,0
5858,2049,28,262,0,602,150,8949,2016,10965,0.00649743,-0.0320753,-0.999464,0
6097,2050,29,267,0,585,148,9176,1360,10536,0.0071933,-0.0297766,-0.999531,0
4079,1445,19,182,0,403,100,6228,1409,7637,0.002315,-0.00540696,-0.999983,0
5938,2000,29,263,0,582,145,8957,1653,10610,-0.00657264,-0.00589696,-0.999961,0
6695,2068,28,263,0,580,146,9780,1906,11686,-0.00527667,0.00461863,-0.999975,0
5918,2036,31,264,0,594,145,8988,2273,11261,-0.00515665,0.011877,-0.999916,0
6166,2118,36,277,0,590,148,9335,1875,11210,-0.00661089,0.0146854,-0.999871,0
4025,1468,21,181,0,403,100,6198,1508,7706,-0.0111241,0.0147371,-0.99983,0
6123,2076,28,266,0,582,147,9222,2255,11477,-0.0117826,0.0170422,-0.999785,0
5895,2044,37,295,0,611,153,9035,2247,11282,-0.0136837,0.0202507,-0.999702,0
7552,2076,30,267,0,591,147,10663,1458,12121,-0.012862,0.0279116,-0.999528,0
5925,2109,35,294,0,588,147,9098,1426,10524,-0.0113348,0.0351252,-0.999319,0
3228,1110,19,224,0,467,109,5157,1148,6305,-0.0136136,0.0333715,-0.999351,0
6104,1988,21,185,0,407,101,8806,1554,10360,-0.014367,0.0317361,-0.999393,0
6120,1887,26,241,0,531,132,8937,1669,10606,-0.0144658,0.0275409,-0.999516,0
5454,1888,27,241,0,533,132,8275,2072,10347,-0.0154416,0.024797,-0.999573,0
5307,1964,26,276,0,541,136,8250,2036,10286,-0.0146338,0.0211818,-0.999669,0
5453,1907,27,242,0,529,132,8290,2321,10611,-0.0125645,0.0203298,-0.999715,0
6088,2056,30,265,0,587,181,9207,2316,11523,-0.0135706,0.0180908,-0.999744,0
6619,2041,29,296,0,641,151,9777,1797,11574,-0.0114528,0.0179114,-0.999774,0
4066,1454,20,181,0,410,102,6233,1025,7258,-0.0140542,0.0198178,-0.999705,0
5941,2082,29,264,0,601,147,9064,2193,11257,-0.0136408,0.0201896,-0.999703,0
6504,2434,31,265,0,624,177,10035,1481,11516,-0.0157588,0.0268972,-0.999514,0
4074,1467,20,199,0,435,105,6300,1377,7677,-0.0138854,0.0232072,-0.999634,0
6125,2122,27,266,0,616,150,9306,1963,11269,-0.0114175,0.0201985,-0.999731,0
5945,2007,30,260,0,602,147,8991,2196,11187,-0.0106723,0.019434,-0.999754,0
5410,1807,27,237,0,535,157,8173,2059,10232,-0.00830073,0.018358,-0.999797,0
5856,2013,30,261,0,582,146,8888,2266,11154,-0.0106062,0.0205849,-0.999732,0
5911,2042,29,263,0,586,146,8977,2189,11166,-0.011025,0.0209815,-0.999719,0
5899,2009,31,260,0,597,147,8943,2207,11150,-0.011701,0.0190718,-0.99975,0
6016,2076,29,268,0,605,150,9144,2110,11254,-0.00954593,0.0178912,-0.999794,0
5882,2096,36,300,0,647,147,9108,2087,11195,-0.0104607,0.0185684,-0.999773,0
4037,1437,21,180,0,404,101,6180,1564,7744,-0.0127939,0.0191992,-0.999734,0
5975,2048,31,261,0,583,148,9046,1740,10786,-0.0119421,0.0178714,-0.999769,0
6124,2043,29,267,0,602,149,9214,2103,11317,-0.0119699,0.0192399,-0.999743,0
6065,2040,29,265,0,589,147,9135,2220,11355,-0.00912144,0.0187522,-0.999782,0
5860,2007,29,261,0,585,146,8888,2192,11080,-0.0115697,0.0202885,-0.999727,0
5916,2120,31,266,0,589,147,9069,2207,11276,-0.011426,0.0210845,-0.999712,0
5907,2043,28,273,0,595,147,8993,1769,10762,-0.0121955,0.0273355,-0.999552,0
6073,2084,29,269,0,591,160,9206,2062,11268,-0.013771,0.0230762,-0.999639,0
5916,2040,30,288,0,590,149,9013,2239,11252,-0.0135486,0.0231561,-0.99964,0
6115,2048,28,263,0,588,146,9188,1716,10904,-0.0155573,0.0239857,-0.999591,0
5419,1881,27,240,0,525,131,8223,2030,10253,-0.0143134,0.0227406,-0.999639,0
6081,2049,29,261,0,611,149,9180,1613,10793,-0.0119089,0.021043,-0.999708,0
5529,1826,25,237,0,569,136,8322,1968,10290,-0.0103524,0.0206734,-0.999733,0
5364,1848,26,237,0,532,131,8138,2291,10429,-0.00849621,0.0175677,-0.99981,0
5983,2048,29,263,0,584,146,9053,2003,11056,-0.0111704,0.0240011,-0.99965,0
6522,1983,52,263,0,580,145,9545,2209,11754,-0.0134759,0.0215373,-0.999677,0
5914,2001,28,261,0,615,149,8968,2170,11138,-0.0123523,0.0196929,-0.99973,0
4896,1829,26,234,0,520,130,7635,1541,9176,-0.0106471,0.0174571,-0.999791,0
6042,2075,29,268,0,618,175,9207,2254,11461,-0.0115585,0.0186355,-0.99976,0
6056,2065,30,263,0,584,151,9149,1955,11104,-0.00921445,0.0185803,-0.999785,0
5283,1988,29,242,0,585,203,8330,2127,10457,-0.00820762,0.0160151,-0.999838,0
6020,2068,28,265,0,587,146,9114,2098,11212,-0.00775919,0.017452,-0.999818,0
5326,1846,27,237,0,544,134,8114,1863,9977,-0.00652727,0.0183377,-0.99981,0
5903,2075,48,268,0,592,148,9034,2262,11296,-0.00933358,0.0179145,-0.999796,0
5941,2039,29,264,0,584,145,9002,2212,11214,-0.00835314,0.0160397,-0.999837,0
5877,2016,31,263,0,582,147,8916,2209,11125,-0.0117391,0.0172266,-0.999783,0
5361,1835,26,236,0,525,131,8114,1933,10047,-0.0104661,0.015822,-0.99982,0
5857,2039,29,276,0,582,146,8929,2184,11113,-0.0122775,0.0220845,-0.999681,0
5932,2076,31,294,0,587,148,9068,2287,11355,-0.0102154,0.0202961,-0.999742,0
5911,1990,28,259,0,588,145,8921,2230,11151,-0.00788859,0.0186189,-0.999796,0
5881,2080,46,264,0,582,146,8999,2256,11255,-0.0115405,0.0200205,-0.999733,0
5878,2083,34,268,0,592,150,9005,2195,11200,-0.0128633,0.0190519,-0.999736,0
5858,2076,43,240,0,556,135,8908,1561,10469,-0.0103163,0.0161513,-0.999816,0
3829,1292,18,167,0,475,101,5882,1503,7385,-0.0122033,0.0177896,-0.999767,0
