Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
8879,4309,9703,310,0,627,157,23985,1233,25218,0.0180247,0.143694,-0.989458,0
2093,1451,12,189,0,318,84,4147,600,4747,0.015233,0.115568,-0.993183,0
2215,1532,16,184,0,381,106,4434,379,4813,0.0163874,0.113035,-0.993456,0
2162,1475,13,197,0,485,98,4430,776,5206,0.0129664,0.0772893,-0.996924,0
2347,1577,17,208,0,383,114,4646,1146,5792,0.0056515,0.0381283,-0.999257,0
3054,1935,14,242,0,540,138,5923,1686,7609,0.00272532,0.0257098,-0.999666,0
3150,2046,15,250,0,524,128,6113,1645,7758,-2.48849e-05,0.0230888,-0.999733,0
2107,1395,13,244,0,394,121,4274,1150,5424,-0.00205358,0.0220079,-0.999756,0
2231,1504,15,188,0,383,121,4442,1177,5619,-0.00379492,0.0211667,-0.999769,0
2227,1502,16,177,0,381,100,4403,1141,5544,-0.00467865,0.0210379,-0.999768,0
2341,1615,13,208,0,432,117,4726,1232,5958,-0.00558311,0.0211803,-0.99976,0
1929,1297,10,153,0,339,97,3825,1016,4841,-0.00566824,0.0214635,-0.999753,0
6215,4159,34,489,0,1035,272,12204,3135,15339,-0.00614911,0.0215615,-0.999749,0
4034,2884,52,374,0,737,190,8271,1803,10074,-0.00502066,0.0221269,-0.999742,0
7061,3306,28,435,0,928,209,11967,1728,13695,-0.00342503,0.0228045,-0.999734,0
3482,1756,13,246,0,440,128,6065,1381,7446,-0.00318222,0.0239761,-0.999707,0
2911,2067,16,255,0,516,151,5916,1768,7684,-0.00264546,0.0249197,-0.999686,0
2978,2110,16,276,0,530,136,6046,1648,7694,-0.00236663,0.0247279,-0.999691,0
2403,1626,13,201,0,418,111,4772,1301,6073,-0.00194591,0.0244686,-0.999699,0
7030,3616,23,376,0,740,187,11972,1782,13754,-0.000362905,0.0220303,-0.999757,0
7406,4283,30,477,0,991,188,13375,1658,15033,-0.00208089,0.0135014,-0.999907,0
1925,1225,10,148,0,313,82,3703,860,4563,-0.0041173,0.00784166,-0.999961,0
2422,1566,18,210,0,403,127,4746,964,5710,-0.00927836,-0.010305,-0.999904,0
2688,1780,15,246,0,448,134,5311,1183,6494,-0.013364,-0.0211626,-0.999687,0
8481,3305,28,389,0,743,222,13168,1309,14477,-0.0167584,-0.0546216,-0.998367,0
3511,1448,20,188,0,366,104,5637,1051,6688,-0.0107402,-0.0367455,-0.999267,0
1889,1249,11,184,0,327,91,3751,723,4474,-0.0104093,-0.0153586,-0.999828,0
6217,2529,35,273,0,597,143,9794,1283,11077,-0.0195815,-0.00571697,-0.999792,0
2322,1452,12,178,0,366,98,4428,846,5274,-0.0171376,0.0119488,-0.999782,0
2901,2007,15,253,0,496,149,5821,1272,7093,-0.0247167,0.0273931,-0.999319,0
2897,2023,15,263,0,523,143,5864,1571,7435,-0.0333054,0.0410835,-0.998601,0
3203,2118,15,273,0,536,154,6299,1819,8118,-0.0400745,0.0492045,-0.997985,0
5668,2775,19,309,0,602,161,9534,1182,10716,-0.0486359,0.0374043,-0.998116,0
2081,1432,11,177,0,362,96,4159,851,5010,-0.0281369,0.00830186,-0.99957,0
2118,1615,12,195,0,411,109,4460,892,5352,-0.020701,-0.0176391,-0.99963,0
3309,2599,17,334,0,782,291,7332,1815,9147,0.000177935,-0.0433935,-0.999058,0
3263,3314,35,410,0,734,182,7938,1476,9414,0.0198134,-0.0558231,-0.998244,0
3298,2790,21,356,0,670,195,7330,1262,8592,0.0333581,-0.0784961,-0.996356,0
3303,2557,18,320,0,681,167,7046,1269,8315,0.050943,-0.0883225,-0.994789,0
3345,2283,19,294,0,620,158,6719,1268,7987,0.0531548,-0.104863,-0.993065,0
5486,3338,36,524,0,933,229,10546,1479,12025,0.0670222,-0.156105,-0.985464,0
3248,1780,21,235,0,475,137,5896,1087,6983,0.042217,-0.169992,-0.984541,0
4054,1946,25,263,0,588,173,7049,1113,8162,0.0253786,-0.259832,-0.96532,0
3899,2189,22,323,0,604,195,7232,1701,8933,0.0213639,-0.294279,-0.955481,0
3671,2120,20,277,0,527,165,6780,1109,7889,0.0236382,-0.38397,-0.923043,0
5022,2919,39,427,0,891,214,9512,2062,11574,0.0246651,-0.349976,-0.936434,0
4732,3009,34,452,0,752,205,9184,1640,10824,0.016121,-0.29646,-0.954909,0
3358,1974,22,326,0,541,158,6379,1849,8228,-0.00024871,-0.1799,-0.983685,0
3428,1943,18,239,0,485,133,6246,1924,8170,-0.00937566,-0.104597,-0.994471,0
4466,2416,29,373,0,583,167,8034,2526,10560,-0.0130737,-0.146804,-0.989079,0
4471,2478,30,382,0,668,160,8189,2464,10653,-0.00310694,-0.195595,-0.98068,0
5580,2350,29,304,0,601,162,9026,2924,11950,0.0565049,-0.37226,-0.926407,0
3057,1062,13,143,0,383,85,4743,1411,6154,0.0451037,-0.290575,-0.955789,0
2377,822,13,116,0,213,59,3600,1312,4912,0.03274,-0.215807,-0.975887,0
4599,2023,20,265,0,494,156,7557,2221,9778,0.0350408,-0.218456,-0.975217,0
4984,2920,26,373,0,751,198,9252,2137,11389,0.0247125,-0.28103,-0.959381,0
4501,2950,22,340,0,747,194,8754,1811,10565,0.0227952,-0.333068,-0.942627,0
4753,3246,27,535,0,1061,228,9850,1310,11160,0.0250644,-0.44327,-0.896037,0
6322,4159,28,550,0,1265,408,12732,1169,13901,0.0416417,-0.588473,-0.807444,0
4696,2989,20,398,0,798,214,9115,-1000,-1000,-1,-1,-1,0
6602,3827,21,447,0,867,241,12005,1391,13396,0.00759436,-0.267784,-0.963449,0
2760,2020,14,255,0,559,157,5765,891,6656,0.0110423,-0.415883,-0.909352,0
4796,2759,33,362,0,703,196,8849,1198,10047,0.021115,-0.634627,-0.77253,0
6322,2902,39,435,0,799,221,10718,-1000,-1000,-1,-1,-1,0
6411,3505,27,437,0,942,235,11557,1781,13338,0.000884051,-0.447453,-0.894307,0
4345,2741,19,349,0,700,183,8337,1239,9576,-0.0458978,-0.652887,-0.756063,0
4040,2942,17,379,0,737,196,8311,1701,10012,-0.0298227,-0.510802,-0.859181,0
6216,5154,25,673,0,1227,350,13645,-1000,-1000,-1,-1,-1,0
4012,3449,18,458,0,856,254,9047,890,9937,-0.0404925,-0.401569,-0.914933,0
6061,4957,26,615,0,1226,316,13201,-1000,-1000,-1,-1,-1,0
3130,2158,14,282,0,576,148,6308,738,7046,-0.0387939,-0.345551,-0.937598,0
6082,3680,38,644,0,1201,267,11912,1448,13360,-0.0986363,-0.606807,-0.788706,0
6069,3290,30,418,0,652,184,10643,-1000,-1000,-1,-1,-1,0
3012,1580,18,207,0,429,126,5372,1075,6447,-0.0386414,-0.272756,-0.961307,0
5614,2864,35,392,0,783,256,9944,1266,11210,-0.0479595,-0.345078,-0.937348,0
5534,3272,34,389,0,793,221,10243,1876,12119,-0.0572326,-0.539145,-0.840266,0
4455,1879,24,256,0,482,153,7249,1295,8544,-0.043078,-0.688184,-0.724256,0
2905,1162,15,148,0,322,89,4641,-1000,-1000,-1,-1,-1,0
4559,1626,26,225,0,642,135,7213,2593,9806,0.00276018,-0.319406,-0.947614,0
4637,1704,27,223,0,432,157,7180,2196,9376,0.00861945,-0.52912,-0.848504,0
3779,2094,16,266,0,552,149,6856,-1000,-1000,-1,-1,-1,0
5416,3404,40,447,0,772,224,10303,1859,12162,-0.0194786,-0.410377,-0.911708,0
3567,2315,15,321,0,639,160,7017,904,7921,-0.00759007,-0.605809,-0.795574,0
5871,3568,37,445,0,1061,240,11222,-1000,-1000,-1,-1,-1,0
3965,2107,22,254,0,587,168,7103,1237,8340,-0.0218398,-0.306742,-0.951542,0
7443,2334,21,266,0,475,138,10677,1294,11971,-0.0277618,-0.577619,-0.815835,0
3252,1328,16,210,0,366,110,5282,930,6212,-0.0256561,-0.672237,-0.739891,0
3992,2448,24,330,0,777,195,7766,-1000,-1000,-1,-1,-1,0
5136,4553,29,509,0,859,234,11320,1717,13037,-0.0043401,-0.48717,-0.873297,0
5451,3620,18,344,0,699,198,10330,1785,12115,-0.0505721,-0.66822,-0.742243,0
2894,2276,12,280,0,566,154,6182,-1000,-1000,-1,-1,-1,0
5416,4700,33,777,0,1026,292,12244,1836,14080,-0.00461115,-0.40822,-0.912872,0
5379,3291,32,386,0,812,212,10112,-1000,-1000,-1,-1,-1,0
3945,1956,18,239,0,542,137,6837,2252,9089,-0.000996798,-0.2156,-0.976482,0
6670,3170,29,419,0,879,208,11375,1071,12446,-0.0191977,-0.485755,-0.873884,0
4229,2614,32,335,0,542,174,7926,1060,8986,-0.00955048,-0.62603,-0.779741,0
4100,2254,31,357,0,580,171,7493,-1000,-1000,-1,-1,-1,0
4199,2090,21,280,0,562,159,7311,1619,8930,-0.089733,-0.187365,-0.978183,0
3874,2318,29,298,0,543,156,7218,950,8168,-0.0685094,-0.371422,-0.925934,0
3946,2104,22,345,0,567,177,7161,1271,8432,-0.0363145,-0.417158,-0.908108,0
3855,1988,23,343,0,642,181,7032,1275,8307,-0.0188794,-0.438879,-0.898348,0
3903,1989,23,275,0,515,149,6854,1661,8515,-0.0210258,-0.400994,-0.91584,0
3901,1994,18,250,0,541,144,6848,1620,8468,-0.0380588,-0.327378,-0.944127,0
3883,2157,20,319,0,629,166,7174,1471,8645,-0.0487259,-0.206226,-0.977291,0
3915,2157,18,334,0,582,170,7176,1665,8841,-0.0333694,-0.0250122,-0.99913,0
4004,2216,20,305,0,582,153,7280,2368,9648,-0.0176526,0.0361527,-0.99919,0
4066,2299,19,299,0,584,217,7484,2487,9971,-0.0106473,0.0437413,-0.998986,0
4210,2307,20,318,0,563,175,7593,2480,10073,-0.0135501,0.0196786,-0.999715,0
6115,2865,20,328,0,572,177,10077,2084,12161,-0.0184674,-0.0141913,-0.999729,0
2516,1379,12,164,0,355,93,4519,1542,6061,-0.0191638,-0.0363352,-0.999156,0
6718,3075,33,454,0,614,154,11048,2379,13427,-0.0324965,-0.0293349,-0.999041,0
2070,1091,11,151,0,279,80,3682,1175,4857,-0.0367481,-0.00985836,-0.999276,0
6396,3694,29,433,0,821,240,11613,3448,15061,-0.0230829,-0.00997431,-0.999684,0
3974,2104,19,284,0,554,155,7090,2432,9522,-0.0207875,-0.0199444,-0.999585,0
6061,3094,35,431,0,867,241,10729,3536,14265,-0.0190102,-0.0106092,-0.999763,0
5939,3041,28,414,0,867,306,10595,3684,14279,-0.0187503,-0.00845053,-0.999789,0
4005,1958,19,294,0,515,139,6930,2365,9295,-0.0203557,-0.0106712,-0.999736,0
5251,2555,25,389,0,684,215,9119,3047,12166,-0.0228958,-0.00976808,-0.99969,0
5775,2638,26,371,0,691,210,9711,2543,12254,-0.0224789,-0.00856939,-0.999711,0
5263,2591,26,399,0,657,179,9115,2904,12019,-0.0210297,-0.00696627,-0.999755,0
3814,1824,17,255,0,539,147,6596,2636,9232,-0.0205006,-0.00571069,-0.999774,0
2818,1429,14,194,0,409,98,4962,1622,6584,-0.0201038,-0.00566722,-0.999782,0
5596,2720,30,347,0,678,178,9549,2887,12436,-0.0193042,-0.00542767,-0.999799,0
5265,2585,22,376,0,659,193,9100,2969,12069,-0.0190324,-0.00584254,-0.999802,0
3306,1408,13,194,0,379,113,5413,1651,7064,-0.0191153,-0.00800404,-0.999785,0
5866,2771,27,344,0,731,194,9933,3363,13296,-0.0213824,-0.00780764,-0.999741,0
5829,2877,34,362,0,746,209,10057,3193,13250,-0.0223912,-0.00876009,-0.999711,0
5809,2968,29,406,0,730,228,10170,2440,12610,-0.021977,-0.00867,-0.999721,0
3894,1973,22,244,0,506,136,6775,2044,8819,-0.0199446,-0.0112272,-0.999738,0
5866,3133,29,422,0,812,241,10503,3264,13767,-0.020238,-0.0116158,-0.999728,0
4059,2076,19,283,0,551,163,7151,2144,9295,-0.0197639,-0.00882539,-0.999766,0
3960,2199,19,288,0,545,166,7177,2227,9404,-0.0197923,-0.00914568,-0.999762,0
4071,2142,19,281,0,556,166,7235,2311,9546,-0.020171,-0.0103479,-0.999743,0
