Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7732,3719,56,367,0,684,191,12749,1809,14558,-0.0755272,0.0587536,-0.995411,0
2277,1456,12,189,0,355,106,4395,498,4893,0.00393764,0.0397184,-0.999203,0
2493,1622,13,242,0,401,123,4894,640,5534,0.00805599,0.0342555,-0.99938,0
2806,1674,13,203,0,367,102,5165,1097,6262,0.00785906,0.0335462,-0.999406,0
2756,1618,13,228,0,401,107,5123,1033,6156,0.00665509,0.0336029,-0.999413,0
3319,2073,15,254,0,488,120,6269,1092,7361,0.0045241,0.0344275,-0.999397,0
2456,1612,16,194,0,369,116,4763,917,5680,0.00497698,0.0359017,-0.999343,0
2452,1565,13,236,0,536,128,4930,924,5854,0.00569574,0.0365367,-0.999316,0
2497,1559,13,213,0,366,101,4749,926,5675,0.00632703,0.0374853,-0.999277,0
2234,1524,13,216,0,373,126,4486,912,5398,0.0061063,0.0399695,-0.999182,0
2340,1779,17,261,0,536,140,5073,841,5914,0.00658326,0.0429896,-0.999054,0
2711,1738,15,208,0,415,107,5194,726,5920,0.00615596,0.0463966,-0.998904,0
1840,1269,10,164,0,303,93,3679,599,4278,0.00798918,0.052042,-0.998613,0
4322,2678,27,338,0,681,189,8235,1532,9767,0.0135149,0.0591643,-0.998156,0
3916,2690,21,347,0,667,189,7830,1449,9279,0.0119565,0.0576932,-0.998263,0
6344,4882,39,531,0,1005,287,13088,1637,14725,0.0118149,0.0636509,-0.997902,0
4169,2959,27,393,0,731,222,8501,1559,10060,0.00934222,0.0624638,-0.998004,0
3178,2256,20,299,0,554,168,6475,1206,7681,0.0114043,0.0643277,-0.997863,0
6693,4823,34,535,0,1022,282,13389,2012,15401,0.0139564,0.0694034,-0.997491,0
4134,2951,27,392,0,734,215,8453,1862,10315,0.0150711,0.0690022,-0.997503,0
6479,4947,36,481,0,918,244,13105,2517,15622,0.0147588,0.0729986,-0.997223,0
2981,1960,16,233,0,485,131,5806,1458,7264,0.0127193,0.0762196,-0.99701,0
6264,3929,24,362,0,688,184,11451,2068,13519,0.00981879,0.0877562,-0.996094,0
3213,2069,17,247,0,534,145,6225,1952,8177,0.011456,0.0789016,-0.996817,0
5214,3478,30,459,0,862,241,10284,1945,12229,0.0161655,0.0847253,-0.996273,0
6935,2896,22,372,0,726,211,11162,1298,12460,0.0160715,0.0829169,-0.996427,0
2727,1788,16,205,0,435,116,5287,1347,6634,0.0163766,0.0735334,-0.997158,0
5081,3117,25,374,0,764,203,9564,2322,11886,0.0132726,0.0859455,-0.996211,0
5066,3186,29,410,0,786,203,9680,1492,11172,0.0124645,0.0930975,-0.995579,0
3318,2151,17,297,0,617,182,6582,1498,8080,0.0127561,0.090559,-0.995809,0
6664,3940,31,521,0,956,279,12391,1975,14366,0.0142564,0.10251,-0.99463,0
3102,1933,16,250,0,494,129,5924,1233,7157,0.0140347,0.0906989,-0.99578,0
6660,4020,50,673,0,1121,197,12721,1482,14203,0.0167761,0.108472,-0.993958,0
2991,1790,22,221,0,438,127,5589,1093,6682,0.0164658,0.0992553,-0.994926,0
2422,1389,14,183,0,359,107,4474,911,5385,0.0143051,0.0950195,-0.995372,0
3234,1851,22,231,0,456,155,5949,1682,7631,0.00889454,0.0965221,-0.995291,0
3607,1866,23,247,0,442,130,6315,1508,7823,0.00601622,0.0946042,-0.995497,0
3189,1763,18,232,0,443,126,5771,1638,7409,-0.00134518,0.0968745,-0.995296,0
3261,1674,22,244,0,428,125,5754,1743,7497,0.0054769,0.0836739,-0.996478,0
3270,1682,21,268,0,427,123,5791,1834,7625,0.0126544,0.0856953,-0.996241,0
3922,1495,16,223,0,398,115,6169,2087,8256,0.0173761,0.0819625,-0.996484,0
5255,2684,37,492,0,733,238,9439,3396,12835,0.0167911,0.0805338,-0.99661,0
4084,1596,18,187,0,348,105,6338,1812,8150,0.0157207,0.0739221,-0.99714,0
5351,2783,31,406,0,742,252,9565,2836,12401,0.0214201,0.0848532,-0.996163,0
