Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5713,2808,64,320,0,671,153,9729,885,10614,0.0149374,-0.116268,-0.993106,0
2652,1567,18,251,0,465,107,5060,562,5622,0.0143285,-0.101772,-0.994705,0
6075,3706,34,433,0,975,246,11469,1339,12808,0.0149551,-0.0979888,-0.995075,0
6046,3602,30,437,0,936,240,11291,2229,13520,0.012216,-0.0803682,-0.99669,0
4191,2481,23,291,0,658,178,7822,1751,9573,0.00406005,-0.0384758,-0.999251,0
6054,3638,31,427,0,967,242,11359,3282,14641,0.00258985,-0.000380806,-0.999997,0
4248,2523,23,295,0,701,172,7962,3136,11098,-0.00164303,0.0183159,-0.999831,0
5969,3668,52,426,0,943,241,11299,3685,14984,-0.0047141,0.024304,-0.999694,0
3183,1952,16,226,0,502,129,6008,2633,8641,-0.00540095,0.0291771,-0.99956,0
5990,3740,31,428,0,994,248,11431,4595,16026,-0.00293589,0.0320198,-0.999483,0
4065,2559,22,302,0,647,165,7760,3354,11114,-0.00137396,0.0308226,-0.999524,0
5545,3203,28,379,0,925,223,10303,4156,14459,-0.00237846,0.0283903,-0.999594,0
3928,2325,20,271,0,616,154,7314,3032,10346,-0.00266402,0.0254072,-0.999674,0
5987,3679,33,426,0,946,241,11312,4893,16205,-0.0023079,0.023442,-0.999723,0
5379,3379,29,388,0,918,225,10318,4423,14741,-0.00326344,0.0233552,-0.999722,0
3857,2362,20,273,0,611,157,7280,3280,10560,-0.00298544,0.0239179,-0.999709,0
4896,3088,27,354,0,775,205,9345,4086,13431,-0.00330243,0.0232216,-0.999725,0
4459,2826,24,320,0,760,186,8575,3716,12291,-0.00327033,0.0226089,-0.999739,0
6146,3572,32,453,0,992,243,11438,4290,15728,-0.00221245,0.0224415,-0.999746,0
4141,2546,23,297,0,665,169,7841,3023,10864,-0.00222827,0.0239228,-0.999711,0
6070,3735,30,431,0,953,245,11464,4347,15811,-0.00202818,0.0228867,-0.999736,0
4211,2611,22,297,0,664,168,7973,3642,11615,-0.00300922,0.0247247,-0.99969,0
6106,3760,36,433,0,958,246,11539,4985,16524,-0.00476715,0.0258805,-0.999654,0
4079,2576,22,296,0,667,169,7809,3818,11627,-0.00407781,0.0254192,-0.999669,0
6149,3700,31,434,0,976,247,11537,4794,16331,-0.00416803,0.0264518,-0.999641,0
4182,2535,26,299,0,696,173,7911,3595,11506,-0.004989,0.0276022,-0.999606,0
5908,3729,31,458,0,956,245,11327,4847,16174,-0.0054439,0.0270059,-0.99962,0
4582,2593,23,316,0,663,170,8347,3643,11990,-0.00530352,0.0270655,-0.999619,0
5959,3656,31,444,0,957,245,11292,5344,16636,-0.00631444,0.0279737,-0.999589,0
4561,2569,22,295,0,706,169,8322,3686,12008,-0.0053195,0.0279247,-0.999596,0
4890,3164,27,371,0,787,202,9441,4612,14053,-0.00525328,0.0283997,-0.999583,0
4900,3732,42,354,0,810,202,10040,3562,13602,-0.00548614,0.0290336,-0.999563,0
4590,3321,23,333,0,722,184,9173,4132,13305,-0.00477743,0.0301334,-0.999534,0
5974,3689,31,448,0,960,246,11348,4773,16121,-0.00329981,0.0297319,-0.999552,0
3615,2427,21,324,0,706,175,7268,3439,10707,-0.00335032,0.0292711,-0.999566,0
6005,3731,32,431,0,962,246,11407,5336,16743,-0.00249839,0.0283865,-0.999594,0
4154,2583,22,297,0,668,170,7894,3636,11530,-0.0022273,0.0274592,-0.99962,0
5437,3463,29,424,0,917,225,10495,4877,15372,-0.00429033,0.0265318,-0.999639,0
3841,2422,19,281,0,622,159,7344,3561,10905,-0.00550419,0.0282834,-0.999585,0
6065,3711,30,441,0,961,245,11453,5439,16892,-0.00762537,0.0307175,-0.999499,0
4129,2591,21,300,0,671,171,7883,3795,11678,-0.00669717,0.0316121,-0.999478,0
6296,3667,48,434,0,963,247,11655,5162,16817,-0.00525875,0.0309871,-0.999506,0
4571,2714,22,302,0,669,171,8449,3661,12110,-0.00487605,0.02889,-0.999571,0
4978,3002,25,361,0,784,202,9352,4564,13916,-0.00442348,0.0264972,-0.999639,0
6289,3747,33,448,0,971,265,11753,4652,16405,-0.00541433,0.0245136,-0.999685,0
3185,1976,17,230,0,516,160,6084,3075,9159,-0.000130913,0.0242313,-0.999707,0
6003,3774,31,442,0,1012,253,11515,4945,16460,0.00827211,0.0241928,-0.999673,0
4276,2792,22,315,0,690,176,8271,3733,12004,0.0060018,0.0245961,-0.99968,0
5371,3386,27,427,0,890,230,10331,4765,15096,0.000428585,0.0241942,-0.999707,0
5107,3140,24,371,0,820,209,9671,4664,14335,-0.0039618,0.0265495,-0.99964,0
5218,3346,26,398,0,814,209,10011,4686,14697,-0.00526392,0.0268123,-0.999627,0
3624,2325,18,282,0,594,154,6997,3308,10305,-0.00429673,0.02889,-0.999573,0
6294,3870,30,449,0,1022,258,11923,4786,16709,-0.00354712,0.0311112,-0.99951,0
4255,2736,35,309,0,695,178,8208,3975,12183,-0.00467272,0.0321791,-0.999471,0
4257,2657,22,309,0,690,174,8109,3829,11938,-0.00519902,0.033451,-0.999427,0
6067,3855,33,474,0,1054,263,11746,5414,17160,-0.00534372,0.034949,-0.999375,0
4130,2688,21,312,0,693,178,8022,3647,11669,-0.00549012,0.0375096,-0.999281,0
6284,3827,32,448,0,1044,259,11894,5281,17175,-0.00631932,0.0427332,-0.999067,0
4190,2705,21,306,0,685,173,8080,3681,11761,-0.0068429,0.0450195,-0.998963,0
6003,3760,31,438,0,1001,251,11484,4812,16296,-0.00687663,0.0456827,-0.998932,0
3180,2023,17,269,0,649,199,6337,2590,8927,-0.0070102,0.0456627,-0.998932,0
6094,3740,30,448,0,1391,333,12036,3952,15988,-0.00564382,0.0430917,-0.999055,0
4203,2877,33,379,0,680,174,8346,3287,11633,-0.00560458,0.038679,-0.999236,0
6285,3727,32,437,0,992,259,11732,5087,16819,-0.00484867,0.0354889,-0.999359,0
4197,2525,22,301,0,674,179,7898,3473,11371,-0.00589961,0.0335351,-0.99942,0
5728,3371,29,418,0,878,225,10649,4626,15275,-0.00534096,0.0323438,-0.999463,0
3858,2380,20,279,0,652,202,7391,508,7899,-0.00756422,0.0215699,-0.999739,0
6177,3752,31,436,0,1011,272,11679,3954,15633,-0.00314735,0.0265446,-0.999643,0
