Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5133,379,84,73,0,79,23,5771,1283,7054,-0.0205087,-0.0613034,-0.997909,0
5170,226,30,49,0,75,24,5574,-1000,-1000,-1,-1,-1,0
3523,154,20,34,0,51,16,3798,-1000,-1000,-1,-1,-1,0
5455,243,30,52,0,73,23,5876,-1000,-1000,-1,-1,-1,0
5261,210,29,50,0,71,23,5644,-1000,-1000,-1,-1,-1,0
3752,146,21,35,0,49,16,4019,-1000,-1000,-1,-1,-1,0
5187,243,35,54,0,77,24,5620,-1000,-1000,-1,-1,-1,0
3846,150,21,34,0,49,15,4115,-1000,-1000,-1,-1,-1,0
3461,184,23,39,0,48,15,3770,-1000,-1000,-1,-1,-1,0
5086,219,29,50,0,73,23,5480,-1000,-1000,-1,-1,-1,0
3622,143,20,35,0,49,15,3884,-1000,-1000,-1,-1,-1,0
3712,150,20,38,0,48,15,3983,-1000,-1000,-1,-1,-1,0
3425,151,21,32,0,50,17,3696,-1000,-1000,-1,-1,-1,0
5032,221,32,47,0,72,22,5426,-1000,-1000,-1,-1,-1,0
5010,228,29,48,0,72,23,5410,-1000,-1000,-1,-1,-1,0
5170,256,30,55,0,85,26,5622,-1000,-1000,-1,-1,-1,0
5037,217,28,49,0,96,25,5452,-1000,-1000,-1,-1,-1,0
5107,227,29,52,0,79,23,5517,-1000,-1000,-1,-1,-1,0
5026,231,30,51,0,71,23,5432,-1000,-1000,-1,-1,-1,0
5013,217,28,49,0,74,22,5403,-1000,-1000,-1,-1,-1,0
5045,207,27,49,0,69,21,5418,-1000,-1000,-1,-1,-1,0
5131,225,35,60,0,72,23,5546,-1000,-1000,-1,-1,-1,0
5345,205,30,55,0,70,22,5727,-1000,-1000,-1,-1,-1,0
4990,212,29,48,0,70,22,5371,-1000,-1000,-1,-1,-1,0
5142,222,30,52,0,71,22,5539,-1000,-1000,-1,-1,-1,0
5393,219,34,51,0,68,22,5787,-1000,-1000,-1,-1,-1,0
5115,220,30,49,0,72,22,5508,-1000,-1000,-1,-1,-1,0
3577,148,20,34,0,48,15,3842,-1000,-1000,-1,-1,-1,0
4982,212,30,45,0,69,22,5360,-1000,-1000,-1,-1,-1,0
5083,215,45,48,0,72,22,5485,-1000,-1000,-1,-1,-1,0
5217,223,29,50,0,72,23,5614,-1000,-1000,-1,-1,-1,0
5036,218,29,48,0,71,23,5425,-1000,-1000,-1,-1,-1,0
5160,209,30,49,0,68,22,5538,-1000,-1000,-1,-1,-1,0
3614,145,20,34,0,49,15,3877,-1000,-1000,-1,-1,-1,0
4658,199,30,59,0,80,25,5051,-1000,-1000,-1,-1,-1,0
4671,204,27,46,0,63,20,5031,-1000,-1000,-1,-1,-1,0
5100,215,29,46,0,67,22,5479,-1000,-1000,-1,-1,-1,0
4831,146,20,33,0,49,17,5096,-1000,-1000,-1,-1,-1,0
2127,90,14,20,0,28,9,2288,-1000,-1000,-1,-1,-1,0
1800,76,12,17,0,24,8,1937,-1000,-1000,-1,-1,-1,0
5267,210,29,50,0,69,21,5646,-1000,-1000,-1,-1,-1,0
4652,217,27,45,0,65,20,5026,-1000,-1000,-1,-1,-1,0
3175,133,21,31,0,48,19,3427,-1000,-1000,-1,-1,-1,0
5136,318,37,68,0,112,34,5705,-1000,-1000,-1,-1,-1,0
5345,240,36,70,0,50,16,5757,-1000,-1000,-1,-1,-1,0
2619,112,16,24,0,35,11,2817,-1000,-1000,-1,-1,-1,0
5118,249,28,50,0,99,32,5576,-1000,-1000,-1,-1,-1,0
5107,213,28,49,0,73,23,5493,-1000,-1000,-1,-1,-1,0
2946,108,16,25,0,36,11,3142,-1000,-1000,-1,-1,-1,0
2215,90,12,21,0,29,9,2376,-1000,-1000,-1,-1,-1,0
2394,96,14,22,0,32,9,2567,-1000,-1000,-1,-1,-1,0
5239,212,29,47,0,68,21,5616,-1000,-1000,-1,-1,-1,0
