Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6816,2682,111,336,0,644,169,10758,2305,13063,-0.0441102,-0.0844352,-0.995452,0
4232,1520,19,236,0,427,115,6549,1152,7701,-0.0508775,-0.0665006,-0.996488,0
6585,2293,31,341,0,676,176,10102,1781,11883,-0.0573461,-0.0615202,-0.996457,0
6443,2345,32,302,0,646,169,9937,1289,11226,-0.0621449,-0.0611912,-0.996189,0
5748,2073,27,275,0,573,180,8876,1708,10584,-0.0659928,-0.0603789,-0.995992,0
5805,2020,26,272,0,565,151,8839,1726,10565,-0.0597849,-0.0560425,-0.996637,0
6103,2119,26,270,0,606,154,9278,1307,10585,-0.0637808,-0.0591347,-0.99621,0
4078,1404,18,180,0,445,106,6231,1080,7311,-0.0631819,-0.0573768,-0.996351,0
7003,2185,52,335,0,608,165,10348,1937,12285,-0.0629577,-0.0597417,-0.996227,0
4353,1581,21,200,0,410,109,6674,1271,7945,-0.0643617,-0.0577055,-0.996257,0
6640,2261,32,327,0,617,164,10041,2027,12068,-0.0632655,-0.0599251,-0.996196,0
6469,1570,20,196,0,414,111,8780,1381,10161,-0.0634992,-0.0591574,-0.996227,0
3684,1180,16,172,0,321,86,5459,970,6429,-0.0654644,-0.0574788,-0.996198,0
5849,2019,27,264,0,621,227,9007,2080,11087,-0.0615543,-0.0558449,-0.99654,0
5959,1939,27,262,0,548,154,8889,1815,10704,-0.0630978,-0.0593249,-0.996243,0
5167,1727,23,231,0,485,131,7764,1628,9392,-0.0643861,-0.0594992,-0.99615,0
6476,2156,31,289,0,603,160,9715,1686,11401,-0.0645497,-0.0618729,-0.995995,0
3409,999,14,135,0,278,75,4910,955,5865,-0.0669772,-0.0634613,-0.995734,0
2417,779,11,92,0,189,50,3538,683,4221,-0.0647269,-0.0630584,-0.995909,0
3188,1060,14,162,0,295,80,4799,890,5689,-0.0653621,-0.0622732,-0.995916,0
5805,1940,27,257,0,574,148,8751,1659,10410,-0.06389,-0.0610051,-0.996091,0
5712,1877,27,250,0,519,140,8525,1759,10284,-0.0640641,-0.0587678,-0.996214,0
5194,1722,27,229,0,496,131,7799,1575,9374,-0.0649362,-0.0586268,-0.996166,0
5759,1851,28,248,0,515,136,8537,1687,10224,-0.0658089,-0.0581912,-0.996134,0
5719,1898,28,257,0,519,140,8561,1539,10100,-0.0670973,-0.0588694,-0.996008,0
5740,1850,29,267,0,507,139,8532,1458,9990,-0.0670738,-0.060478,-0.995914,0
5605,1801,29,242,0,492,132,8301,1588,9889,-0.0683189,-0.0610389,-0.995795,0
5704,1779,29,240,0,494,132,8378,1653,10031,-0.0658104,-0.0594049,-0.996062,0
5724,1802,29,242,0,521,153,8471,1765,10236,-0.0663859,-0.0588691,-0.996056,0
5866,1785,38,244,0,491,134,8558,1638,10196,-0.0643099,-0.061288,-0.996046,0
6690,1852,31,287,0,371,97,9328,1251,10579,-0.0649221,-0.058446,-0.996178,0
3878,1239,19,167,0,341,92,5736,1136,6872,-0.0630371,-0.0582417,-0.99631,0
5684,1794,31,240,0,495,147,8391,1746,10137,-0.0633718,-0.0578149,-0.996314,0
5603,1903,30,248,0,491,133,8408,1773,10181,-0.0634413,-0.0609727,-0.996121,0
5634,1824,53,240,0,500,159,8410,1812,10222,-0.0626706,-0.0574594,-0.996379,0
5991,1831,27,246,0,528,187,8810,1687,10497,-0.0632179,-0.0573869,-0.996348,0
5700,1811,30,243,0,497,133,8414,1475,9889,-0.0666533,-0.0565647,-0.996172,0
5727,1821,30,244,0,502,135,8459,1221,9680,-0.0679699,-0.0556306,-0.996135,0
2640,811,14,105,0,216,57,3843,798,4641,-0.0656258,-0.0569426,-0.996218,0
2007,644,14,91,0,176,51,2983,646,3629,-0.06134,-0.0582186,-0.996418,0
