Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5290,3945,89,553,3734,84,297,13992,1513,15505,-0.0037278,0.0324585,-0.999466,0
5315,3772,71,576,3289,33,194,13250,1607,14857,0.0262505,0.00667785,-0.999633,0
2698,1917,22,247,1844,24,146,6898,1241,8139,0.0289511,0.00307076,-0.999576,0
4222,3025,28,405,2817,38,218,10753,1927,12680,0.0272935,0.00668797,-0.999605,0
4187,2924,28,370,2907,53,202,10671,2001,12672,0.0265471,0.00374823,-0.999641,0
4194,2902,27,367,2842,35,217,10584,1852,12436,0.026134,0.00530866,-0.999645,0
5246,3607,34,455,3519,50,281,13192,1894,15086,0.0270926,0.00317661,-0.999628,0
3504,2427,24,317,2359,32,184,8847,1619,10466,0.0285721,0.00387579,-0.999584,0
5224,3667,36,463,3494,53,244,13181,2347,15528,0.0290212,0.0021885,-0.999576,0
3545,2515,25,333,2464,33,186,9101,1588,10689,0.0288783,0.00234591,-0.99958,0
5229,3581,33,471,3503,47,279,13143,2155,15298,0.0280684,0.00181275,-0.999604,0
3549,2461,25,391,2479,47,202,9154,1588,10742,0.0287142,0.00320813,-0.999583,0
4684,3259,36,408,3220,52,205,11864,1729,13593,0.0287398,0.00322246,-0.999582,0
5630,3617,42,494,3457,53,245,13538,1612,15150,0.0288593,0.00208837,-0.999581,0
2770,1857,19,228,1877,27,121,6899,1201,8100,0.0289351,0.00387994,-0.999574,0
5479,3665,34,477,3502,49,244,13450,1807,15257,0.0291731,0.00261963,-0.999571,0
2837,1846,18,238,2221,29,187,7376,1489,8865,0.0284068,0.00325805,-0.999591,0
3408,2337,21,328,2309,30,166,8599,1488,10087,0.0288445,0.00266445,-0.999581,0
5217,3492,41,406,3468,67,230,12921,2451,15372,0.0285383,0.00257651,-0.99959,0
3137,1840,17,213,1642,19,97,6965,1082,8047,0.0296846,0.00155469,-0.999558,0
1628,1126,14,140,1143,18,70,4139,687,4826,0.0295896,0.0023524,-0.999559,0
2095,1330,14,163,1305,16,85,5008,899,5907,0.0269316,0.00276627,-0.999633,0
5487,3762,35,508,3757,65,256,13870,2517,16387,0.0282315,0.00187541,-0.9996,0
2793,1984,23,345,2562,43,136,7886,1185,9071,0.0297024,0.00227496,-0.999556,0
4240,2922,28,335,2865,36,187,10613,1864,12477,0.0272419,0.00107823,-0.999628,0
5218,3653,31,419,4390,100,342,14153,1998,16151,0.0298557,-0.000183576,-0.999554,0
2729,1587,18,195,1510,28,101,6168,1022,7190,0.0293765,0.00104985,-0.999568,0
1999,1090,15,133,1063,14,80,4394,723,5117,0.0299663,0.00118172,-0.99955,0
1807,1238,15,145,1180,27,81,4493,796,5289,0.0286202,0.00190999,-0.999589,0
4800,3246,37,467,3090,47,204,11891,2178,14069,0.0290944,0.00158294,-0.999575,0
5235,3174,36,399,2918,50,149,11961,1489,13450,0.0290857,0.00278207,-0.999573,0
2590,1751,35,210,1703,41,119,6449,1151,7600,0.0285598,0.00206921,-0.99959,0
5250,3589,39,385,3270,54,216,12803,1890,14693,0.0288639,0.00204099,-0.999581,0
3343,2235,27,269,2147,53,161,8235,1473,9708,0.0291316,0.00323045,-0.99957,0
5257,3587,41,424,3237,92,215,12853,1829,14682,0.028568,0.000902641,-0.999591,0
3602,2433,28,327,2408,43,165,9006,1460,10466,0.0299556,0.00169731,-0.99955,0
5368,3464,43,437,3353,84,260,13009,2412,15421,0.0299468,0.00225346,-0.999549,0
4782,2370,28,284,1929,34,124,9551,1314,10865,0.0284624,0.00350691,-0.999589,0
2234,1262,12,143,1220,16,80,4967,772,5739,0.0295221,0.000831012,-0.999564,0
5643,3453,34,410,3377,49,228,13194,2424,15618,0.0295841,0.00388165,-0.999555,0
3424,1810,23,248,1619,26,99,7249,1074,8323,0.0310185,0.00212925,-0.999516,0
1884,1227,16,147,1181,22,82,4559,847,5406,0.0295183,-9.52084e-05,-0.999564,0
3632,2643,33,323,2331,43,162,9167,1618,10785,0.028128,0.000953016,-0.999604,0
5265,3389,40,405,3016,59,234,12408,2139,14547,0.0289456,0.00198997,-0.999579,0
4942,3155,31,413,3116,64,211,11932,2001,13933,0.0292852,0.0016735,-0.99957,0
3362,2215,22,324,2196,33,169,8321,1434,9755,0.0278894,0.000632256,-0.999611,0
5267,3549,34,457,3448,51,264,13070,2227,15297,0.0290978,0.000973598,-0.999576,0
3619,2473,24,321,2346,45,164,8992,1543,10535,0.0263368,0.000583905,-0.999653,0
5232,3490,45,415,3401,68,241,12892,2276,15168,0.0300805,-0.000652233,-0.999547,0
3606,2706,25,323,2288,37,160,9145,1646,10791,0.0292463,0.000263993,-0.999572,0
3592,2403,29,289,2340,52,191,8896,1747,10643,0.0294029,-0.000609934,-0.999567,0
4807,3276,31,396,3178,55,230,11973,1609,13582,0.0290559,0.00459003,-0.999567,0
3400,2298,21,336,2181,30,202,8468,2018,10486,0.0289364,0.000611769,-0.999581,0
3433,2284,22,300,2233,36,164,8472,1422,9894,0.0296338,0.00110646,-0.99956,0
4719,3236,30,369,3017,71,203,11645,2082,13727,0.0291453,0.000758325,-0.999575,0
5197,3515,40,406,3382,48,272,12860,1893,14753,0.0291358,0.00157443,-0.999574,0
3685,2510,23,319,2373,33,205,9148,1535,10683,0.0280208,-0.000752569,-0.999607,0
3711,2654,24,356,2453,38,176,9412,2003,11415,0.0281488,-0.000493723,-0.999604,0
3682,2360,31,279,2342,30,184,8908,1684,10592,0.0283114,0.00039362,-0.999599,0
5280,3462,42,417,3401,87,323,13012,2140,15152,0.0287971,-0.000591011,-0.999585,0
3723,2418,24,314,2384,34,185,9082,1590,10672,0.0282644,-0.000510988,-0.9996,0
5846,3547,35,471,3675,53,229,13856,1735,15591,0.0298616,0.00169086,-0.999553,0
3623,2362,23,341,1849,27,140,8365,1184,9549,0.0290803,-0.00138214,-0.999576,0
4315,2882,28,390,2848,39,189,10691,1944,12635,0.0298519,0.000458834,-0.999554,0
4236,2935,29,339,2799,54,187,10579,2168,12747,0.0313008,-8.44259e-05,-0.99951,0
4076,2644,26,342,2569,35,200,9892,1760,11652,0.0281766,0.000456186,-0.999603,0
5094,3119,30,429,3055,74,249,12050,2088,14138,0.0299055,0.000671409,-0.999552,0
4792,3176,30,459,3117,43,208,11825,1551,13376,0.0307693,-0.000514597,-0.999526,0
3338,2227,21,260,2547,48,211,8652,1950,10602,0.0302834,-0.000604067,-0.999541,0
3128,2089,20,237,2005,41,133,7653,1420,9073,0.0292496,-6.91219e-05,-0.999572,0
5219,3585,33,427,3319,42,251,12876,2173,15049,0.0276467,0.00091126,-0.999617,0
3588,2380,23,279,2373,32,156,8831,1611,10442,0.0290756,0.000279397,-0.999577,0
5228,3631,37,404,3334,40,225,12899,2332,15231,0.0280075,0.00168669,-0.999606,0
4672,3216,31,374,3401,57,258,12009,1855,13864,0.0284347,0.00155174,-0.999594,0
3310,2214,22,264,2168,35,180,8193,1515,9708,0.0310748,-0.000279486,-0.999517,0
4850,3214,37,407,3111,44,268,11931,2142,14073,0.0282493,-0.000561185,-0.999601,0
4774,3292,31,437,3160,43,247,11984,2088,14072,0.0284515,-0.0002311,-0.999595,0
3474,2358,22,301,2222,29,178,8584,1437,10021,0.0288802,-0.000467975,-0.999583,0
4867,3170,32,380,3150,52,256,11907,2347,14254,0.0296542,-0.000547449,-0.99956,0
4345,2966,28,374,2900,50,236,10899,1895,12794,0.0300598,0.00056202,-0.999548,0
4274,2957,30,377,2811,40,187,10676,1810,12486,0.028644,-0.00111236,-0.999589,0
4324,2938,27,410,2867,38,195,10799,1858,12657,0.0304558,-0.00134092,-0.999535,0
5305,3650,41,514,3664,61,292,13527,1539,15066,0.0276989,-0.00152237,-0.999615,0
2769,1923,23,228,1894,29,133,6999,1196,8195,0.0298543,-0.00314226,-0.999549,0
5232,3640,32,461,3530,55,240,13190,2433,15623,0.028837,-0.00295911,-0.99958,0
5615,3608,36,417,3554,52,234,13516,2365,15881,0.0277572,-0.00108152,-0.999614,0
5155,3438,33,403,3453,53,268,12803,2282,15085,0.0285048,-0.00219417,-0.999591,0
5349,3457,34,399,2607,31,159,12036,1672,13708,0.0282783,-0.00108804,-0.9996,0
2983,1801,20,212,1808,36,120,6980,1237,8217,0.026707,0.000725996,-0.999643,0
5202,3487,36,474,3573,68,265,13105,2526,15631,0.0276124,-0.00165525,-0.999617,0
5150,3552,34,402,2799,45,213,12195,1656,13851,0.0264556,-0.00163137,-0.999649,0
2766,1776,18,245,1796,29,136,6766,1197,7963,0.0281927,-0.00107061,-0.999602,0
4268,2838,28,376,2821,63,223,10617,2078,12695,0.0275557,-0.000593431,-0.99962,0
5450,3508,36,467,3686,66,256,13469,2446,15915,0.0283815,-0.00226654,-0.999594,0
6568,4444,45,437,3448,74,235,15251,1561,16812,0.0263947,-0.00141326,-0.999651,0
2734,1510,13,192,1427,21,110,6007,1068,7075,0.0265949,-0.00255488,-0.999643,0
1773,1192,13,150,1153,15,88,4384,829,5213,0.0274959,-0.00251859,-0.999619,0
5225,3423,34,450,3384,52,260,12828,2449,15277,0.0263455,-0.001097,-0.999652,0
5322,3504,37,403,2468,46,162,11942,1584,13526,0.0277325,-0.00366584,-0.999609,0
