Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
4869,3376,72,440,3284,61,235,12337,2069,14406,-0.0249608,0.0096277,-0.999642,0
4816,3166,24,269,2190,22,155,10642,1512,12154,-0.0227201,0.014178,-0.999641,0
2841,2108,22,248,2105,22,141,7487,1408,8895,-0.019319,0.0239471,-0.999527,0
5133,3533,34,389,3281,47,266,12683,2188,14871,-0.0196769,0.0236143,-0.999528,0
5212,3107,31,350,2755,21,139,11615,1410,13025,-0.0181942,0.0251802,-0.999517,0
2369,1703,17,192,1654,18,108,6061,1071,7132,-0.020199,0.0275589,-0.999416,0
4892,3260,32,386,3187,36,215,12008,2024,14032,-0.0180353,0.023131,-0.99957,0
4677,3273,37,386,3190,36,274,11873,2190,14063,-0.0166736,0.0229489,-0.999597,0
4938,3266,35,387,2312,25,150,11113,1535,12648,-0.0204447,0.03228,-0.99927,0
3647,2177,22,257,2090,21,137,8351,1373,9724,-0.0199752,0.0333227,-0.999245,0
4706,3261,33,386,3191,34,216,11827,1973,13800,-0.0185014,0.0293414,-0.999398,0
4867,3461,34,385,3323,35,217,12322,1955,14277,-0.0183981,0.0207334,-0.999616,0
3427,2255,23,281,2222,24,174,8406,1411,9817,-0.0202054,0.0270202,-0.999431,0
4938,3303,34,384,3232,34,216,12141,2060,14201,-0.0176571,0.022067,-0.9996,0
5196,3354,34,386,3313,35,216,12534,2084,14618,-0.0177229,0.0230939,-0.999576,0
4240,2269,24,263,1941,18,115,8870,1122,9992,-0.0183087,0.0197862,-0.999637,0
2061,1226,12,147,1165,12,91,4714,806,5520,-0.0152461,0.0193108,-0.999697,0
2543,1784,17,204,1691,17,159,6415,1300,7715,-0.0200911,0.0205653,-0.999587,0
4867,3253,33,390,3296,33,219,12091,2679,14770,-0.0185811,0.0322577,-0.999307,0
4738,3286,33,421,3224,34,264,12000,2162,14162,-0.0174963,0.0261095,-0.999506,0
4821,3462,33,387,3184,32,238,12157,2015,14172,-0.0185395,0.0217952,-0.999591,0
4774,2955,28,284,2177,23,147,10388,1186,11574,-0.0187531,0.0192276,-0.999639,0
3099,1544,14,165,1331,12,76,6241,777,7018,-0.0167272,0.0212647,-0.999634,0
1447,1033,11,118,1010,10,67,3696,649,4345,-0.0150382,0.0209743,-0.999667,0
4887,3294,34,382,3208,33,261,12099,2030,14129,-0.018688,0.0259976,-0.999487,0
4968,3299,40,604,4205,35,235,13386,2072,15458,-0.0179669,0.0293372,-0.999408,0
2059,1388,15,163,1331,14,91,5061,979,6040,-0.0187247,0.0328397,-0.999285,0
3572,2470,25,334,2621,32,212,9266,1581,10847,-0.018013,0.0273645,-0.999463,0
3724,2530,25,294,2447,25,188,9233,1541,10774,-0.0180883,0.0220248,-0.999594,0
3647,2989,27,290,2415,25,162,9555,1687,11242,-0.0199825,0.0273855,-0.999425,0
3604,2504,26,290,2555,27,162,9168,1579,10747,-0.0195555,0.0309787,-0.999329,0
4844,3332,33,385,3307,35,216,12152,2063,14215,-0.0203345,0.0348119,-0.999187,0
3294,2327,24,381,2729,25,151,8931,1387,10318,-0.0164201,0.0234876,-0.999589,0
5019,3600,35,387,3330,35,217,12623,1572,14195,-0.0186222,0.01946,-0.999637,0
4839,3614,37,389,3264,41,229,12413,2195,14608,-0.0200403,0.02511,-0.999484,0
3236,1756,17,203,1766,18,115,7111,857,7968,-0.0222165,0.0232888,-0.999482,0
1720,1204,12,138,1162,12,76,4324,690,5014,-0.0204671,0.0222155,-0.999544,0
4224,2852,30,341,2815,29,189,10480,2032,12512,-0.0176762,0.0305528,-0.999377,0
4848,3359,32,385,3227,36,215,12102,2107,14209,-0.0191385,0.0320374,-0.999304,0
4890,3340,43,393,3291,35,218,12210,1665,13875,-0.0199907,0.0309756,-0.99932,0
4758,3296,33,387,3253,33,195,11955,2069,14024,-0.0173538,0.022457,-0.999597,0
4779,3263,32,427,3248,33,232,12014,2019,14033,-0.0199477,0.0247726,-0.999494,0
3312,2327,27,263,2407,33,217,8586,1958,10544,-0.017211,0.0184937,-0.999681,0
5148,3663,34,389,3305,35,218,12792,2015,14807,-0.0211925,0.0293609,-0.999345,0
4802,3295,34,385,3422,42,149,12129,1567,13696,-0.0221603,0.0239848,-0.999467,0
2477,1702,18,200,1706,18,112,6233,1128,7361,-0.0207719,0.0220244,-0.999541,0
4860,3250,33,418,3140,34,194,11929,2484,14413,-0.0208702,0.0226479,-0.999526,0
3286,2266,23,456,2639,25,153,8848,1570,10418,-0.018088,0.0190525,-0.999655,0
4527,2976,29,400,2901,31,196,11060,1951,13011,-0.0200459,0.0245202,-0.999498,0
4941,3536,34,384,3270,36,220,12421,2018,14439,-0.0207048,0.0280477,-0.999392,0
4790,3082,23,263,2284,25,149,10616,1290,11906,-0.0220417,0.0301586,-0.999302,0
2085,1205,12,145,1121,12,75,4655,683,5338,-0.0164501,0.0190206,-0.999684,0
1723,1296,14,153,1249,13,84,4532,877,5409,-0.0160432,0.0219128,-0.999631,0
4853,3296,32,396,3215,34,215,12041,2496,14537,-0.0164002,0.0276767,-0.999483,0
4922,3405,35,386,3201,34,214,12197,2263,14460,-0.0167159,0.029292,-0.999431,0
4763,3368,34,382,3387,34,252,12220,2274,14494,-0.0196141,0.0263032,-0.999461,0
3780,1845,17,204,1704,18,114,7682,1123,8805,-0.0207548,0.026145,-0.999443,0
1740,1168,13,139,1147,12,78,4297,720,5017,-0.0219631,0.0210584,-0.999537,0
3287,2338,22,286,2248,24,173,8378,1604,9982,-0.0215231,0.0242412,-0.999474,0
4826,3253,34,389,3107,31,218,11858,2356,14214,-0.020391,0.0338682,-0.999218,0
4230,2948,29,345,2937,33,199,10721,1627,12348,-0.0187722,0.0207068,-0.999609,0
3958,2681,26,315,2652,27,178,9837,1792,11629,-0.0198878,0.0240527,-0.999513,0
4775,3378,62,408,3253,37,218,12131,2004,14135,-0.019844,0.02064,-0.99959,0
3290,2386,23,292,2223,23,150,8387,1485,9872,-0.0163345,0.0288001,-0.999452,0
4460,2974,30,349,2902,30,220,10965,1916,12881,-0.0178933,0.0274588,-0.999463,0
4214,2995,31,343,2946,31,239,10799,2552,13351,-0.0198571,0.0248106,-0.999495,0
2394,1653,16,192,1600,16,118,5989,1186,7175,-0.0227637,0.0229415,-0.999478,0
