Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
7140,4723,93,629,3078,63,280,16006,1182,17188,0.00448114,0.0730431,-0.997319,0
2750,1921,19,249,1853,34,144,6970,1090,8060,-0.00517628,0.0253623,-0.999665,0
2111,1529,12,234,1443,28,99,5456,832,6288,-0.00468831,0.0255102,-0.999663,0
3416,2049,22,200,1423,30,111,7251,815,8066,-0.00335143,0.0239627,-0.999707,0
2093,1490,15,182,1465,40,111,5396,779,6175,-0.00386556,0.0230672,-0.999726,0
2514,1598,18,328,1617,33,101,6209,830,7039,-0.00349389,0.0235227,-0.999717,0
2317,1586,12,209,1534,25,107,5790,925,6715,-0.00445688,0.0225051,-0.999737,0
3231,2088,16,272,2082,35,136,7860,1082,8942,-0.00550561,0.0219268,-0.999744,0
2171,1503,13,205,1527,29,105,5553,850,6403,-0.00593922,0.0209653,-0.999763,0
2308,1600,17,211,1550,37,136,5859,860,6719,-0.00569315,0.0220635,-0.99974,0
2214,1618,16,221,1609,40,139,5857,844,6701,-0.00586693,0.0230629,-0.999717,0
2441,1609,13,235,1772,41,116,6227,864,7091,-0.0053862,0.023384,-0.999712,0
2339,1734,18,228,1742,35,130,6226,926,7152,-0.00581356,0.0240052,-0.999695,0
7223,4630,24,489,3360,66,257,16049,1292,17341,-0.00438237,0.0243749,-0.999693,0
2609,1947,19,263,2076,51,136,7101,1034,8135,-0.00464909,0.0244685,-0.99969,0
3105,2137,19,285,2234,54,211,8045,1238,9283,-0.00495348,0.025283,-0.999668,0
5399,3386,30,451,3330,76,267,12939,1758,14697,-0.00464806,0.025017,-0.999676,0
7433,3468,23,368,2757,47,167,14263,1324,15587,-0.0045148,0.0240046,-0.999702,0
4657,2238,19,298,1964,29,121,9326,996,10322,-0.00437994,0.0241871,-0.999698,0
1837,1401,10,152,1280,22,99,4801,865,5666,-0.00364998,0.0230935,-0.999727,0
7042,3978,31,384,3396,75,267,15173,1185,16358,-0.0049396,0.0127313,-0.999907,0
3837,2670,21,555,2121,64,226,9494,1203,10697,-0.00714286,0.00444695,-0.999965,0
1954,1230,11,149,1211,26,96,4677,940,5617,-0.00751112,-0.00328879,-0.999966,0
1858,1202,9,149,1288,20,107,4633,851,5484,-0.0113589,-0.013203,-0.999848,0
7056,2712,19,277,2142,34,149,12389,1471,13860,-0.0166568,-0.0486451,-0.998677,0
2507,1477,13,186,1278,25,88,5574,711,6285,-0.0116872,-0.0274491,-0.999555,0
1884,1149,12,139,1141,18,78,4421,873,5294,-0.0108843,-0.00631496,-0.999921,0
1971,1301,11,159,1650,33,97,5222,784,6006,-0.0162943,0.00539149,-0.999853,0
3012,2541,24,357,2075,35,162,8206,1182,9388,-0.0190897,0.0172228,-0.99967,0
4483,2729,28,329,2594,35,176,10374,1387,11761,-0.0270176,0.0316076,-0.999135,0
4005,2721,25,333,2878,45,191,10198,1357,11555,-0.0351618,0.0469664,-0.998277,0
2970,2115,20,308,2112,41,152,7718,1346,9064,-0.0392532,0.053201,-0.997812,0
2918,2260,17,326,2269,36,188,8014,1116,9130,-0.0378685,0.0358326,-0.99864,0
2857,2349,23,365,2414,57,206,8271,1155,9426,-0.0270867,0.00993393,-0.999584,0
3029,2425,26,626,2610,31,176,8923,1076,9999,-0.0199165,-0.0195613,-0.99961,0
3195,2446,21,325,2515,49,188,8739,1075,9814,-0.00507599,-0.0379608,-0.999267,0
3121,2693,27,345,2406,39,174,8805,1132,9937,0.00733342,-0.0572247,-0.998334,0
