Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
6031,3775,95,461,3494,76,241,14173,965,15138,-0.0116433,0.00435165,-0.999923,0
4146,2464,23,296,2426,36,166,9557,1459,11016,-0.00776052,0.0332495,-0.999417,0
4969,2978,26,347,2838,45,196,11399,1793,13192,-0.00852724,0.0334,-0.999406,0
6062,3623,33,431,3527,50,240,13966,2159,16125,-0.0093134,0.0323777,-0.999433,0
5970,3626,32,427,3300,41,170,13566,1521,15087,-0.00920454,0.0318937,-0.999449,0
4999,3083,26,357,2999,44,201,11709,1772,13481,-0.00938385,0.0311446,-0.999471,0
4869,2989,27,343,3195,52,205,11680,1270,12950,-0.0100718,0.0337596,-0.999379,0
3651,2170,19,254,2133,27,144,8398,1297,9695,-0.0112326,0.0361974,-0.999281,0
7453,3973,43,592,3679,54,246,16040,2495,18535,-0.00808445,0.0372437,-0.999274,0
5945,3688,32,409,2413,38,179,12704,1717,14421,-0.00665736,0.0354947,-0.999348,0
3152,1877,18,221,1916,26,129,7339,1146,8485,-0.00755811,0.032828,-0.999432,0
6131,3691,32,484,3555,53,245,14191,1725,15916,-0.00837814,0.0312828,-0.999475,0
4075,2605,23,295,2485,40,166,9689,1551,11240,-0.00815771,0.0314696,-0.999472,0
5005,3036,26,374,2957,42,208,11648,1831,13479,-0.009218,0.0298842,-0.999511,0
4940,3046,26,368,2674,37,147,11238,1494,12732,-0.00952934,0.0299817,-0.999505,0
2808,1728,16,200,1717,29,115,6613,1021,7634,-0.00852304,0.0299493,-0.999515,0
6153,3705,40,526,3677,65,248,14414,2087,16501,-0.00941873,0.0284331,-0.999551,0
4151,2461,23,318,2426,37,168,9584,1505,11089,-0.00764065,0.0289331,-0.999552,0
5452,3270,30,385,3258,51,221,12667,1916,14583,-0.00753975,0.0304409,-0.999508,0
6035,3690,32,430,3588,56,240,14071,1780,15851,-0.00742696,0.0294751,-0.999538,0
4449,2526,24,298,2547,35,190,10069,1393,11462,-0.0075418,0.0288151,-0.999556,0
3872,2345,20,272,2393,37,161,9100,1402,10502,-0.00871271,0.0306286,-0.999493,0
5910,3659,31,426,3680,56,251,14013,2172,16185,-0.0101827,0.0317763,-0.999443,0
3940,2422,21,278,2367,39,158,9225,1413,10638,-0.00865113,0.0311679,-0.999477,0
4905,3015,44,348,2951,56,198,11517,2117,13634,-0.0108433,0.0324064,-0.999416,0
6197,3858,38,481,3804,72,248,14698,1845,16543,-0.0113349,0.0315774,-0.999437,0
3564,1954,17,227,1983,53,132,7930,1150,9080,-0.0104414,0.031363,-0.999453,0
6022,3688,34,481,3627,62,247,14161,2448,16609,-0.0116901,0.032797,-0.999394,0
4352,2692,23,304,2549,61,184,10165,1264,11429,-0.0120602,0.0342205,-0.999342,0
5057,3081,28,352,3004,57,200,11779,1919,13698,-0.0107307,0.0329157,-0.999401,0
5005,3100,25,353,3029,45,203,11760,1392,13152,-0.0106888,0.0327998,-0.999405,0
3606,2211,18,257,2272,32,153,8549,1419,9968,-0.010731,0.0339549,-0.999366,0
3449,2064,18,242,2103,43,157,8076,1280,9356,-0.010032,0.0343307,-0.99936,0
6105,3763,34,432,3712,67,248,14361,2226,16587,-0.00855971,0.0328649,-0.999423,0
4178,2564,22,297,2538,36,167,9802,1547,11349,-0.00983106,0.0336049,-0.999387,0
5992,3735,32,432,3726,69,250,14236,2166,16402,-0.00878194,0.0313167,-0.999471,0
4128,2658,22,302,2604,32,172,9918,1553,11471,-0.0101355,0.0309756,-0.999469,0
5409,3320,28,387,3244,48,222,12658,1748,14406,-0.0122432,0.0327279,-0.999389,0
3849,2364,21,271,2352,34,160,9051,1448,10499,-0.0128915,0.0354558,-0.999288,0
6029,3712,32,450,3635,69,265,14192,2187,16379,-0.0113326,0.0351173,-0.999319,0
4152,2585,22,295,2497,36,168,9755,1532,11287,-0.0108101,0.0350887,-0.999326,0
6102,3670,33,431,3650,52,249,14187,1515,15702,-0.0107175,0.0325125,-0.999414,0
6106,3713,54,433,3257,54,267,13884,1548,15432,-0.0116055,0.0310253,-0.999451,0
3253,2008,19,229,1943,29,131,7612,1225,8837,-0.0112764,0.0290926,-0.999513,0
5506,3357,30,393,3329,48,233,12896,1978,14874,-0.00593006,0.0302475,-0.999525,0
5578,3404,29,402,3461,56,229,13159,1439,14598,0.00349273,0.0277849,-0.999608,0
6082,3828,31,461,3825,61,269,14557,1847,16404,-0.000756998,0.0275956,-0.999619,0
3300,2032,17,245,1967,29,132,7722,1185,8907,-0.00680149,0.0294512,-0.999543,0
6318,3874,31,446,3659,54,246,14628,2237,16865,-0.00909277,0.0298374,-0.999513,0
6264,3889,32,445,3823,49,277,14779,1529,16308,-0.0111401,0.0323501,-0.999415,0
4163,2723,22,303,2661,41,172,10085,1501,11586,-0.00927993,0.0344606,-0.999363,0
6045,3898,31,445,3858,52,251,14580,2234,16814,-0.00971865,0.0373946,-0.999253,0
4155,2861,27,411,2994,35,179,10662,1503,12165,-0.00848055,0.0341411,-0.999381,0
5512,3456,29,400,3531,46,230,13204,1582,14786,-0.00966822,0.0368365,-0.999275,0
3856,2451,20,281,2555,32,164,9359,1408,10767,-0.010719,0.0374584,-0.999241,0
6098,3902,32,445,3805,48,251,14581,2138,16719,-0.0109268,0.0417062,-0.99907,0
5450,3433,29,399,3386,61,226,12984,1990,14974,-0.0101119,0.0421788,-0.999059,0
3867,2516,21,285,2452,42,163,9346,1403,10749,-0.0106343,0.0450345,-0.998929,0
4908,3141,26,374,3085,45,208,11787,1834,13621,-0.0104418,0.0453852,-0.998915,0
6147,3850,31,465,3727,55,250,14525,1854,16379,-0.0108208,0.0478553,-0.998796,0
3855,2435,20,281,2357,39,159,9146,1434,10580,-0.00933497,0.0452125,-0.998934,0
6076,3689,30,441,3613,76,223,14148,1822,15970,-0.00977226,0.0409319,-0.999114,0
4137,2591,23,300,2582,47,172,9852,1540,11392,-0.00937944,0.0375188,-0.999252,0
6049,3642,32,482,3614,68,255,14142,2158,16300,-0.0106536,0.0367517,-0.999268,0
4121,2619,22,325,2547,43,174,9851,1537,11388,-0.00911002,0.0357544,-0.999319,0
6067,3739,35,429,3684,59,247,14260,2208,16468,-0.0083142,0.0347795,-0.999361,0
5933,2936,21,300,2559,44,182,11975,1175,13150,-0.00821752,0.0347791,-0.999362,0
3602,2248,20,258,2231,43,150,8552,1330,9882,-0.0087504,0.0361884,-0.999307,0
4455,2741,24,321,2737,39,187,10504,1631,12135,-0.00977164,0.0367042,-0.999278,0
6261,3750,30,440,3652,67,251,14451,2155,16606,-0.0107122,0.0371258,-0.999253,0
4112,2582,22,320,2526,47,171,9780,1562,11342,-0.00893426,0.0368069,-0.999283,0
6409,3770,33,444,3918,77,256,14907,2204,17111,-0.00642941,0.0369208,-0.999298,0
4766,2621,21,308,2559,48,173,10496,1541,12037,-0.0072705,0.0355541,-0.999342,0
4350,2547,22,303,2516,50,169,9957,1587,11544,-0.00755635,0.0360777,-0.99932,0
4102,2585,23,300,2530,37,169,9746,1576,11322,-0.00822488,0.0359306,-0.99932,0
5980,3514,30,397,3358,59,226,13564,1996,15560,-0.00941864,0.0357108,-0.999318,0
3925,2357,22,280,2381,54,181,9200,1435,10635,-0.00992755,0.0360459,-0.999301,0
6362,3761,32,438,3674,71,248,14586,2190,16776,-0.0102507,0.0378503,-0.999231,0
4116,2472,46,300,2446,36,168,9584,1553,11137,-0.00987021,0.0385491,-0.999208,0
5914,3686,31,440,3628,53,243,13995,2221,16216,-0.0080596,0.0413965,-0.99911,0
6202,3746,31,569,3792,58,250,14648,1706,16354,-0.0121682,0.0498339,-0.998683,0
4375,2544,24,297,2551,42,169,10002,1120,11122,-0.0119884,0.0541633,-0.99846,0
5966,3599,31,426,3621,49,245,13937,1499,15436,-0.0117538,0.0589649,-0.998191,0
5932,3620,31,451,3524,72,263,13893,1854,15747,-0.0122915,0.072018,-0.997328,0
4073,2513,22,300,2406,35,166,9515,1508,11023,-0.010626,0.0885881,-0.996012,0
6014,3488,33,406,3492,45,234,13712,1696,15408,-0.0115636,0.111529,-0.993694,0
4002,2401,22,273,2695,39,159,9591,1420,11011,-0.0082169,0.112732,-0.993591,0
5740,3331,30,389,3534,92,289,13405,2103,15508,-0.0113243,0.128317,-0.991668,0
6288,3412,31,398,3211,64,224,13628,1484,15112,-0.0110515,0.154371,-0.987951,0
4075,2157,23,286,2068,43,145,8797,1293,10090,-0.0170841,0.13381,-0.99086,0
5858,2829,32,341,2740,72,219,12091,1806,13897,-0.0381072,0.153077,-0.98748,0
6282,2475,30,313,2360,76,173,11709,1570,13279,-0.0521278,0.152048,-0.986997,0
4015,1564,21,222,1510,35,117,7484,1361,8845,-0.0338984,0.151302,-0.987906,0
4258,1349,19,182,1379,36,102,7325,1359,8684,-0.0153976,0.140141,-0.990012,0
6079,2107,29,269,2311,68,235,11098,2132,13230,-0.00619584,0.162679,-0.98666,0
5635,1919,28,291,1902,59,149,9983,2035,12018,-0.0149749,0.174117,-0.984611,0
4480,1306,19,165,1201,37,92,7300,1354,8654,-0.0156348,0.175239,-0.984402,0
5646,1942,55,324,2043,58,138,10206,1965,12171,-0.0152973,0.196276,-0.980429,0
6356,1617,26,219,1666,61,125,10070,1502,11572,-0.0207957,0.178142,-0.983785,0
5527,1316,24,182,1278,48,100,8475,2253,10728,-0.0291701,0.201793,-0.978994,0
5478,1242,35,173,1174,62,94,8258,2473,10731,-0.0197135,0.195467,-0.980512,0
5361,1116,29,156,1012,54,86,7814,2471,10285,-0.00539918,0.194356,-0.980916,0
5017,971,27,146,878,53,71,7163,1907,9070,0.00662131,0.151946,-0.988367,0
5296,889,26,130,894,50,77,7362,2280,9642,0.0116362,0.195534,-0.980628,0
5337,916,31,149,861,46,73,7413,2222,9635,0.0123541,0.143971,-0.989505,0
5313,883,30,160,825,39,72,7322,2019,9341,-0.00265298,0.18272,-0.983161,0
5494,951,26,141,907,37,77,7633,2193,9826,-0.00557783,0.155347,-0.987844,0
5780,1065,25,156,1000,36,85,8147,1985,10132,-0.00895756,0.148529,-0.988868,0
5364,1073,29,169,1032,33,84,7784,1692,9476,-0.0076174,0.12187,-0.992517,0
