Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5186,339,71,81,199,61,30,5967,2849,8816,-0.0671399,-0.0552501,-0.996213,0
5049,226,30,66,215,53,29,5668,-1000,-1000,-1,-1,-1,0
4936,227,43,59,179,52,24,5520,-1000,-1000,-1,-1,-1,0
5298,220,28,48,178,52,23,5847,-1000,-1000,-1,-1,-1,0
5853,250,29,50,171,45,23,6421,-1000,-1000,-1,-1,-1,0
5034,208,37,51,158,46,22,5556,-1000,-1000,-1,-1,-1,0
5019,209,29,49,165,48,22,5541,-1000,-1000,-1,-1,-1,0
5156,232,31,63,177,53,25,5737,-1000,-1000,-1,-1,-1,0
2790,119,19,27,89,21,12,3077,-1000,-1000,-1,-1,-1,0
4986,209,30,48,159,49,22,5503,-1000,-1000,-1,-1,-1,0
5008,218,29,49,169,60,34,5567,-1000,-1000,-1,-1,-1,0
4487,182,25,42,144,42,20,4942,-1000,-1000,-1,-1,-1,0
5025,213,28,49,162,50,29,5556,-1000,-1000,-1,-1,-1,0
7497,219,26,49,172,45,25,8033,-1000,-1000,-1,-1,-1,0
2600,116,16,25,91,27,12,2887,-1000,-1000,-1,-1,-1,0
5036,234,27,49,173,41,23,5583,-1000,-1000,-1,-1,-1,0
4998,243,29,51,181,54,24,5580,-1000,-1000,-1,-1,-1,0
5081,242,29,50,177,53,23,5655,-1000,-1000,-1,-1,-1,0
4963,225,28,49,179,42,23,5509,-1000,-1000,-1,-1,-1,0
5014,212,29,57,172,48,25,5557,-1000,-1000,-1,-1,-1,0
5093,217,27,50,167,49,23,5626,-1000,-1000,-1,-1,-1,0
5060,210,27,50,160,45,27,5579,-1000,-1000,-1,-1,-1,0
5077,225,35,57,173,55,23,5645,-1000,-1000,-1,-1,-1,0
4528,187,27,43,146,41,20,4992,-1000,-1000,-1,-1,-1,0
4949,233,28,50,169,48,22,5499,-1000,-1000,-1,-1,-1,0
5008,224,30,50,167,44,23,5546,-1000,-1000,-1,-1,-1,0
5032,211,29,46,166,55,22,5561,-1000,-1000,-1,-1,-1,0
5098,223,28,49,176,42,24,5640,-1000,-1000,-1,-1,-1,0
4941,208,29,45,167,48,22,5460,-1000,-1000,-1,-1,-1,0
5092,213,29,49,165,49,23,5620,-1000,-1000,-1,-1,-1,0
4955,216,28,48,168,41,23,5479,-1000,-1000,-1,-1,-1,0
5046,223,29,51,176,45,23,5593,-1000,-1000,-1,-1,-1,0
4451,195,26,49,155,43,20,4939,-1000,-1000,-1,-1,-1,0
5046,209,30,49,159,49,23,5565,-1000,-1000,-1,-1,-1,0
4960,210,28,45,165,47,22,5477,-1000,-1000,-1,-1,-1,0
4953,223,30,51,170,44,25,5496,-1000,-1000,-1,-1,-1,0
5007,215,28,49,215,46,23,5583,-1000,-1000,-1,-1,-1,0
5279,209,28,46,168,49,22,5801,-1000,-1000,-1,-1,-1,0
5456,208,30,50,162,45,23,5974,-1000,-1000,-1,-1,-1,0
2500,90,13,19,67,19,9,2717,-1000,-1000,-1,-1,-1,0
4970,206,29,46,177,42,23,5493,-1000,-1000,-1,-1,-1,0
5038,208,28,46,159,46,22,5547,-1000,-1000,-1,-1,-1,0
5069,216,28,48,172,44,24,5601,-1000,-1000,-1,-1,-1,0
4485,183,25,42,141,41,20,4937,-1000,-1000,-1,-1,-1,0
4982,215,28,46,165,43,22,5501,-1000,-1000,-1,-1,-1,0
4933,217,28,46,171,44,23,5462,-1000,-1000,-1,-1,-1,0
5089,207,29,54,161,43,22,5605,-1000,-1000,-1,-1,-1,0
4989,218,28,48,170,41,25,5519,-1000,-1000,-1,-1,-1,0
5096,210,28,49,170,41,23,5617,-1000,-1000,-1,-1,-1,0
4923,230,31,49,155,43,22,5453,-1000,-1000,-1,-1,-1,0
2121,89,12,20,69,18,9,2338,-1000,-1000,-1,-1,-1,0
2755,122,16,25,87,24,12,3041,-1000,-1000,-1,-1,-1,0
4916,228,29,45,163,45,22,5448,-1000,-1000,-1,-1,-1,0
6111,305,40,69,228,99,34,6886,-1000,-1000,-1,-1,-1,0
2664,111,25,25,92,23,12,2952,-1000,-1000,-1,-1,-1,0
5044,208,31,52,160,42,22,5559,-1000,-1000,-1,-1,-1,0
5063,215,29,47,154,45,22,5575,-1000,-1000,-1,-1,-1,0
4415,192,25,41,149,45,19,4886,-1000,-1000,-1,-1,-1,0
5052,210,30,48,167,46,22,5575,-1000,-1000,-1,-1,-1,0
4978,240,30,47,163,40,23,5521,-1000,-1000,-1,-1,-1,0
5334,210,30,50,187,56,27,5894,-1000,-1000,-1,-1,-1,0
4600,183,45,44,146,39,20,5077,-1000,-1000,-1,-1,-1,0
4928,217,34,63,170,59,26,5497,-1000,-1000,-1,-1,-1,0
4915,218,28,57,171,46,23,5458,-1000,-1000,-1,-1,-1,0
4993,219,28,47,162,47,22,5518,-1000,-1000,-1,-1,-1,0
5036,207,41,49,163,40,22,5558,-1000,-1000,-1,-1,-1,0
5026,212,28,47,163,44,23,5543,-1000,-1000,-1,-1,-1,0
5015,256,31,55,201,43,25,5626,-1000,-1000,-1,-1,-1,0
