Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
5908,2250,103,357,2175,64,159,11016,1719,12735,-0.00225286,-0.0780486,-0.996947,0
5835,2011,25,271,2038,40,158,10378,1407,11785,-0.0313338,-0.0525601,-0.998126,0
4391,1423,18,187,1391,29,107,7546,1799,9345,-0.0311584,-0.0156718,-0.999392,0
5731,2035,37,265,2203,65,194,10530,2357,12887,-0.023628,0.00877117,-0.999682,0
4145,1458,17,190,1523,31,108,7472,2005,9477,-0.0228882,0.0151694,-0.999623,0
6147,2076,26,275,2148,44,158,10874,-1000,-1000,-1,-1,-1,0
5679,2116,26,268,1719,30,103,9941,4353,14294,-0.0215478,0.0191555,-0.999584,0
3265,1056,14,139,1026,28,77,5605,2226,7831,-0.0187629,0.0276767,-0.999441,0
6012,1948,26,256,1894,54,143,10333,3325,13658,-0.00851908,0.0402474,-0.999153,0
5762,2041,26,274,1944,53,149,10249,2628,12877,-0.00850982,0.0492347,-0.998751,0
6220,2142,34,367,1793,38,105,10699,1557,12256,-0.0135502,0.0530589,-0.9985,0
3028,1053,14,147,1041,29,91,5403,1562,6965,-0.0238519,0.0560613,-0.998142,0
5905,2064,27,266,2003,51,153,10469,2843,13312,-0.0219049,0.0519852,-0.998408,0
5807,1982,27,263,2246,45,155,10525,2289,12814,-0.0299636,0.0474061,-0.998426,0
5295,1753,23,235,1736,35,135,9212,2959,12171,-0.0348143,0.0528874,-0.997994,0
6284,1927,50,258,1958,51,152,10680,2910,13590,-0.0193214,0.0575584,-0.998155,0
5755,1901,27,252,1864,49,144,9992,3371,13363,-0.0305151,0.0600683,-0.997727,0
3512,1017,14,134,967,26,74,5744,1038,6782,-0.0385307,0.0721129,-0.996652,0
2064,679,10,90,660,17,51,3571,1119,4690,-0.0221742,0.0656969,-0.997593,0
2627,853,12,130,824,21,63,4530,1432,5962,-0.0119942,0.0521631,-0.998567,0
5780,1920,28,253,1921,52,146,10100,2317,12417,-0.016838,0.0567698,-0.998245,0
5739,1874,27,261,1839,47,144,9931,2562,12493,-0.0228409,0.0671584,-0.997481,0
5484,1693,27,252,1755,59,141,9411,3060,12471,-0.0287575,0.0707089,-0.997082,0
5251,1698,27,228,1634,48,124,9010,2897,11907,-0.0128235,0.076965,-0.996951,0
5764,1925,29,254,1813,49,139,9973,2764,12737,-0.0234767,0.0849523,-0.996108,0
3972,1324,19,171,1238,33,94,6851,1464,8315,-0.0132231,0.0804004,-0.996675,0
5659,1767,28,247,1752,45,133,9631,2426,12057,-0.013538,0.0710395,-0.997382,0
5639,1764,28,237,1705,46,132,9551,3488,13039,-0.0102114,0.0665111,-0.997733,0
5159,1586,24,216,1557,41,119,8702,6430,15132,-0.0250372,0.0744368,-0.996912,0
3607,1162,18,154,1137,21,85,6184,1990,8174,-0.0202295,0.0763847,-0.996873,0
5629,1822,29,241,1754,55,133,9663,4479,14142,-0.0171484,0.0762977,-0.996938,0
5704,1787,28,241,1760,44,136,9700,4002,13702,-0.0164933,0.0733794,-0.997168,0
3906,1332,21,168,1220,24,95,6766,2583,9349,-0.0112955,0.0603281,-0.998115,0
5721,1769,29,264,1732,34,138,9687,1803,11490,-0.0108783,0.0509228,-0.998644,0
5617,1909,30,247,1868,54,143,9868,4407,14275,-0.00982061,0.0522174,-0.998588,0
2985,968,15,127,956,28,73,5152,1895,7047,-0.0165742,0.0628581,-0.997885,0
5652,1830,29,243,1752,51,162,9719,3288,13007,-0.0215292,0.0638462,-0.997727,0
5707,1860,29,244,1774,52,136,9802,4929,14731,-0.0257042,0.0692265,-0.99727,0
3058,960,16,135,940,21,58,5188,1084,6272,-0.0362961,0.0713378,-0.996792,0
2084,665,11,88,621,17,47,3533,1417,4950,-0.0235212,0.0729819,-0.997056,0
5703,1822,35,265,1721,48,135,9729,3262,12991,-0.00821858,0.0698436,-0.997524,0
5782,1790,28,241,1750,50,134,9775,3752,13527,-0.0125849,0.0643285,-0.99785,0
5146,1678,29,219,1561,45,120,8798,6633,15431,-0.00953247,0.0685898,-0.9976,0
3591,1234,19,159,1152,33,91,6279,2115,8394,-0.00403139,0.0773237,-0.996998,0
5577,1805,30,242,1746,49,135,9584,2694,12278,-0.00269266,0.0679015,-0.997688,0
5669,1832,30,261,1805,52,143,9792,2632,12424,-0.0262366,0.0883145,-0.995747,0
5799,1970,32,259,1885,43,199,10187,2258,12445,-0.0276653,0.0438469,-0.998655,0
4061,1332,21,178,1319,41,100,7052,1707,8759,-0.0196075,0.022536,-0.999554,0
5924,2036,33,268,1990,70,154,10475,2367,12842,-0.0149667,0.0228694,-0.999626,0
6105,2015,30,273,1941,40,107,10511,1664,12175,-0.0136044,0.012097,-0.999834,0
4351,1528,21,197,1545,41,128,7811,1590,9401,-0.0205193,-0.00195036,-0.999787,0
6049,2237,30,288,2137,53,161,10955,2326,13281,-0.0182812,-0.0135199,-0.999742,0
4243,1527,20,195,1492,41,112,7630,1923,9553,-0.0229985,-0.00996774,-0.999686,0
5587,2032,27,262,1938,65,149,10060,2063,12123,-0.0334672,-0.0394691,-0.99866,0
5999,2018,26,265,1999,46,151,10504,2452,12956,-0.0367724,-0.0424663,-0.998421,0
5314,2088,24,263,1964,49,145,9847,2029,11876,-0.0165581,-0.00381698,-0.999855,0
3934,1481,18,191,1459,30,106,7219,1711,8930,-0.037575,0.000794369,-0.999293,0
6214,2773,31,306,2216,60,171,11771,2814,14585,-0.0429487,-0.0150522,-0.998964,0
4171,1522,17,245,1460,40,135,7590,1412,9002,-0.0173147,-0.00619508,-0.999831,0
4146,1501,20,195,1501,36,109,7508,1851,9359,-0.0410694,0.00198437,-0.999154,0
5372,1926,31,248,1904,56,148,9685,2027,11712,-0.0204636,-0.00324259,-0.999786,0
5422,1849,27,240,1813,42,137,9530,2541,12071,-0.0159437,0.0071571,-0.999847,0
6739,2303,34,298,2152,48,166,11740,2611,14351,-0.0187554,0.0228656,-0.999562,0
4359,1307,17,142,1081,23,82,7011,1393,8404,-0.0203416,0.0518537,-0.998448,0
2469,959,11,93,677,16,51,4276,788,5064,-0.0173786,0.0572125,-0.998211,0
6591,1847,30,249,1812,54,142,10725,1792,12517,-0.0109625,0.0539081,-0.998486,0
5137,1230,20,166,1196,41,89,7879,1648,9527,-0.00670829,0.0580209,-0.998293,0
7422,2004,31,265,1906,52,148,11828,2482,14310,-0.00109704,0.0664921,-0.997787,0
3054,774,14,102,742,23,57,4766,872,5638,0.00436132,0.0654655,-0.997845,0
2045,623,12,83,607,17,48,3435,850,4285,-0.0142421,0.0937915,-0.99549,0
5521,1626,30,221,1615,53,129,9195,2620,11815,-0.0012484,0.0891728,-0.996016,0
6353,2143,43,321,2017,62,144,11083,3287,14370,0.00865926,0.073641,-0.997247,0
3769,1092,20,148,1050,29,82,6190,2280,8470,0.0139235,0.0629234,-0.997921,0
5529,1564,30,216,1532,38,121,9030,2730,11760,-0.00577019,0.0924454,-0.995701,0
5606,1589,30,218,1632,60,130,9265,2318,11583,0.0105579,0.0597827,-0.998155,0
5571,1588,30,231,1509,37,120,9086,2494,11580,0.0196221,0.0565348,-0.998208,0
3812,1070,19,147,1111,26,85,6270,2080,8350,0.0176093,0.0536265,-0.998406,0
5605,1669,29,273,2073,41,145,9835,2970,12805,0.0135692,0.0560914,-0.998334,0
5585,1608,29,222,1528,55,120,9147,3064,12211,0.0126014,0.0497406,-0.998683,0
5708,1625,30,221,1783,69,130,9566,2328,11894,-0.00753631,0.074733,-0.997175,0
3798,1118,21,150,1079,26,84,6276,2146,8422,0.00840667,0.068324,-0.997628,0
5663,1589,29,225,1556,39,123,9224,3053,12277,0.0110947,0.0641151,-0.997881,0
5696,1630,33,220,1563,39,124,9305,2429,11734,-0.0077614,0.0932737,-0.99561,0
3804,1101,20,148,1119,39,84,6315,1382,7697,-0.0179729,0.110123,-0.993755,0
5618,1605,31,246,1575,44,126,9245,3381,12626,-0.00836203,0.0946094,-0.995479,0
5498,1579,47,261,1565,39,125,9114,3490,12604,-0.00601543,0.0901103,-0.995914,0
5832,1584,41,217,1521,38,119,9352,2746,12098,0.0116132,0.0626234,-0.99797,0
5411,1111,24,166,1146,36,94,7988,1747,9735,0.0200483,0.0429023,-0.998878,0
2387,689,12,90,672,15,52,3917,1174,5091,0.0145107,0.0507375,-0.998607,0
5665,1617,28,219,1577,38,122,9266,2319,11585,-0.00805122,0.0776857,-0.996945,0
5554,2025,35,226,1709,60,147,9756,2611,12367,0.0105647,0.0575897,-0.998284,0
3825,1117,19,150,1078,26,84,6299,2092,8391,0.014285,0.0575931,-0.998238,0
5528,1745,37,222,1592,38,124,9286,2791,12077,0.00601218,0.0661127,-0.997794,0
5551,1685,28,223,1599,40,125,9251,2800,12051,0.00636306,0.0705842,-0.997486,0
