Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5951,1102,7053,14613,21666,-0.107649,0.0641259,-0.992119,0
0,0,0,0,0,2649,430,3079,14497,17576,-0.0560688,0.0339585,-0.997849,0
0,0,0,0,0,6043,1081,7124,8358,15482,-0.0473716,0.0266625,-0.998522,0
0,0,0,0,0,2620,432,3052,3022,6074,-0.0448822,0.0190508,-0.998811,0
0,0,0,0,0,6018,982,7000,7397,14397,-0.043193,0.00999387,-0.999017,0
0,0,0,0,0,6340,888,7228,6339,13567,-0.040872,0.000226227,-0.999164,0
0,0,0,0,0,3138,526,3664,5060,8724,-0.0385247,-0.00648856,-0.999237,0
0,0,0,0,0,3122,526,3648,6255,9903,-0.0378058,-0.00641124,-0.999265,0
0,0,0,0,0,4920,812,5732,9271,15003,-0.0372694,-0.00872228,-0.999267,0
0,0,0,0,0,6053,1038,7091,9779,16870,-0.0372729,-0.0100917,-0.999254,0
0,0,0,0,0,3084,515,3599,6632,10231,-0.0367136,-0.00857078,-0.999289,0
0,0,0,0,0,5475,831,6306,9740,16046,-0.0373703,-0.00672443,-0.999279,0
0,0,0,0,0,4784,829,5613,9063,14676,-0.0366696,-0.00747373,-0.9993,0
0,0,0,0,0,3354,615,3969,6597,10566,-0.0365258,-0.00878335,-0.999294,0
0,0,0,0,0,5924,992,6916,11270,18186,-0.0359034,-0.00963563,-0.999309,0
0,0,0,0,0,4035,675,4710,7827,12537,-0.036012,-0.00902721,-0.999311,0
0,0,0,0,0,5964,1006,6970,11309,18279,-0.0357949,-0.00973974,-0.999312,0
0,0,0,0,0,3764,627,4391,7705,12096,-0.0358023,-0.010207,-0.999307,0
0,0,0,0,0,6339,1008,7347,11840,19187,-0.0360666,-0.00933058,-0.999306,0
0,0,0,0,0,3117,478,3595,4903,8498,-0.0356811,-0.0097083,-0.999316,0
0,0,0,0,0,1797,265,2062,3302,5364,-0.0354326,-0.0109969,-0.999312,0
0,0,0,0,0,5671,891,6562,10644,17206,-0.0353024,-0.0102578,-0.999324,0
0,0,0,0,0,3835,631,4466,7666,12132,-0.0360053,-0.00773881,-0.999322,0
0,0,0,0,0,4826,919,5745,9147,14892,-0.0356819,-0.00836101,-0.999328,0
0,0,0,0,0,4802,836,5638,7209,12847,-0.0357546,-0.00809389,-0.999328,0
0,0,0,0,0,6001,1039,7040,10733,17773,-0.0362253,-0.00870143,-0.999306,0
0,0,0,0,0,3036,448,3484,4752,8236,-0.0362352,-0.00819132,-0.99931,0
0,0,0,0,0,1851,317,2168,3102,5270,-0.0370181,-0.00771637,-0.999285,0
0,0,0,0,0,1952,328,2280,3644,5924,-0.0378506,-0.00821262,-0.99925,0
0,0,0,0,0,5617,920,6537,10413,16950,-0.0379237,-0.00792203,-0.99925,0
0,0,0,0,0,5403,940,6343,7656,13999,-0.0377977,-0.00915503,-0.999244,0
0,0,0,0,0,5876,1030,6906,9175,16081,-0.0379388,-0.00874984,-0.999242,0
0,0,0,0,0,3101,537,3638,6028,9666,-0.0379823,-0.00756116,-0.99925,0
0,0,0,0,0,4906,824,5730,8897,14627,-0.0389771,-0.00654881,-0.999219,0
0,0,0,0,0,5880,967,6847,9880,16727,-0.0383863,-0.00785009,-0.999232,0
0,0,0,0,0,4913,846,5759,9154,14913,-0.0379522,-0.00758848,-0.999251,0
0,0,0,0,0,5947,974,6921,10430,17351,-0.0374891,-0.00852751,-0.999261,0
0,0,0,0,0,3398,544,3942,5058,9000,-0.0370472,-0.00920966,-0.999271,0
0,0,0,0,0,1817,315,2132,3344,5476,-0.0372051,-0.0097837,-0.99926,0
0,0,0,0,0,5906,1021,6927,11480,18407,-0.0374243,-0.00980539,-0.999251,0
0,0,0,0,0,3068,425,3493,4696,8189,-0.0371867,-0.00918946,-0.999266,0
0,0,0,0,0,1814,307,2121,3525,5646,-0.037348,-0.00883096,-0.999263,0
0,0,0,0,0,3113,518,3631,6122,9753,-0.0368735,-0.00989445,-0.999271,0
0,0,0,0,0,5926,1018,6944,11529,18473,-0.0372445,-0.00799492,-0.999274,0
0,0,0,0,0,4227,747,4974,7055,12029,-0.0373916,-0.0104984,-0.999246,0
0,0,0,0,0,3145,560,3705,6196,9901,-0.0371861,-0.0107979,-0.99925,0
0,0,0,0,0,5876,1005,6881,11640,18521,-0.0370629,-0.0108834,-0.999254,0
0,0,0,0,0,3186,529,3715,6576,10291,-0.0365471,-0.0107045,-0.999275,0
0,0,0,0,0,5935,979,6914,11036,17950,-0.0362769,-0.0116959,-0.999273,0
0,0,0,0,0,3142,518,3660,6659,10319,-0.036585,-0.0116431,-0.999263,0
0,0,0,0,0,4806,870,5676,10917,16593,-0.0374141,-0.0099735,-0.99925,0
0,0,0,0,0,4903,801,5704,8814,14518,-0.0381714,-0.00855116,-0.999235,0
0,0,0,0,0,2871,488,3359,5529,8888,-0.0374869,-0.0100588,-0.999247,0
0,0,0,0,0,6017,1014,7031,10403,17434,-0.0379807,-0.00920802,-0.999236,0
0,0,0,0,0,3180,548,3728,6101,9829,-0.0368555,-0.0104072,-0.999266,0
0,0,0,0,0,4857,870,5727,9640,15367,-0.0367904,-0.0113094,-0.999259,0
0,0,0,0,0,4953,799,5752,9033,14785,-0.0365015,-0.0102144,-0.999281,0
0,0,0,0,0,2778,481,3259,5411,8670,-0.0366286,-0.0104817,-0.999274,0
0,0,0,0,0,5993,1001,6994,10991,17985,-0.0365259,-0.0107994,-0.999274,0
0,0,0,0,0,4148,699,4847,7529,12376,-0.0376325,-0.00982735,-0.999244,0
0,0,0,0,0,3907,637,4544,7761,12305,-0.0379217,-0.00899418,-0.99924,0
