Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,5250,960,6210,12494,18704,-0.0349828,0.0044656,-0.999378,0
0,0,0,0,0,2631,444,3075,11228,14303,-0.0338884,0.00206637,-0.999423,0
0,0,0,0,0,4046,671,4717,15819,20536,-0.033321,0.000383383,-0.999445,0
0,0,0,0,0,2372,408,2780,10007,12787,-0.0329295,-0.000718876,-0.999458,0
0,0,0,0,0,4423,730,5153,17219,22372,-0.0324717,-0.000952664,-0.999472,0
0,0,0,0,0,3157,555,3712,12034,15746,-0.0322008,-0.00166207,-0.99948,0
0,0,0,0,0,2373,400,2773,9620,12393,-0.0321579,-0.0024212,-0.99948,0
0,0,0,0,0,4346,730,5076,16392,21468,-0.0322448,-0.00284321,-0.999476,0
0,0,0,0,0,2525,421,2946,10216,13162,-0.032458,-0.00300625,-0.999469,0
0,0,0,0,0,2828,476,3304,11936,15240,-0.0327304,-0.00299093,-0.99946,0
0,0,0,0,0,2829,485,3314,11680,14994,-0.0328002,-0.00313824,-0.999457,0
0,0,0,0,0,3485,587,4072,13873,17945,-0.0324552,-0.00362276,-0.999466,0
0,0,0,0,0,2745,446,3191,10750,13941,-0.0324345,-0.00361266,-0.999467,0
0,0,0,0,0,2499,425,2924,9982,12906,-0.03152,-0.00374664,-0.999496,0
0,0,0,0,0,5643,934,6577,18544,25121,-0.031594,-0.00400421,-0.999493,0
0,0,0,0,0,2347,384,2731,7831,10562,-0.0314891,-0.00430137,-0.999495,0
0,0,0,0,0,1439,244,1683,5346,7029,-0.0313398,-0.00438611,-0.999499,0
0,0,0,0,0,1857,351,2208,8341,10549,-0.0318002,-0.00441257,-0.999484,0
0,0,0,0,0,6303,909,7212,17977,25189,-0.0317928,-0.00434362,-0.999485,0
0,0,0,0,0,2621,445,3066,10754,13820,-0.0318365,-0.00428269,-0.999484,0
0,0,0,0,0,5289,915,6204,18622,24826,-0.0320101,-0.00450557,-0.999477,0
0,0,0,0,0,2800,471,3271,8358,11629,-0.0318271,-0.00450981,-0.999483,0
0,0,0,0,0,1586,246,1832,5527,7359,-0.0320393,-0.00433673,-0.999477,0
0,0,0,0,0,1291,217,1508,5024,6532,-0.0316432,-0.00430073,-0.99949,0
0,0,0,0,0,2928,500,3428,11734,15162,-0.0323874,-0.00462831,-0.999464,0
0,0,0,0,0,5335,919,6254,15381,21635,-0.0325605,-0.0045494,-0.99946,0
0,0,0,0,0,2266,381,2647,9169,11816,-0.0322054,-0.00487767,-0.999469,0
0,0,0,0,0,5542,936,6478,20123,26601,-0.0320143,-0.00487638,-0.999475,0
0,0,0,0,0,2316,379,2695,8903,11598,-0.0323919,-0.00487886,-0.999463,0
0,0,0,0,0,2178,386,2564,8685,11249,-0.0320954,-0.00481006,-0.999473,0
0,0,0,0,0,5509,940,6449,18389,24838,-0.0321028,-0.00535472,-0.99947,0
0,0,0,0,0,2671,383,3054,8954,12008,-0.0320934,-0.00505886,-0.999472,0
0,0,0,0,0,3962,676,4638,15231,19869,-0.0317771,-0.0048105,-0.999484,0
0,0,0,0,0,4040,692,4732,13961,18693,-0.0319427,-0.00465382,-0.999479,0
0,0,0,0,0,5518,970,6488,18948,25436,-0.0323982,-0.00450792,-0.999465,0
0,0,0,0,0,2294,395,2689,7678,10367,-0.0316981,-0.00410591,-0.999489,0
0,0,0,0,0,1444,243,1687,5437,7124,-0.031502,-0.00416939,-0.999495,0
0,0,0,0,0,1710,289,1999,6861,8860,-0.0319465,-0.00442899,-0.99948,0
0,0,0,0,0,5406,1015,6421,18214,24635,-0.0320104,-0.00431605,-0.999478,0
0,0,0,0,0,2276,382,2658,9018,11676,-0.0320828,-0.0043537,-0.999476,0
0,0,0,0,0,5353,896,6249,17656,23905,-0.0319269,-0.00435981,-0.999481,0
0,0,0,0,0,2694,448,3142,10631,13773,-0.0326734,-0.00442589,-0.999456,0
0,0,0,0,0,3199,551,3750,12993,16743,-0.0323278,-0.00399886,-0.999469,0
0,0,0,0,0,4031,675,4706,15382,20088,-0.032114,-0.00423147,-0.999475,0
0,0,0,0,0,2975,502,3477,11714,15191,-0.0323747,-0.00437859,-0.999466,0
0,0,0,0,0,3403,585,3988,13605,17593,-0.0329846,-0.0040469,-0.999448,0
0,0,0,0,0,3424,587,4011,13483,17494,-0.032756,-0.00413484,-0.999455,0
0,0,0,0,0,2651,454,3105,12907,16012,-0.0325644,-0.00430834,-0.99946,0
0,0,0,0,0,4049,669,4718,14583,19301,-0.0328133,-0.00456833,-0.999451,0
0,0,0,0,0,5367,952,6319,18724,25043,-0.0329139,-0.00460415,-0.999448,0
0,0,0,0,0,2459,381,2840,7779,10619,-0.0325542,-0.00475314,-0.999459,0
0,0,0,0,0,1444,271,1715,5011,6726,-0.0322301,-0.00442587,-0.999471,0
0,0,0,0,0,1781,302,2083,6986,9069,-0.033025,-0.00474845,-0.999443,0
0,0,0,0,0,5323,891,6214,19270,25484,-0.0326002,-0.00410586,-0.99946,0
0,0,0,0,0,2787,468,3255,10105,13360,-0.032823,-0.00370037,-0.999454,0
0,0,0,0,0,5355,902,6257,18653,24910,-0.0330381,-0.00365965,-0.999447,0
0,0,0,0,0,2347,389,2736,7892,10628,-0.0332568,-0.00426494,-0.999438,0
0,0,0,0,0,1431,243,1674,5167,6841,-0.0324298,-0.0040035,-0.999466,0
0,0,0,0,0,4860,831,5691,16279,21970,-0.0325867,-0.00439455,-0.999459,0
0,0,0,0,0,2154,367,2521,8746,11267,-0.031841,-0.00427549,-0.999484,0
0,0,0,0,0,2979,504,3483,11823,15306,-0.0313987,-0.00424696,-0.999498,0
0,0,0,0,0,5378,931,6309,18453,24762,-0.0316387,-0.00413796,-0.999491,0
0,0,0,0,0,2274,382,2656,9066,11722,-0.0317962,-0.00393444,-0.999487,0
0,0,0,0,0,3964,668,4632,15005,19637,-0.0317043,-0.00404572,-0.999489,0
0,0,0,0,0,2981,525,3506,11565,15071,-0.0321381,-0.00385415,-0.999476,0
