Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6652,1204,7856,17489,25345,0.0064166,-0.0440649,-0.999008,0
0,0,0,0,0,2815,482,3297,6840,10137,-0.00122545,-0.0385225,-0.999257,0
0,0,0,0,0,3698,633,4331,7946,12277,-0.00687605,-0.0339828,-0.999399,0
0,0,0,0,0,5939,1023,6962,10721,17683,-0.00911451,-0.0326335,-0.999426,0
0,0,0,0,0,4207,728,4935,8191,13126,-0.0120526,-0.0308905,-0.99945,0
0,0,0,0,0,6632,1122,7754,11579,19333,-0.0144607,-0.0286019,-0.999487,0
0,0,0,0,0,3486,594,4080,5233,9313,-0.0175169,-0.0286484,-0.999436,0
0,0,0,0,0,3951,675,4626,8005,12631,-0.0196937,-0.0245198,-0.999506,0
0,0,0,0,0,6606,1120,7726,12417,20143,-0.0217874,-0.019407,-0.999574,0
0,0,0,0,0,3470,596,4066,7438,11504,-0.0231066,-0.0151399,-0.999618,0
0,0,0,0,0,7286,1208,8494,14433,22927,-0.0221553,-0.000659082,-0.999755,0
0,0,0,0,0,6758,1126,7884,15738,23622,-0.022074,0.0117583,-0.999687,0
0,0,0,0,0,2908,492,3400,6287,9687,-0.0228179,0.0164157,-0.999605,0
0,0,0,0,0,1818,308,2126,1775,3901,-0.0186176,0.02076,-0.999611,0
0,0,0,0,0,1965,340,2305,3616,5921,-0.0149169,0.0219229,-0.999648,0
0,0,0,0,0,6827,1184,8011,15080,23091,-0.0177015,0.0264044,-0.999495,0
0,0,0,0,0,2806,487,3293,7916,11209,-0.021367,0.0281815,-0.999374,0
0,0,0,0,0,2964,525,3489,10357,13846,-0.0241005,0.0322675,-0.999189,0
0,0,0,0,0,5383,940,6323,16594,22917,-0.0269122,0.0311102,-0.999154,0
0,0,0,0,0,2580,442,3022,8393,11415,-0.029117,0.0314144,-0.999082,0
0,0,0,0,0,3324,566,3890,11204,15094,-0.0322473,0.0355616,-0.998847,0
0,0,0,0,0,6671,1156,7827,17457,25284,-0.0359347,0.035223,-0.998733,0
0,0,0,0,0,2790,482,3272,8909,12181,-0.0400877,0.0376781,-0.998486,0
0,0,0,0,0,2667,471,3138,9034,12172,-0.0436375,0.0397818,-0.998255,0
0,0,0,0,0,4628,824,5452,15500,20952,-0.0456391,0.0409976,-0.998116,0
0,0,0,0,0,6105,1022,7127,16634,23761,-0.0444696,0.0422921,-0.998115,0
0,0,0,0,0,2263,391,2654,7947,10601,-0.0474687,0.0429708,-0.997948,0
0,0,0,0,0,2864,485,3349,9929,13278,-0.0497432,0.0426208,-0.997852,0
0,0,0,0,0,3917,853,4770,13532,18302,-0.0519471,0.041869,-0.997772,0
0,0,0,0,0,3948,677,4625,13139,17764,-0.0536687,0.0415095,-0.997696,0
0,0,0,0,0,2608,443,3051,8709,11760,-0.0550174,0.0416569,-0.997616,0
0,0,0,0,0,4254,726,4980,14503,19483,-0.0563919,0.0419611,-0.997526,0
0,0,0,0,0,3328,571,3899,11476,15375,-0.0572233,0.0425954,-0.997453,0
