Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,2469,454,2923,4349,7272,-0.054641,-0.0707314,-0.995998,0
0,0,0,0,0,2419,504,2923,7688,10611,-0.049657,-0.0646326,-0.996673,0
0,0,0,0,0,2519,427,2946,6347,9293,-0.0488584,-0.0550929,-0.997285,0
0,0,0,0,0,2392,420,2812,6103,8915,-0.0486357,-0.047051,-0.997708,0
0,0,0,0,0,2299,421,2720,6312,9032,-0.0444618,-0.0385021,-0.998269,0
0,0,0,0,0,2679,446,3125,7297,10422,-0.041193,-0.0380926,-0.998425,0
0,0,0,0,0,2521,440,2961,5991,8952,-0.0391424,-0.0283359,-0.998832,0
0,0,0,0,0,2473,448,2921,7677,10598,-0.0320143,-0.025644,-0.999158,0
0,0,0,0,0,2492,427,2919,6659,9578,-0.0279269,-0.0225056,-0.999357,0
0,0,0,0,0,2490,415,2905,8911,11816,-0.0223517,0.000565473,-0.99975,0
0,0,0,0,0,2420,449,2869,8518,11387,-0.014935,0.0109425,-0.999829,0
0,0,0,0,0,2496,459,2955,8593,11548,-0.00965283,0.0172993,-0.999804,0
0,0,0,0,0,2351,435,2786,9332,12118,-0.00599368,0.0282205,-0.999584,0
0,0,0,0,0,2424,463,2887,10001,12888,-0.00417206,0.0309004,-0.999514,0
0,0,0,0,0,2371,462,2833,9907,12740,-0.00402268,0.0311874,-0.999506,0
0,0,0,0,0,2365,436,2801,9465,12266,-0.00166134,0.0331921,-0.999448,0
0,0,0,0,0,2759,443,3202,11086,14288,-0.00401569,0.0319969,-0.99948,0
0,0,0,0,0,2445,433,2878,10349,13227,-0.00782371,0.0340356,-0.99939,0
0,0,0,0,0,2567,451,3018,10568,13586,-0.00754788,0.0327697,-0.999434,0
0,0,0,0,0,2447,481,2928,10519,13447,-0.00476958,0.0318973,-0.99948,0
0,0,0,0,0,2412,482,2894,10259,13153,-0.00661825,0.0326203,-0.999446,0
0,0,0,0,0,2402,436,2838,10142,12980,-0.00596355,0.0318037,-0.999476,0
0,0,0,0,0,2411,421,2832,9955,12787,-0.00535242,0.0314925,-0.99949,0
0,0,0,0,0,2303,432,2735,9771,12506,-0.00419421,0.0309809,-0.999511,0
0,0,0,0,0,2478,447,2925,10381,13306,-0.00415193,0.031521,-0.999495,0
0,0,0,0,0,2731,472,3203,10370,13573,-0.00379133,0.0314115,-0.999499,0
0,0,0,0,0,2596,435,3031,9964,12995,-0.00376251,0.031865,-0.999485,0
0,0,0,0,0,2421,442,2863,10421,13284,-0.00616332,0.0325505,-0.999451,0
0,0,0,0,0,2383,435,2818,10154,12972,-0.00463526,0.0319095,-0.99948,0
0,0,0,0,0,2381,432,2813,9924,12737,-0.00434944,0.0315305,-0.999493,0
0,0,0,0,0,2502,442,2944,10133,13077,-0.00417,0.0312532,-0.999503,0
0,0,0,0,0,2608,437,3045,9976,13021,-0.00319797,0.0312542,-0.999506,0
0,0,0,0,0,2448,420,2868,10001,12869,-0.00446212,0.0314274,-0.999496,0
0,0,0,0,0,2549,438,2987,9893,12880,-0.00382954,0.0314703,-0.999497,0
0,0,0,0,0,2573,425,2998,9806,12804,-0.00392919,0.0316447,-0.999491,0
0,0,0,0,0,2836,516,3352,11903,15255,-0.00627897,0.0327366,-0.999444,0
0,0,0,0,0,2418,435,2853,10076,12929,-0.0071723,0.0326344,-0.999442,0
0,0,0,0,0,2510,445,2955,10228,13183,-0.00526661,0.0319274,-0.999477,0
0,0,0,0,0,2375,474,2849,10125,12974,-0.00396822,0.0315259,-0.999495,0
0,0,0,0,0,2428,447,2875,9980,12855,-0.00355845,0.0317997,-0.999488,0
0,0,0,0,0,2429,439,2868,9985,12853,-0.00372974,0.0324982,-0.999465,0
0,0,0,0,0,2427,417,2844,10230,13074,-0.00469927,0.0323056,-0.999467,0
0,0,0,0,0,2531,495,3026,10313,13339,-0.00409224,0.0324162,-0.999466,0
0,0,0,0,0,2528,434,2962,10339,13301,-0.00366551,0.0317912,-0.999488,0
0,0,0,0,0,2584,505,3089,10014,13103,-0.0036579,0.0316902,-0.999491,0
0,0,0,0,0,2388,424,2812,10387,13199,-0.00483529,0.0319051,-0.999479,0
0,0,0,0,0,2507,417,2924,10543,13467,-0.00619666,0.0327392,-0.999445,0
0,0,0,0,0,2383,434,2817,4398,7215,-0.014598,0.0300247,-0.999443,0
0,0,0,0,0,2360,435,2795,10050,12845,-0.0115061,0.03321,-0.999382,0
0,0,0,0,0,2402,437,2839,10063,12902,-0.00766208,0.0327729,-0.999434,0
0,0,0,0,0,2441,457,2898,9974,12872,-0.00526672,0.0322555,-0.999466,0
0,0,0,0,0,2610,420,3030,10372,13402,-0.0039837,0.0316709,-0.999491,0
0,0,0,0,0,2341,510,2851,10156,13007,-0.00318309,0.0318452,-0.999488,0
0,0,0,0,0,2473,504,2977,9830,12807,-0.00273466,0.0313006,-0.999506,0
0,0,0,0,0,2536,478,3014,9945,12959,-0.0040238,0.0316763,-0.99949,0
0,0,0,0,0,2566,494,3060,10724,13784,-0.00354486,0.0322591,-0.999473,0
0,0,0,0,0,2535,477,3012,10058,13070,-0.00343248,0.0318809,-0.999486,0
0,0,0,0,0,2355,440,2795,9566,12361,-0.00301104,0.0316243,-0.999495,0
0,0,0,0,0,2380,425,2805,10106,12911,-0.00572962,0.0325475,-0.999454,0
0,0,0,0,0,2541,450,2991,10144,13135,-0.00520121,0.032425,-0.999461,0
0,0,0,0,0,2508,477,2985,10072,13057,-0.00414245,0.0319336,-0.999482,0
0,0,0,0,0,2491,444,2935,9961,12896,-0.00391545,0.031286,-0.999503,0
0,0,0,0,0,2399,419,2818,9906,12724,-0.00339543,0.0317724,-0.999489,0
0,0,0,0,0,2444,438,2882,10026,12908,-0.00393923,0.0321235,-0.999476,0
0,0,0,0,0,2528,443,2971,9951,12922,-0.00347973,0.0322516,-0.999474,0
0,0,0,0,0,4017,613,4630,13280,17910,-0.00354146,0.0317076,-0.999491,0
0,0,0,0,0,2527,439,2966,9806,12772,-0.00484891,0.0319708,-0.999477,0
0,0,0,0,0,2330,461,2791,9752,12543,-0.00435189,0.0315173,-0.999494,0
0,0,0,0,0,2423,438,2861,9855,12716,-0.00548791,0.0318363,-0.999478,0
0,0,0,0,0,2410,440,2850,9792,12642,-0.00495281,0.031993,-0.999476,0
0,0,0,0,0,2538,432,2970,9760,12730,-0.00503143,0.0317051,-0.999485,0
0,0,0,0,0,2525,436,2961,9961,12922,-0.00744111,0.0331699,-0.999422,0
0,0,0,0,0,2413,461,2874,9737,12611,-0.00570992,0.0319816,-0.999472,0
0,0,0,0,0,2427,417,2844,9578,12422,-0.0043417,0.0313758,-0.999498,0
0,0,0,0,0,2533,455,2988,10102,13090,-0.00374252,0.0317074,-0.99949,0
0,0,0,0,0,2554,453,3007,10362,13369,-0.00355646,0.0312404,-0.999505,0
0,0,0,0,0,2656,496,3152,9973,13125,-0.00567489,0.0321401,-0.999467,0
0,0,0,0,0,2601,433,3034,9408,12442,-0.00434681,0.0319621,-0.99948,0
0,0,0,0,0,2513,435,2948,9494,12442,-0.00449812,0.0321667,-0.999472,0
0,0,0,0,0,2385,433,2818,9854,12672,-0.00516833,0.0324437,-0.99946,0
0,0,0,0,0,2501,473,2974,10063,13037,-0.00520134,0.0320747,-0.999472,0
0,0,0,0,0,2387,429,2816,9946,12762,-0.00516238,0.0324892,-0.999459,0
0,0,0,0,0,2531,441,2972,10096,13068,-0.00517972,0.0314035,-0.999493,0
0,0,0,0,0,2428,490,2918,9911,12829,-0.00488371,0.0322162,-0.999469,0
0,0,0,0,0,2373,519,2892,10179,13071,-0.00535531,0.0330209,-0.99944,0
0,0,0,0,0,2567,464,3031,10689,13720,-0.00723407,0.0332358,-0.999421,0
0,0,0,0,0,4057,624,4681,14032,18713,-0.00730388,0.033924,-0.999398,0
0,0,0,0,0,2637,475,3112,10441,13553,-0.00740322,0.034955,-0.999361,0
0,0,0,0,0,2572,472,3044,10485,13529,-0.00981108,0.0375917,-0.999245,0
0,0,0,0,0,2337,458,2795,10471,13266,-0.0102171,0.0376243,-0.99924,0
0,0,0,0,0,2390,440,2830,11100,13930,-0.0126431,0.039686,-0.999132,0
0,0,0,0,0,2502,462,2964,11175,14139,-0.0125779,0.0397939,-0.999129,0
0,0,0,0,0,2469,447,2916,11137,14053,-0.0130756,0.0404825,-0.999095,0
0,0,0,0,0,2379,465,2844,11236,14080,-0.014683,0.0427244,-0.998979,0
0,0,0,0,0,3098,469,3567,11942,15509,-0.014642,0.0467826,-0.998798,0
0,0,0,0,0,2539,473,3012,11175,14187,-0.0140125,0.0480706,-0.998746,0
0,0,0,0,0,2332,435,2767,10073,12840,-0.0110826,0.0478778,-0.998792,0
0,0,0,0,0,2370,456,2826,11210,14036,-0.00979631,0.0431678,-0.99902,0
0,0,0,0,0,2537,452,2989,10719,13708,-0.00887066,0.0406566,-0.999134,0
0,0,0,0,0,2569,430,2999,10988,13987,-0.0107475,0.0394624,-0.999163,0
0,0,0,0,0,2581,455,3036,10669,13705,-0.00994023,0.0386644,-0.999203,0
0,0,0,0,0,2449,473,2922,11091,14013,-0.0110222,0.0392265,-0.999169,0
0,0,0,0,0,2433,474,2907,10665,13572,-0.0116067,0.0397103,-0.999144,0
0,0,0,0,0,2503,455,2958,10565,13523,-0.00979305,0.0387329,-0.999202,0
0,0,0,0,0,2381,450,2831,9023,11854,-0.00673641,0.0426625,-0.999067,0
0,0,0,0,0,2529,479,3008,10508,13516,-0.00763241,0.0392574,-0.9992,0
0,0,0,0,0,2405,472,2877,9787,12664,-0.00791978,0.0398111,-0.999176,0
0,0,0,0,0,2424,456,2880,9761,12641,-0.0101591,0.0410592,-0.999105,0
0,0,0,0,0,2462,486,2948,9133,12081,-0.0167166,0.0460693,-0.998799,0
0,0,0,0,0,2606,452,3058,8380,11438,-0.0221962,0.0534068,-0.998326,0
0,0,0,0,0,2545,443,2988,8043,11031,-0.0320252,0.0601272,-0.997677,0
0,0,0,0,0,2640,445,3085,8498,11583,-0.0394944,0.0678572,-0.996913,0
0,0,0,0,0,2552,451,3003,8542,11545,-0.0471557,0.0773175,-0.995891,0
0,0,0,0,0,2479,441,2920,9178,12098,-0.0507827,0.0842438,-0.99515,0
0,0,0,0,0,3007,438,3445,10283,13728,-0.0521823,0.0897822,-0.994594,0
