Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6548,1188,7736,5599,13335,0.0160613,0.143775,-0.98948,0
0,0,0,0,0,2604,514,3118,16216,19334,0.00707371,0.103862,-0.994566,0
0,0,0,0,0,6164,858,7022,20918,27940,0.00348042,0.0776481,-0.996975,0
0,0,0,0,0,1465,281,1746,11110,12856,0.00328909,0.0521079,-0.998636,0
0,0,0,0,0,6870,1124,7994,24140,32134,0.00486419,0.0322323,-0.999468,0
0,0,0,0,0,1648,302,1950,12238,14188,0.00426839,0.0282099,-0.999593,0
0,0,0,0,0,1440,329,1769,14234,16003,0.00385848,0.0262746,-0.999647,0
0,0,0,0,0,1711,345,2056,15716,17772,0.0026752,0.0247691,-0.99969,0
0,0,0,0,0,1685,335,2020,15788,17808,0.00144069,0.0242592,-0.999705,0
0,0,0,0,0,4296,601,4897,19802,24699,0.000478606,0.0242954,-0.999705,0
0,0,0,0,0,1542,310,1852,13617,15469,9.17655e-06,0.0249987,-0.999687,0
0,0,0,0,0,1409,286,1695,13436,15131,-6.71459e-05,0.0253991,-0.999678,0
0,0,0,0,0,2179,447,2626,20443,23069,-0.000297608,0.0258396,-0.999666,0
0,0,0,0,0,1820,367,2187,17078,19265,0.000959315,0.0263652,-0.999652,0
0,0,0,0,0,1424,280,1704,12798,14502,0.00238868,0.0269724,-0.999633,0
0,0,0,0,0,1539,300,1839,14063,15902,0.00248722,0.027702,-0.999613,0
0,0,0,0,0,2121,439,2560,19626,22186,0.00298382,0.0283014,-0.999595,0
0,0,0,0,0,5959,768,6727,22486,29213,0.00380161,0.0290181,-0.999572,0
0,0,0,0,0,1369,261,1630,12116,13746,0.00378857,0.0283247,-0.999592,0
0,0,0,0,0,1231,269,1500,11787,13287,0.00511104,0.02652,-0.999635,0
0,0,0,0,0,5686,1132,6818,29548,36366,0.00437404,0.0143978,-0.999887,0
0,0,0,0,0,1541,308,1849,12417,14266,0.00264894,0.00547518,-0.999981,0
0,0,0,0,0,5966,1170,7136,23341,30477,-0.0042258,-0.0187415,-0.999815,0
0,0,0,0,0,1330,265,1595,12093,13688,-0.00969955,-0.0233233,-0.999681,0
0,0,0,0,0,6016,1151,7167,29615,36782,-0.0173747,-0.0689426,-0.997469,0
0,0,0,0,0,1797,361,2158,11259,13417,-0.0144026,-0.048651,-0.998712,0
0,0,0,0,0,1280,246,1526,9572,11098,-0.0144165,-0.0227528,-0.999637,0
0,0,0,0,0,1358,256,1614,9644,11258,-0.0186173,-0.00760229,-0.999798,0
0,0,0,0,0,6205,1134,7339,25672,33011,-0.0308204,0.00999689,-0.999475,0
0,0,0,0,0,1639,322,1961,10303,12264,-0.0264377,0.0242308,-0.999357,0
0,0,0,0,0,1635,310,1945,12338,14283,-0.0415946,0.0430164,-0.998208,0
0,0,0,0,0,1996,410,2406,17040,19446,-0.0546927,0.0534209,-0.997073,0
0,0,0,0,0,2020,436,2456,17071,19527,-0.0532735,0.0395114,-0.997798,0
0,0,0,0,0,1527,295,1822,12976,14798,-0.0462443,0.0111636,-0.998868,0
0,0,0,0,0,2427,465,2892,19791,22683,-0.0338153,-0.0293122,-0.998998,0
0,0,0,0,0,2013,409,2422,16419,18841,-0.00451153,-0.0595781,-0.998213,0
0,0,0,0,0,1767,370,2137,17799,19936,0.0199088,-0.0857357,-0.996119,0
0,0,0,0,0,6151,1219,7370,32811,40181,0.0847512,-0.180411,-0.979933,0
0,0,0,0,0,2370,395,2765,13142,15907,0.0878509,-0.178084,-0.980086,0
0,0,0,0,0,1521,296,1817,14704,16521,0.0915525,-0.208452,-0.973738,0
0,0,0,0,0,1459,284,1743,15438,17181,0.10657,-0.284211,-0.95282,0
0,0,0,0,0,1409,262,1671,15274,16945,0.0910408,-0.348393,-0.932917,0
0,0,0,0,0,1744,350,2094,19834,21928,0.0665907,-0.47016,-0.880065,0
0,0,0,0,0,1783,353,2136,19759,21895,0.0635884,-0.570376,-0.818919,0
0,0,0,0,0,1434,275,1709,1358,3067,0.0614958,-0.614354,-0.786631,0
0,0,0,0,0,6794,1084,7878,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1517,349,1866,20440,22306,-0.00889441,-0.188222,-0.982086,0
0,0,0,0,0,4297,846,5143,39850,44993,0.0212293,-0.330731,-0.943487,0
0,0,0,0,0,2292,405,2697,25426,28123,0.0291283,-0.385908,-0.922077,0
0,0,0,0,0,1400,274,1674,29680,31354,0.0179791,-0.35886,-0.933219,0
0,0,0,0,0,1493,292,1785,29867,31652,0.00360762,-0.269358,-0.963033,0
0,0,0,0,0,8692,1543,10235,47920,58155,0.0875806,-0.577904,-0.811392,0
0,0,0,0,0,1592,289,1881,33504,35385,0.0953839,-0.578685,-0.809954,0
0,0,0,0,0,1587,356,1943,33663,35606,0.0990893,-0.624597,-0.774636,0
0,0,0,0,0,1510,342,1852,31467,33319,0.0979517,-0.668553,-0.737186,0
0,0,0,0,0,1449,306,1755,31161,32916,0.0982531,-0.694018,-0.713222,0
0,0,0,0,0,1411,342,1753,13791,15544,0.0821065,-0.665324,-0.742026,0
0,0,0,0,0,1549,378,1927,6033,7960,0.0817116,-0.675657,-0.732674,0
0,0,0,0,0,1604,258,1862,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1410,335,1745,15250,16995,0.00447041,-0.248189,-0.968702,0
0,0,0,0,0,1574,297,1871,7829,9700,0.00715732,-0.417435,-0.908679,0
0,0,0,0,0,1385,418,1803,4525,6328,0.00857226,-0.598282,-0.80124,0
0,0,0,0,0,1924,703,2627,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1514,526,2040,29155,31195,0.0357805,-0.311161,-0.949684,0
0,0,0,0,0,2161,883,3044,32011,35055,0.0358127,-0.506169,-0.861691,0
0,0,0,0,0,1624,431,2055,29503,31558,-0.00137411,-0.668616,-0.743606,0
0,0,0,0,0,1772,399,2171,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1480,369,1849,30738,32587,0.077127,-0.211638,-0.9743,0
0,0,0,0,0,2925,620,3545,32080,35625,0.0474806,-0.482237,-0.874754,0
0,0,0,0,0,2222,558,2780,8200,10980,-0.00124778,-0.61871,-0.785619,0
0,0,0,0,0,1969,414,2383,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,2088,415,2503,16980,19483,-0.0243896,-0.180019,-0.983361,0
0,0,0,0,0,2279,402,2681,26415,29096,-0.0799141,-0.449725,-0.889585,0
0,0,0,0,0,2304,380,2684,18942,21626,-0.0856758,-0.587718,-0.804516,0
0,0,0,0,0,2183,409,2592,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,2142,406,2548,33495,36043,-0.0303514,-0.519745,-0.853782,0
0,0,0,0,0,1452,342,1794,31864,33658,-0.00866586,-0.682392,-0.730935,0
0,0,0,0,0,1501,367,1868,35041,36909,0.00852149,-0.679493,-0.733632,0
0,0,0,0,0,1504,344,1848,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1704,349,2053,32420,34473,0.000584228,-0.528435,-0.848974,0
0,0,0,0,0,1485,286,1771,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1516,385,1901,19300,21201,-0.0295737,-0.318139,-0.947583,0
0,0,0,0,0,1465,293,1758,7436,9194,-0.0385956,-0.501848,-0.864094,0
0,0,0,0,0,1566,304,1870,6552,8422,-0.043306,-0.702738,-0.71013,0
0,0,0,0,0,1670,274,1944,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1734,385,2119,23712,25831,-0.0100211,-0.326697,-0.945076,0
0,0,0,0,0,1787,356,2143,8867,11010,-0.0275541,-0.467396,-0.883619,0
0,0,0,0,0,1624,344,1968,15342,17310,-0.0302286,-0.65864,-0.751851,0
0,0,0,0,0,1647,345,1992,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1523,420,1943,32480,34423,0.0196138,-0.46598,-0.884578,0
0,0,0,0,0,1287,290,1577,27675,29252,0.0297927,-0.584088,-0.811143,0
0,0,0,0,0,1416,340,1756,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1544,348,1892,21167,23059,0.015141,-0.1825,-0.98309,0
0,0,0,0,0,1797,399,2196,32223,34419,0.00203226,-0.48665,-0.873594,0
0,0,0,0,0,2250,430,2680,24458,27138,0.00733136,-0.621589,-0.783309,0
0,0,0,0,0,2114,522,2636,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,2673,526,3199,47223,50422,-0.138464,-0.265277,-0.954178,0
0,0,0,0,0,1818,388,2206,36971,39177,-0.16823,-0.415925,-0.893703,0
0,0,0,0,0,1810,479,2289,40545,42834,-0.115488,-0.510229,-0.852249,0
0,0,0,0,0,2808,522,3330,34916,38246,-0.0567677,-0.542736,-0.837982,0
0,0,0,0,0,2152,432,2584,34721,37305,-0.0324349,-0.567568,-0.822687,0
0,0,0,0,0,2821,519,3340,36851,40191,-0.0282813,-0.525555,-0.850289,0
0,0,0,0,0,1474,278,1752,12649,14401,-0.0287177,-0.469143,-0.882655,0
0,0,0,0,0,1532,305,1837,31637,33474,-0.0519653,-0.338558,-0.93951,0
0,0,0,0,0,1719,334,2053,32446,34499,-0.0390678,-0.238434,-0.970373,0
0,0,0,0,0,1371,286,1657,23785,25442,-0.0241542,-0.19472,-0.980562,0
0,0,0,0,0,4808,1007,5815,43663,49478,-0.00520026,-0.140509,-0.990066,0
0,0,0,0,0,2371,503,2874,33605,36479,-0.00772628,-0.137401,-0.990485,0
0,0,0,0,0,1576,314,1890,35031,36921,-0.0144827,-0.144014,-0.98947,0
0,0,0,0,0,1414,296,1710,34843,36553,-0.0220607,-0.151501,-0.988211,0
0,0,0,0,0,1399,329,1728,34115,35843,-0.0365782,-0.155424,-0.98717,0
0,0,0,0,0,1623,324,1947,34603,36550,-0.0392,-0.156096,-0.986964,0
0,0,0,0,0,1892,350,2242,36141,38383,-0.0320789,-0.168794,-0.985129,0
0,0,0,0,0,1548,314,1862,37621,39483,-0.0248969,-0.154288,-0.987712,0
0,0,0,0,0,1551,347,1898,29386,31284,-0.0216785,-0.15941,-0.986975,0
0,0,0,0,0,1638,320,1958,36567,38525,-0.0190848,-0.131148,-0.991179,0
0,0,0,0,0,1661,403,2064,36051,38115,-0.021432,-0.123107,-0.992162,0
0,0,0,0,0,1569,661,2230,39062,41292,-0.0247178,-0.116509,-0.992882,0
0,0,0,0,0,2192,527,2719,37676,40395,-0.024892,-0.112082,-0.993387,0
0,0,0,0,0,1587,503,2090,35710,37800,-0.0233196,-0.115629,-0.993019,0
0,0,0,0,0,1864,830,2694,37937,40631,-0.022755,-0.112084,-0.993438,0
0,0,0,0,0,1732,944,2676,35945,38621,-0.0215669,-0.10861,-0.99385,0
0,0,0,0,0,1637,953,2590,35043,37633,-0.019844,-0.105755,-0.994194,0
0,0,0,0,0,1563,332,1895,31193,33088,-0.0197053,-0.113335,-0.993361,0
0,0,0,0,0,1964,553,2517,38313,40830,-0.0205459,-0.111124,-0.993594,0
0,0,0,0,0,1501,312,1813,33077,34890,-0.0224767,-0.118145,-0.992742,0
0,0,0,0,0,2068,476,2544,38553,41097,-0.0254588,-0.123854,-0.991974,0
0,0,0,0,0,1460,368,1828,31623,33451,-0.0248851,-0.136965,-0.990263,0
0,0,0,0,0,1425,273,1698,33718,35416,-0.0231501,-0.133344,-0.9908,0
0,0,0,0,0,1450,305,1755,31576,33331,-0.0228691,-0.13882,-0.990054,0
0,0,0,0,0,1395,292,1687,32848,34535,-0.0221933,-0.137091,-0.99031,0
0,0,0,0,0,1392,281,1673,33849,35522,-0.0219801,-0.132301,-0.990966,0
0,0,0,0,0,1472,306,1778,23859,25637,-0.0222299,-0.141861,-0.989637,0
0,0,0,0,0,6440,1318,7758,48978,56736,-0.0160607,-0.137384,-0.990388,0
0,0,0,0,0,1401,328,1729,31999,33728,-0.0130018,-0.13315,-0.991011,0
0,0,0,0,0,1451,309,1760,26985,28745,-0.0117941,-0.142344,-0.989747,0
0,0,0,0,0,1442,311,1753,32930,34683,-0.010607,-0.120009,-0.992716,0
0,0,0,0,0,1429,283,1712,33359,35071,-0.0125367,-0.106222,-0.994263,0
0,0,0,0,0,1385,278,1663,32688,34351,-0.0155052,-0.0977657,-0.995089,0
0,0,0,0,0,1380,359,1739,27833,29572,-0.0169392,-0.104977,-0.99433,0
0,0,0,0,0,1379,412,1791,30717,32508,-0.0227664,-0.0843191,-0.996179,0
0,0,0,0,0,1455,274,1729,28265,29994,-0.0212565,-0.103361,-0.994417,0
0,0,0,0,0,4523,743,5266,41503,46769,-0.0206685,-0.111183,-0.993585,0
0,0,0,0,0,1522,288,1810,33654,35464,-0.0191552,-0.11,-0.993747,0
0,0,0,0,0,1405,317,1722,33169,34891,-0.016974,-0.104514,-0.994379,0
0,0,0,0,0,1373,322,1695,33288,34983,-0.0157897,-0.101282,-0.994732,0
0,0,0,0,0,1410,286,1696,33551,35247,-0.0176459,-0.0976687,-0.995063,0
0,0,0,0,0,1369,286,1655,31048,32703,-0.0183594,-0.103042,-0.994508,0
0,0,0,0,0,1801,368,2169,32482,34651,-0.0212901,-0.096127,-0.995141,0
0,0,0,0,0,1406,323,1729,33474,35203,-0.0212862,-0.100616,-0.994698,0
0,0,0,0,0,1365,390,1755,31708,33463,-0.0204195,-0.104426,-0.994323,0
0,0,0,0,0,3789,778,4567,41184,45751,-0.021944,-0.0766187,-0.996819,0
0,0,0,0,0,1374,335,1709,33559,35268,-0.0172575,-0.0906853,-0.99573,0
0,0,0,0,0,1360,318,1678,32735,34413,-0.0155536,-0.0954091,-0.995317,0
0,0,0,0,0,1439,389,1828,30367,32195,-0.0154222,-0.0988201,-0.994986,0
0,0,0,0,0,1369,291,1660,29980,31640,-0.0155648,-0.0999979,-0.994866,0
0,0,0,0,0,1401,378,1779,32908,34687,-0.0160918,-0.101438,-0.994712,0
0,0,0,0,0,1434,297,1731,34222,35953,-0.0158903,-0.106192,-0.994219,0
0,0,0,0,0,1382,285,1667,34744,36411,-0.0161226,-0.10273,-0.994579,0
0,0,0,0,0,1414,329,1743,30704,32447,-0.0155709,-0.107603,-0.994072,0
0,0,0,0,0,1481,287,1768,32303,34071,-0.0163521,-0.105647,-0.994269,0
0,0,0,0,0,1373,281,1654,31472,33126,-0.0158545,-0.107639,-0.994063,0
0,0,0,0,0,1450,387,1837,32411,34248,-0.0161124,-0.106669,-0.994164,0
0,0,0,0,0,1365,275,1640,33543,35183,-0.0166551,-0.10054,-0.994794,0
0,0,0,0,0,1824,492,2316,21589,23905,-0.0158372,-0.109405,-0.993871,0
0,0,0,0,0,5636,1207,6843,43435,50278,-0.0146398,-0.11376,-0.9934,0
0,0,0,0,0,1566,302,1868,35245,37113,-0.0150311,-0.108947,-0.993934,0
0,0,0,0,0,1374,308,1682,33446,35128,-0.0158131,-0.10502,-0.994345,0
0,0,0,0,0,1517,386,1903,34402,36305,-0.0168728,-0.106328,-0.994188,0
0,0,0,0,0,1410,278,1688,33646,35334,-0.0167362,-0.105165,-0.994314,0
0,0,0,0,0,2081,475,2556,35150,37706,-0.0173773,-0.102691,-0.994561,1
0,0,0,0,0,1376,338,1714,32744,34458,-0.0177382,-0.103454,-0.994476,1
0,0,0,0,0,1666,493,2159,34902,37061,-0.0187906,-0.0996898,-0.994841,1
0,0,0,0,0,1412,282,1694,34486,36180,-0.0191851,-0.0982018,-0.994982,1
0,0,0,0,0,1450,331,1781,30992,32773,-0.0190964,-0.10213,-0.994588,1
0,0,0,0,0,1760,439,2199,29495,31694,-0.0187245,-0.11101,-0.993643,1
0,0,0,0,0,1409,506,1915,31937,33852,-0.0193216,-0.113157,-0.993389,1
0,0,0,0,0,1374,335,1709,2946,4655,-0.0200654,-0.102713,-0.994509,1
0,0,0,0,0,2283,389,2672,37350,40022,-0.0199017,-0.103417,-0.994439,1
0,0,0,0,0,1408,286,1694,33718,35412,-0.0192279,-0.104835,-0.994304,1
0,0,0,0,0,1430,281,1711,34087,35798,-0.0188974,-0.106862,-0.994094,1
0,0,0,0,0,1436,321,1757,31974,33731,-0.017485,-0.109341,-0.99385,1
0,0,0,0,0,1791,540,2331,34564,36895,-0.0176533,-0.105419,-0.994271,1
0,0,0,0,0,3511,687,4198,39375,43573,-0.0173364,-0.103921,-0.994435,1
0,0,0,0,0,1405,314,1719,34106,35825,-0.0179648,-0.102302,-0.994591,1
0,0,0,0,0,4638,679,5317,40602,45919,-0.0188587,-0.107988,-0.993973,1
0,0,0,0,0,1401,304,1705,33543,35248,-0.0189255,-0.105874,-0.994199,1
0,0,0,0,0,1366,286,1652,33231,34883,-0.0180165,-0.105798,-0.994225,1
0,0,0,0,0,1629,402,2031,34168,36199,-0.0178247,-0.108477,-0.993939,1
0,0,0,0,0,1613,394,2007,33456,35463,-0.0174628,-0.10354,-0.994472,1
0,0,0,0,0,1559,444,2003,30096,32099,-0.0163464,-0.110043,-0.993792,1
0,0,0,0,0,1408,277,1685,35165,36850,-0.0163699,-0.103394,-0.994506,1
0,0,0,0,0,3047,560,3607,38541,42148,-0.0161569,-0.0980757,-0.995048,1
0,0,0,0,0,1413,284,1697,32332,34029,-0.0158213,-0.0967746,-0.99518,1
0,0,0,0,0,1368,290,1658,28366,30024,-0.0148851,-0.100599,-0.994816,1
0,0,0,0,0,1534,330,1864,34638,36502,-0.0151973,-0.098297,-0.995041,1
0,0,0,0,0,1410,283,1693,27120,28813,-0.014553,-0.105237,-0.994341,1
0,0,0,0,0,1393,281,1674,32114,33788,-0.0152072,-0.0992484,-0.994946,1
0,0,0,0,0,1425,348,1773,32271,34044,-0.0162857,-0.0916939,-0.995654,1
0,0,0,0,0,1453,282,1735,28135,29870,-0.0140325,-0.0965704,-0.995227,1
0,0,0,0,0,2570,525,3095,46328,49423,-0.00933874,-0.0920285,-0.995712,1
0,0,0,0,0,1370,326,1696,32455,34151,-0.00881175,-0.0893648,-0.99596,1
0,0,0,0,0,1423,318,1741,32788,34529,-0.00792442,-0.090054,-0.995905,1
0,0,0,0,0,1580,329,1909,31096,33005,-0.00759648,-0.0753113,-0.997131,1
0,0,0,0,0,1379,281,1660,32380,34040,-0.00840497,-0.0773798,-0.996966,1
0,0,0,0,0,1379,364,1743,33487,35230,-0.00662574,-0.0770065,-0.997009,1
0,0,0,0,0,1425,288,1713,34070,35783,-0.00364567,-0.0764412,-0.997067,1
0,0,0,0,0,1391,356,1747,32036,33783,-0.00371312,-0.0769129,-0.997031,1
0,0,0,0,0,1435,293,1728,34408,36136,-0.000587294,-0.0769077,-0.997038,1
0,0,0,0,0,2400,478,2878,45031,47909,-0.000454631,-0.0852018,-0.996364,1
0,0,0,0,0,1399,281,1680,32197,33877,-0.0111604,-0.0875188,-0.996101,1
0,0,0,0,0,1381,288,1669,27964,29633,-0.0173181,-0.0936898,-0.995451,1
0,0,0,0,0,1369,282,1651,30975,32626,-0.0214411,-0.0992699,-0.99483,1
0,0,0,0,0,1485,289,1774,31217,32991,-0.0209585,-0.108495,-0.993876,1
0,0,0,0,0,1467,274,1741,31711,33452,-0.0168965,-0.116146,-0.993088,1
0,0,0,0,0,1375,328,1703,28799,30502,-0.0134313,-0.126489,-0.991877,1
0,0,0,0,0,1412,319,1731,28238,29969,-0.00976741,-0.132751,-0.991101,1
0,0,0,0,0,1382,364,1746,32789,34535,-0.00779069,-0.120519,-0.992681,1
0,0,0,0,0,1403,342,1745,29289,31034,-0.00857589,-0.12118,-0.992594,1
0,0,0,0,0,1371,377,1748,34487,36235,-0.0121499,-0.109186,-0.993947,1
0,0,0,0,0,1714,342,2056,34945,37001,-0.016744,-0.10505,-0.994326,1
0,0,0,0,0,1785,420,2205,32795,35000,-0.0184681,-0.106642,-0.994126,1
0,0,0,0,0,1559,388,1947,32883,34830,-0.017419,-0.107209,-0.994084,1
0,0,0,0,0,1402,311,1713,31368,33081,-0.0147939,-0.112047,-0.993593,1
0,0,0,0,0,3485,610,4095,52461,56556,-0.0117866,-0.102962,-0.994615,1
0,0,0,0,0,1405,314,1719,33658,35377,-0.0105322,-0.100997,-0.994831,1
0,0,0,0,0,1481,274,1755,32132,33887,-0.0105884,-0.101471,-0.994782,1
0,0,0,0,0,1896,449,2345,33047,35392,-0.011974,-0.0991255,-0.995003,1
0,0,0,0,0,1417,331,1748,28016,29764,-0.0133155,-0.108674,-0.993988,1
0,0,0,0,0,1393,327,1720,31879,33599,-0.0199716,-0.0965402,-0.995129,1
0,0,0,0,0,2027,509,2536,31648,34184,-0.0198081,-0.107421,-0.994016,1
0,0,0,0,0,2130,417,2547,41585,44132,-0.0344824,-0.12238,-0.991884,1
0,0,0,0,0,1413,326,1739,32799,34538,-0.0415023,-0.136074,-0.989829,1
0,0,0,0,0,1443,314,1757,30809,32566,-0.0453667,-0.164307,-0.985365,1
0,0,0,0,0,1544,355,1899,28900,30799,-0.0457186,-0.219688,-0.974498,1
0,0,0,0,0,1811,328,2139,34290,36429,-0.0473778,-0.27527,-0.960199,1
0,0,0,0,0,2307,404,2711,36108,38819,-0.0478884,-0.352511,-0.934581,1
0,0,0,0,0,1858,408,2266,35426,37692,-0.0316833,-0.390123,-0.920218,1
0,0,0,0,0,2317,396,2713,33954,36667,-0.0173079,-0.347565,-0.937496,1
0,0,0,0,0,1862,421,2283,35141,37424,-0.0150273,-0.357181,-0.933914,1
0,0,0,0,0,3309,606,3915,40528,44443,-0.0228583,-0.44664,-0.894422,1
0,0,0,0,0,1624,385,2009,33543,35552,-0.00325107,-0.51818,-0.855265,1
0,0,0,0,0,1604,393,1997,25209,27206,0.0195607,-0.617149,-0.786603,1
0,0,0,0,0,1625,440,2065,-1000,-1000,-1,-1,-1,1
0,0,0,0,0,1631,397,2028,20759,22787,-0.0135346,-0.297846,-0.954518,1
0,0,0,0,0,7092,1155,8247,11587,19834,0.00960924,-0.496011,-0.868263,1
0,0,0,0,0,7083,1206,8289,-1000,-1000,-1,-1,-1,1
0,0,0,0,0,1943,322,2265,8906,11171,-0.001722,-0.0695189,-0.997579,1
0,0,0,0,0,1470,373,1843,4022,5865,0.000247273,-0.106986,-0.994261,1
