Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7711,922,8633,4051,12684,0.0013278,0.0268393,-0.999639,0
0,0,0,0,0,1734,330,2064,10821,12885,0.00639178,0.0298444,-0.999534,0
0,0,0,0,0,1625,310,1935,12043,13978,0.00834381,0.0309338,-0.999487,0
0,0,0,0,0,1568,294,1862,11837,13699,0.00775727,0.0314599,-0.999475,0
0,0,0,0,0,1716,330,2046,13340,15386,0.00678444,0.0328201,-0.999438,0
0,0,0,0,0,1916,362,2278,14985,17263,0.00791073,0.0344329,-0.999376,0
0,0,0,0,0,1675,314,1989,12796,14785,0.00932918,0.0354587,-0.999328,0
0,0,0,0,0,1795,320,2115,13163,15278,0.0098493,0.0373466,-0.999254,0
0,0,0,0,0,1937,333,2270,14261,16531,0.00936335,0.0402937,-0.999144,0
0,0,0,0,0,1979,388,2367,15883,18250,0.00902073,0.0438583,-0.998997,0
0,0,0,0,0,2064,377,2441,14130,16571,0.00865383,0.0468229,-0.998866,0
0,0,0,0,0,2154,410,2564,15599,18163,0.0111183,0.0529558,-0.998535,0
0,0,0,0,0,2199,389,2588,14240,16828,0.0124685,0.0550547,-0.998405,0
0,0,0,0,0,2154,418,2572,15220,17792,0.012097,0.0566712,-0.99832,0
0,0,0,0,0,2159,415,2574,14718,17292,0.0106419,0.0609008,-0.998087,0
0,0,0,0,0,3222,506,3728,16312,20040,0.00929488,0.0638196,-0.997918,0
0,0,0,0,0,2849,409,3258,14241,17499,0.0102679,0.0655573,-0.997796,0
0,0,0,0,0,2353,505,2858,16227,19085,0.0123207,0.0683807,-0.997583,0
0,0,0,0,0,2224,441,2665,14085,16750,0.0136718,0.0698254,-0.997465,0
0,0,0,0,0,1884,360,2244,14168,16412,0.0131232,0.0714917,-0.997355,0
0,0,0,0,0,7346,1363,8709,24947,33656,0.0102711,0.0998059,-0.994954,0
0,0,0,0,0,2032,320,2352,12250,14602,0.00909446,0.0897802,-0.99592,0
0,0,0,0,0,1397,250,1647,11543,13190,0.00949667,0.091555,-0.995755,0
0,0,0,0,0,8148,1379,9527,25786,35313,0.0134452,0.11698,-0.993043,0
0,0,0,0,0,1612,291,1903,13508,15411,0.012366,0.101437,-0.994765,0
0,0,0,0,0,1608,285,1893,14597,16490,0.0106406,0.113038,-0.993534,0
0,0,0,0,0,2217,433,2650,19474,22124,0.00664772,0.126553,-0.991938,0
0,0,0,0,0,1936,367,2303,17912,20215,0.00684235,0.146421,-0.989199,0
0,0,0,0,0,1742,315,2057,17366,19423,0.00637213,0.182982,-0.983096,0
0,0,0,0,0,1671,303,1974,15844,17818,0.00225193,0.228944,-0.973437,0
0,0,0,0,0,2076,346,2422,16742,19164,-0.0051105,0.30093,-0.953633,0
0,0,0,0,0,1713,309,2022,14721,16743,-0.00999048,0.350507,-0.936507,0
0,0,0,0,0,1727,311,2038,13956,15994,-0.0271685,0.388462,-0.921064,0
0,0,0,0,0,1898,365,2263,17572,19835,-0.0460151,0.430905,-0.901223,0
0,0,0,0,0,2712,394,3106,19237,22343,-0.0628415,0.460106,-0.885638,0
0,0,0,0,0,2239,339,2578,16492,19070,-0.0854812,0.488357,-0.868447,0
0,0,0,0,0,1831,333,2164,16881,19045,-0.104802,0.524833,-0.84473,0
0,0,0,0,0,1884,324,2208,16228,18436,-0.121448,0.555896,-0.822332,0
0,0,0,0,0,1891,363,2254,16620,18874,-0.120276,0.587769,-0.800039,0
0,0,0,0,0,1946,356,2302,16235,18537,-0.117716,0.615172,-0.779556,0
0,0,0,0,0,1688,309,1997,14764,16761,-0.116793,0.643009,-0.756901,0
0,0,0,0,0,1782,313,2095,15282,17377,-0.12218,0.670055,-0.732188,0
0,0,0,0,0,1913,349,2262,17068,19330,-0.100978,0.63242,-0.768016,0
0,0,0,0,0,2074,351,2425,20900,23325,-0.0936053,0.672144,-0.734481,0
0,0,0,0,0,1923,303,2226,18677,20903,-0.0885331,0.701034,-0.707611,0
0,0,0,0,0,1748,342,2090,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1618,335,1953,8767,10720,-0.00393325,0.0824991,-0.996584,0
0,0,0,0,0,2141,421,2562,21432,23994,-0.0103594,0.185994,-0.982496,0
0,0,0,0,0,2158,465,2623,23593,26216,-0.0242147,0.316147,-0.948401,0
0,0,0,0,0,1486,297,1783,25780,27563,-0.0246973,0.310893,-0.950124,0
0,0,0,0,0,1687,317,2004,32279,34283,-0.0533738,0.563464,-0.824415,0
0,0,0,0,0,1617,303,1920,26481,28401,-0.0662826,0.617422,-0.783835,0
0,0,0,0,0,1550,366,1916,28406,30322,-0.0660521,0.60637,-0.792435,0
0,0,0,0,0,1591,354,1945,30369,32314,-0.077035,0.613178,-0.78618,0
0,0,0,0,0,1573,294,1867,28712,30579,-0.0601189,0.555719,-0.829193,0
0,0,0,0,0,1706,381,2087,28442,30529,-0.0293399,0.44372,-0.895685,0
0,0,0,0,0,4687,830,5517,51089,56606,-0.0171208,0.414132,-0.910056,0
0,0,0,0,0,1592,309,1901,30730,32631,-0.0193485,0.471976,-0.881399,0
0,0,0,0,0,1520,380,1900,30903,32803,-0.0242835,0.507429,-0.861352,0
0,0,0,0,0,1550,296,1846,29703,31549,-0.0271962,0.517648,-0.855161,0
0,0,0,0,0,1504,372,1876,31394,33270,-0.0538978,0.608933,-0.791389,0
0,0,0,0,0,1775,370,2145,29955,32100,-0.0499766,0.606947,-0.793169,0
0,0,0,0,0,1686,344,2030,30139,32169,-0.0413246,0.600334,-0.798681,0
0,0,0,0,0,1454,326,1780,31139,32919,-0.0333091,0.61493,-0.787878,0
0,0,0,0,0,4183,775,4958,36770,41728,-0.0276003,0.613578,-0.789152,0
0,0,0,0,0,1453,312,1765,29436,31201,-0.00688194,0.615503,-0.788104,0
0,0,0,0,0,1477,297,1774,26776,28550,0.0156752,0.616052,-0.78755,0
0,0,0,0,0,5973,1047,7020,45029,52049,0.0756959,0.652807,-0.753733,0
0,0,0,0,0,1757,329,2086,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,1460,337,1797,12166,13963,0.0484954,0.157443,-0.986337,0
0,0,0,0,0,1386,282,1668,19899,21567,0.0694729,0.232325,-0.970154,0
0,0,0,0,0,1400,280,1680,17644,19324,0.0809369,0.342487,-0.93603,0
0,0,0,0,0,1574,290,1864,8431,10295,0.0878347,0.395924,-0.914073,0
0,0,0,0,0,9333,1412,10745,18821,29566,0.0541569,0.553314,-0.831211,0
0,0,0,0,0,2082,366,2448,8705,11153,0.0486096,0.555767,-0.829916,0
0,0,0,0,0,1470,283,1753,13244,14997,0.0275708,0.517424,-0.855285,0
0,0,0,0,0,1470,285,1755,15645,17400,0.00691888,0.53564,-0.844418,0
0,0,0,0,0,6543,1154,7697,21381,29078,0.00270832,0.700078,-0.714062,0
0,0,0,0,0,1560,404,1964,18164,20128,-0.0254576,0.597895,-0.80117,0
0,0,0,0,0,1519,305,1824,15415,17239,-0.0271468,0.654242,-0.755798,0
0,0,0,0,0,5903,1147,7050,34523,41573,-0.0500459,0.650204,-0.75811,0
0,0,0,0,0,1420,287,1707,10021,11728,-0.0528088,0.657155,-0.751904,0
0,0,0,0,0,1649,291,1940,17036,18976,-0.0518124,0.685475,-0.72625,0
