Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6364,1119,7483,12996,20479,0.0158648,-0.0978958,-0.99507,0
0,0,0,0,0,4215,772,4987,28184,33171,0.0111869,-0.0460051,-0.998879,0
0,0,0,0,0,1494,276,1770,17346,19116,0.00733963,-0.0144483,-0.999869,0
0,0,0,0,0,1510,271,1781,20845,22626,0.0028579,0.00808893,-0.999963,0
0,0,0,0,0,1712,308,2020,23486,25506,0.000302408,0.0168323,-0.999859,0
0,0,0,0,0,6327,1143,7470,34611,42081,-0.000554351,0.0169015,-0.999857,0
0,0,0,0,0,1337,249,1586,20167,21753,-4.66623e-05,0.0190611,-0.999818,0
0,0,0,0,0,1420,265,1685,21217,22902,-0.000969662,0.0192835,-0.999813,0
0,0,0,0,0,6177,1150,7327,33923,41250,-0.00202756,0.0216998,-0.999763,0
0,0,0,0,0,1359,283,1642,20480,22122,-0.00139249,0.0246514,-0.999695,0
0,0,0,0,0,6176,1094,7270,33344,40614,0.00195828,0.0267839,-0.999639,0
0,0,0,0,0,1387,250,1637,20078,21715,0.00275425,0.0258659,-0.999661,0
0,0,0,0,0,1616,300,1916,21525,23441,0.00297615,0.0224283,-0.999744,0
0,0,0,0,0,6271,1142,7413,36277,43690,0.00240858,0.0193341,-0.99981,0
0,0,0,0,0,1360,250,1610,20570,22180,0.00160939,0.0186364,-0.999825,0
0,0,0,0,0,1505,270,1775,21114,22889,0.000745726,0.0183273,-0.999832,0
0,0,0,0,0,1635,292,1927,22899,24826,0.000334407,0.0179142,-0.99984,0
0,0,0,0,0,1984,394,2378,20491,22869,0.000499226,0.0174991,-0.999847,0
0,0,0,0,0,6164,1141,7305,34513,41818,0.00125994,0.0153475,-0.999882,0
0,0,0,0,0,1340,250,1590,20292,21882,0.00167235,0.0164631,-0.999863,0
0,0,0,0,0,1629,309,1938,22157,24095,0.00294606,0.0164968,-0.99986,0
0,0,0,0,0,1530,283,1813,22494,24307,0.00270285,0.0172119,-0.999848,0
0,0,0,0,0,1617,301,1918,23424,25342,0.00183273,0.0188644,-0.99982,0
0,0,0,0,0,1591,294,1885,22990,24875,0.000134358,0.0202716,-0.999795,0
0,0,0,0,0,1619,302,1921,23940,25861,-0.000211154,0.020669,-0.999787,0
0,0,0,0,0,1452,272,1724,22406,24130,-5.39364e-05,0.0213331,-0.999772,0
0,0,0,0,0,1566,294,1860,23116,24976,-0.000614216,0.022088,-0.999756,0
0,0,0,0,0,1781,332,2113,26235,28348,-0.00179293,0.0217014,-0.999763,0
0,0,0,0,0,1620,302,1922,23794,25716,-0.00227432,0.0214274,-0.999768,0
0,0,0,0,0,1635,292,1927,23307,25234,-0.002731,0.0226404,-0.99974,0
0,0,0,0,0,1594,314,1908,22829,24737,-0.00182422,0.0233114,-0.999726,0
0,0,0,0,0,1631,312,1943,22918,24861,-0.00174982,0.0241771,-0.999706,0
0,0,0,0,0,1351,256,1607,21011,22618,-0.00137753,0.0249797,-0.999687,0
0,0,0,0,0,1661,312,1973,24712,26685,-0.00169148,0.0259162,-0.999663,0
0,0,0,0,0,1334,250,1584,20878,22462,-0.000290495,0.0259577,-0.999663,0
0,0,0,0,0,1491,296,1787,22323,24110,0.000489342,0.0257044,-0.999669,0
0,0,0,0,0,1616,306,1922,24254,26176,0.00095227,0.0248982,-0.999689,0
0,0,0,0,0,1495,273,1768,21916,23684,0.00133824,0.0233768,-0.999726,0
0,0,0,0,0,1527,287,1814,23230,25044,-0.00015201,0.022295,-0.999751,0
0,0,0,0,0,1588,284,1872,23443,25315,-0.00234011,0.0242668,-0.999703,0
0,0,0,0,0,1534,288,1822,22968,24790,-0.00388725,0.025942,-0.999656,0
0,0,0,0,0,1679,314,1993,25411,27404,-0.00359816,0.027175,-0.999624,0
0,0,0,0,0,1627,295,1922,23703,25625,-0.0022763,0.0267713,-0.999639,0
0,0,0,0,0,1590,287,1877,23203,25080,-0.00157942,0.0243051,-0.999703,0
0,0,0,0,0,1582,293,1875,23853,25728,-0.0029598,0.0210654,-0.999774,0
0,0,0,0,0,1382,251,1633,21527,23160,-0.00218516,0.0198787,-0.9998,0
0,0,0,0,0,1734,327,2061,25991,28052,0.00534606,0.0187229,-0.99981,0
0,0,0,0,0,1463,273,1736,21882,23618,0.0132914,0.0190665,-0.99973,0
0,0,0,0,0,1515,283,1798,22504,24302,0.011807,0.0198408,-0.999733,0
0,0,0,0,0,1648,288,1936,22848,24784,0.00713893,0.0207971,-0.999758,0
0,0,0,0,0,1451,285,1736,22493,24229,0.00219527,0.022158,-0.999752,0
0,0,0,0,0,1600,304,1904,24879,26783,-8.39645e-05,0.0221256,-0.999755,0
0,0,0,0,0,5477,1034,6511,35502,42013,0.000538118,0.024806,-0.999692,0
0,0,0,0,0,1473,255,1728,22068,23796,0.000879841,0.0268994,-0.999638,0
0,0,0,0,0,1608,294,1902,23855,25757,0.000296626,0.0275575,-0.99962,0
