Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,7863,1247,9110,23834,32944,-0.0641177,-0.0566312,-0.996334,0
0,0,0,0,0,2045,408,2453,54029,56482,-0.0703143,-0.0484827,-0.996346,0
0,0,0,0,0,1674,380,2054,59594,61648,-0.0730013,-0.0447447,-0.996328,0
0,0,0,0,0,1754,416,2170,57228,59398,-0.0750087,-0.0425771,-0.996273,0
0,0,0,0,0,1674,493,2167,47930,50097,-0.0765353,-0.0406325,-0.996239,0
0,0,0,0,0,1776,383,2159,51430,53589,-0.0773977,-0.0400794,-0.996194,0
0,0,0,0,0,1646,378,2024,51327,53351,-0.0786722,-0.0398274,-0.996105,0
0,0,0,0,0,1645,332,1977,65066,67043,-0.0758787,-0.0391397,-0.996349,0
0,0,0,0,0,1641,338,1979,56360,58339,-0.0770346,-0.0399159,-0.996229,0
0,0,0,0,0,1641,341,1982,50048,52030,-0.0770754,-0.0397857,-0.996231,0
0,0,0,0,0,1641,339,1980,64237,66217,-0.0753053,-0.0394402,-0.99638,0
0,0,0,0,0,1644,336,1980,67090,69070,-0.0729101,-0.0390031,-0.996575,0
0,0,0,0,0,1669,335,2004,65535,67539,-0.0727907,-0.0388843,-0.996589,0
0,0,0,0,0,1706,459,2165,54402,56567,-0.0751165,-0.0389789,-0.996413,0
0,0,0,0,0,1686,344,2030,63356,65386,-0.0744032,-0.0391772,-0.996458,0
0,0,0,0,0,1688,368,2056,64674,66730,-0.0729573,-0.0390426,-0.996571,0
0,0,0,0,0,1682,369,2051,60385,62436,-0.0744294,-0.0390245,-0.996462,0
0,0,0,0,0,1690,387,2077,62326,64403,-0.0742567,-0.0387529,-0.996486,0
0,0,0,0,0,1638,348,1986,45468,47454,-0.0747198,-0.0396093,-0.996418,0
0,0,0,0,0,1687,348,2035,52338,54373,-0.0757424,-0.0397123,-0.996336,0
0,0,0,0,0,1707,347,2054,65154,67208,-0.0752462,-0.0392853,-0.996391,0
0,0,0,0,0,1647,334,1981,55735,57716,-0.0768488,-0.0405053,-0.99622,0
