Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,0,6512,1199,7711,-1000,-1000,-1,-1,-1,0
0,0,0,0,0,6521,1168,7689,14725,22414,-0.0209469,-0.0516673,-0.998445,0
0,0,0,0,0,2253,421,2674,5956,8630,-0.0155817,-0.0386445,-0.999132,0
0,0,0,0,0,2344,426,2770,7140,9910,-0.0141918,-0.0193183,-0.999712,0
0,0,0,0,0,5361,867,6228,15233,21461,-0.0107491,-0.00197272,-0.99994,0
0,0,0,0,0,3577,646,4223,12256,16479,-0.00527882,0.0116034,-0.999919,0
0,0,0,0,0,2705,423,3128,9505,12633,-0.000308239,0.0200458,-0.999799,0
0,0,0,0,0,6517,1398,7915,18314,26229,0.00292033,0.026119,-0.999654,0
0,0,0,0,0,2276,425,2701,8293,10994,0.00425878,0.0314758,-0.999495,0
0,0,0,0,0,2374,423,2797,9843,12640,0.00959624,0.036226,-0.999298,0
0,0,0,0,0,3810,674,4484,15695,20179,0.00826926,0.0387875,-0.999213,0
0,0,0,0,0,2980,533,3513,12266,15779,0.0116557,0.0434783,-0.998986,0
0,0,0,0,0,2835,505,3340,12187,15527,0.0134641,0.0467442,-0.998816,0
0,0,0,0,0,3392,596,3988,14501,18489,0.01588,0.047181,-0.99876,0
0,0,0,0,0,2723,485,3208,11709,14917,0.0171592,0.0467393,-0.99876,0
0,0,0,0,0,6395,1127,7522,20309,27831,0.0179938,0.0483389,-0.998669,0
0,0,0,0,0,2361,403,2764,8543,11307,0.0150611,0.0519953,-0.998534,0
0,0,0,0,0,1787,283,2070,6405,8475,0.0130063,0.0520068,-0.998562,0
0,0,0,0,0,1592,282,1874,6854,8728,0.0116153,0.053221,-0.998515,0
0,0,0,0,0,4334,608,4942,13485,18427,0.00717575,0.0579053,-0.998297,0
0,0,0,0,0,3207,560,3767,13891,17658,0.00565839,0.0595132,-0.998211,0
0,0,0,0,0,3033,535,3568,13571,17139,0.00414689,0.0617294,-0.998084,0
0,0,0,0,0,1396,249,1645,6233,7878,0.0036912,0.0659735,-0.997814,0
0,0,0,0,0,2777,586,3363,14699,18062,0.00229782,0.0677741,-0.997698,0
0,0,0,0,0,3892,674,4566,16746,21312,0.00645475,0.068112,-0.997657,0
0,0,0,0,0,3048,534,3582,13191,16773,0.00848609,0.0683681,-0.997624,0
0,0,0,0,0,2833,440,3273,11053,14326,0.00990841,0.0682244,-0.997621,0
0,0,0,0,0,6571,1287,7858,17984,25842,0.0112888,0.0677861,-0.997636,0
0,0,0,0,0,2309,405,2714,8721,11435,0.0110701,0.0673423,-0.997669,0
0,0,0,0,0,2354,376,2730,9407,12137,0.0110613,0.0692529,-0.997538,0
0,0,0,0,0,3206,562,3768,14278,18046,0.0123536,0.0687726,-0.997556,0
0,0,0,0,0,3858,676,4534,16305,20839,0.0122694,0.0682301,-0.997594,0
0,0,0,0,0,2633,443,3076,11053,14129,0.0130861,0.0695962,-0.99749,0
0,0,0,0,0,3392,597,3989,15094,19083,0.0141247,0.0707454,-0.997394,0
0,0,0,0,0,3238,562,3800,13580,17380,0.0145508,0.0714078,-0.997341,0
0,0,0,0,0,6998,1340,8338,19720,28058,0.00849112,0.0750271,-0.997146,0
0,0,0,0,0,2367,412,2779,8722,11501,0.00890491,0.0744538,-0.997185,0
0,0,0,0,0,1611,272,1883,6366,8249,0.00923785,0.0736063,-0.997244,0
0,0,0,0,0,1609,281,1890,6965,8855,0.010792,0.073968,-0.997202,0
0,0,0,0,0,2892,484,3376,11923,15299,0.0162503,0.0747535,-0.99707,0
0,0,0,0,0,6653,1127,7780,18819,26599,0.0180112,0.079176,-0.996698,0
0,0,0,0,0,2309,412,2721,8768,11489,0.0201954,0.0833507,-0.996316,0
0,0,0,0,0,2131,361,2492,8298,10790,0.0309342,0.100479,-0.994458,0
0,0,0,0,0,3610,630,4240,15418,19658,0.0392686,0.125745,-0.991285,0
0,0,0,0,0,2916,510,3426,16969,20395,0.0343771,0.117001,-0.992537,0
0,0,0,0,0,2060,371,2431,16349,18780,0.0141424,0.0710662,-0.997372,0
0,0,0,0,0,1808,329,2137,21569,23706,0.0020255,0.0509194,-0.998701,0
0,0,0,0,0,1403,264,1667,21439,23106,-0.00893724,0.0448854,-0.998952,0
0,0,0,0,0,1663,291,1954,16141,18095,-0.00968217,0.0372777,-0.999258,0
0,0,0,0,0,1918,374,2292,28705,30997,-0.0265557,0.0228155,-0.999387,0
0,0,0,0,0,1537,270,1807,22616,24423,-0.0380652,0.00698191,-0.999251,0
