Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19121,357,1033,20511,2506,23017,-0.0943196,0.0102067,-0.99549,0
0,0,0,0,9715,183,535,10433,1616,12049,-0.0753469,0.0508145,-0.995862,0
0,0,0,0,16554,473,792,17819,1820,19639,-0.0849476,0.0561311,-0.994803,0
0,0,0,0,12162,281,639,13082,1590,14672,-0.0958085,0.057168,-0.993757,0
0,0,0,0,10869,194,606,11669,1549,13218,-0.0757869,0.0562235,-0.995538,0
0,0,0,0,14199,196,770,15165,1946,17111,-0.085794,0.0595309,-0.994533,0
0,0,0,0,14048,230,745,15023,1657,16680,-0.109157,0.0483355,-0.992849,0
0,0,0,0,12957,189,661,13807,1813,15620,-0.0785919,0.0652736,-0.994768,0
0,0,0,0,17106,277,896,18279,2511,20790,-0.0812455,0.0518745,-0.995343,0
0,0,0,0,12037,198,612,12847,1859,14706,-0.132552,0.0842188,-0.987592,0
0,0,0,0,16961,337,862,18160,2077,20237,-0.113543,0.0725263,-0.990882,0
0,0,0,0,12055,186,617,12858,1509,14367,-0.105377,0.0750207,-0.991599,0
0,0,0,0,11701,275,584,12560,1639,14199,-0.0768909,0.0480908,-0.995879,0
0,0,0,0,11704,267,626,12597,1592,14189,-0.117774,0.0793385,-0.989866,0
0,0,0,0,17884,260,681,18825,1734,20559,-0.0703536,0.0436287,-0.996567,0
0,0,0,0,9442,126,487,10055,1379,11434,-0.0884892,0.0572237,-0.994432,0
0,0,0,0,14233,235,752,15220,2036,17256,-0.128526,0.0659522,-0.989511,0
0,0,0,0,17257,207,641,18105,1619,19724,-0.0923421,0.0643672,-0.993645,0
0,0,0,0,9277,152,510,9939,1428,11367,-0.0777995,0.0443541,-0.995982,0
0,0,0,0,20160,397,1075,21632,1999,23631,-0.0868037,0.0499365,-0.994973,0
0,0,0,0,9033,192,395,9620,1024,10644,-0.0945323,0.0713441,-0.992962,0
0,0,0,0,5716,69,287,6072,739,6811,-0.129336,0.0639541,-0.989536,0
0,0,0,0,17468,245,983,18696,2448,21144,-0.0732478,0.0470808,-0.996202,0
0,0,0,0,16759,189,637,17585,1468,19053,-0.109931,0.0652957,-0.991792,0
0,0,0,0,7843,153,401,8397,1014,9411,-0.080978,0.0534658,-0.995281,0
0,0,0,0,13817,330,719,14866,1961,16827,-0.0867441,0.0571472,-0.99459,0
0,0,0,0,18970,395,922,20287,1826,22113,-0.100394,0.0651602,-0.992812,0
0,0,0,0,8611,102,354,9067,951,10018,-0.069165,0.0418965,-0.996725,0
0,0,0,0,4921,65,247,5233,666,5899,-0.0680577,0.0411108,-0.996834,0
0,0,0,0,5710,76,323,6109,821,6930,-0.0802568,0.050717,-0.995483,0
0,0,0,0,17716,341,941,18998,2554,21552,-0.097345,0.0616388,-0.99334,0
0,0,0,0,12561,136,655,13352,1611,14963,-0.063997,0.0373154,-0.997252,0
0,0,0,0,11182,193,598,11973,1629,13602,-0.104248,0.0713639,-0.991988,0
0,0,0,0,18794,319,690,19803,1825,21628,-0.115205,0.0730776,-0.99065,0
0,0,0,0,8030,178,428,8636,1087,9723,-0.104276,0.0746716,-0.991741,0
0,0,0,0,14633,263,748,15644,2006,17650,-0.0760116,0.0450093,-0.996091,0
0,0,0,0,17671,287,628,18586,1760,20346,-0.204779,0.145616,-0.967916,0
0,0,0,0,19642,329,969,20940,2075,23015,-0.12719,0.072555,-0.989221,0
0,0,0,0,9814,120,415,10349,1091,11440,-0.0676222,0.0397791,-0.996918,0
0,0,0,0,5785,97,265,6147,734,6881,-0.112073,0.075942,-0.990794,0
0,0,0,0,18775,266,972,20013,2299,22312,-0.0752303,0.0501243,-0.995905,0
0,0,0,0,8957,104,455,9516,944,10460,-0.11908,0.0667647,-0.990638,0
0,0,0,0,5839,137,313,6289,829,7118,-0.0898621,0.0590857,-0.9942,0
0,0,0,0,12122,276,634,13032,1642,14674,-0.10255,0.053309,-0.993298,0
0,0,0,0,19253,246,673,20172,1843,22015,-0.0831345,0.0544802,-0.995048,0
0,0,0,0,10119,160,517,10796,1431,12227,-0.0857699,0.047805,-0.995168,0
0,0,0,0,15507,197,799,16503,1969,18472,-0.0927342,0.0694523,-0.993266,0
0,0,0,0,11663,167,616,12446,1862,14308,-0.0912093,0.0512666,-0.994511,0
0,0,0,0,17620,244,934,18798,2371,21169,-0.101526,0.0713021,-0.992274,0
0,0,0,0,17063,339,817,18219,1725,19944,-0.140413,0.0799898,-0.986857,0
0,0,0,0,9312,195,502,10009,1263,11272,-0.0959006,0.0705128,-0.99289,0
0,0,0,0,9786,204,512,10502,1296,11798,-0.0796857,0.0459826,-0.995759,0
0,0,0,0,14658,214,784,15656,2089,17745,-0.113665,0.0753738,-0.990656,0
0,0,0,0,13933,234,690,14857,1607,16464,-0.107354,0.0620771,-0.992281,0
0,0,0,0,13243,262,697,14202,1837,16039,-0.0789903,0.0504279,-0.995599,0
0,0,0,0,13171,216,710,14097,1954,16051,-0.101501,0.0544533,-0.993344,0
0,0,0,0,10441,209,561,11211,1253,12464,-0.0874758,0.0533945,-0.994734,0
0,0,0,0,18677,213,929,19819,2461,22280,-0.0834343,0.0588968,-0.994771,0
0,0,0,0,16930,288,629,17847,1770,19617,-0.0981582,0.0527747,-0.993771,0
0,0,0,0,9840,202,490,10532,1431,11963,-0.0936205,0.0743236,-0.99283,0
0,0,0,0,18105,397,647,19149,1779,20928,-0.0758593,0.0425514,-0.996211,0
0,0,0,0,17054,181,661,17896,1612,19508,-0.0811634,0.0506245,-0.995414,0
0,0,0,0,9468,189,504,10161,1329,11490,-0.117563,0.0729464,-0.990383,0
0,0,0,0,18582,302,900,19784,1815,21599,-0.108442,0.0650913,-0.991969,0
0,0,0,0,12085,195,652,12932,1882,14814,-0.0701731,0.0417395,-0.996661,0
0,0,0,0,14609,234,756,15599,2199,17798,-0.174353,0.113241,-0.97815,0
0,0,0,0,14330,303,759,15392,1745,17137,-0.162766,0.118494,-0.979524,0
0,0,0,0,13763,213,694,14670,1995,16665,-0.13404,0.0867121,-0.987175,0
0,0,0,0,16897,236,957,18090,1997,20087,-0.0545374,0.026461,-0.998161,0
0,0,0,0,12306,190,644,13140,1897,15037,-0.0886762,0.0617724,-0.994143,0
0,0,0,0,15558,385,781,16724,1710,18434,-0.10652,0.0546779,-0.992806,0
0,0,0,0,13891,183,760,14834,1964,16798,-0.0831615,0.0639115,-0.994484,0
0,0,0,0,14454,224,754,15432,1990,17422,-0.106333,0.0635402,-0.992298,0
0,0,0,0,13501,202,686,14389,1813,16202,-0.0869061,0.0611567,-0.994338,0
