Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,17478,168,625,18271,1939,20210,-0.0474725,-0.049733,-0.997634,0
0,0,0,0,8918,143,469,9530,1738,11268,-0.0163143,0.016321,-0.999734,0
0,0,0,0,10272,207,588,11067,1569,12636,-0.0264906,-0.0282265,-0.99925,0
0,0,0,0,12593,258,653,13504,1812,15316,0.00043943,-0.0383665,-0.999263,0
0,0,0,0,16062,185,565,16812,1564,18376,-0.0440073,-0.0130941,-0.998946,0
0,0,0,0,8526,155,435,9116,1241,10357,-0.0153148,-0.0271469,-0.999514,0
0,0,0,0,14833,331,940,16104,1886,17990,-0.0180658,-0.0268653,-0.999476,0
0,0,0,0,10654,160,559,11373,1625,12998,-0.0331971,-0.0174983,-0.999296,0
0,0,0,0,14276,243,1011,15530,1986,17516,-0.0358632,-0.0187741,-0.99918,0
0,0,0,0,10034,180,521,10735,1485,12220,-0.0340226,-0.0242914,-0.999126,0
0,0,0,0,13494,173,655,14322,2136,16458,-0.00902453,-0.029198,-0.999533,0
0,0,0,0,15102,212,676,15990,1797,17787,-0.0318995,-0.0228769,-0.999229,0
0,0,0,0,8569,118,437,9124,1243,10367,-0.0260304,-0.0250432,-0.999347,0
0,0,0,0,17109,327,921,18357,2208,20565,-0.0336916,-0.0167033,-0.999293,0
0,0,0,0,9310,122,372,9804,1062,10866,-0.0391606,-0.016713,-0.999093,0
0,0,0,0,6151,87,274,6512,778,7290,-0.0310571,-0.0233808,-0.999244,0
0,0,0,0,10972,149,559,11680,2039,13719,-0.0570936,-0.00908438,-0.998328,0
0,0,0,0,16477,287,741,17505,1690,19195,-0.00896063,-0.0377115,-0.999249,0
0,0,0,0,8782,140,459,9381,1304,10685,-0.0183472,-0.0245587,-0.99953,0
0,0,0,0,16403,254,903,17560,2409,19969,0.0134929,-0.0490315,-0.998706,0
0,0,0,0,12958,161,464,13583,1264,14847,-0.0487577,-0.0103185,-0.998757,0
0,0,0,0,6491,98,310,6899,857,7756,-0.010164,-0.0369428,-0.999266,0
0,0,0,0,4473,65,238,4776,676,5452,-0.0450601,-0.0138926,-0.998888,0
0,0,0,0,12310,171,653,13134,1828,14962,-0.0370069,-0.0155531,-0.999194,0
0,0,0,0,16690,253,872,17815,2912,20727,-0.0181343,-0.0255118,-0.99951,0
0,0,0,0,11714,179,602,12495,1586,14081,-0.0172388,-0.0300095,-0.999401,0
0,0,0,0,10668,155,560,11383,1701,13084,-0.0359033,-0.0174879,-0.999202,0
0,0,0,0,16107,161,567,16835,1714,18549,0.00749204,-0.0460105,-0.998913,0
0,0,0,0,8344,108,436,8888,1321,10209,-0.0338185,-0.0188778,-0.999249,0
0,0,0,0,12428,172,689,13289,1966,15255,-0.0273839,-0.0184368,-0.999455,0
0,0,0,0,12724,162,661,13547,1670,15217,-0.0164137,-0.0287962,-0.999451,0
0,0,0,0,9113,136,490,9739,1435,11174,-0.0550251,-0.00882096,-0.998446,0
0,0,0,0,17145,217,915,18277,2182,20459,-0.0407701,-0.0166668,-0.999029,0
0,0,0,0,17068,260,915,18243,2712,20955,-0.0176421,-0.0265742,-0.999491,0
0,0,0,0,8067,110,373,8550,1035,9585,-0.0302771,-0.0194499,-0.999352,0
0,0,0,0,5341,99,278,5718,763,6481,-0.0355269,-0.0192812,-0.999183,0
0,0,0,0,13601,218,712,14531,2109,16640,-0.0239692,-0.025081,-0.999398,0
0,0,0,0,13929,201,713,14843,1499,16342,-0.0371462,-0.0179933,-0.999148,0
0,0,0,0,10151,153,530,10834,1514,12348,-0.0335782,-0.0192377,-0.999251,0
0,0,0,0,16585,332,871,17788,2448,20236,-0.0376005,-0.0176187,-0.999137,0
0,0,0,0,11658,182,626,12466,1320,13786,-0.0268965,-0.0224109,-0.999387,0
0,0,0,0,13913,207,714,14834,2087,16921,-0.00933829,-0.0340974,-0.999375,0
0,0,0,0,13809,264,720,14793,1828,16621,-0.0146695,-0.0308083,-0.999418,0
