Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,19030,250,755,20035,1728,21763,-0.0497287,-0.0497286,-0.997524,0
0,0,0,0,8240,121,400,8761,963,9724,0.0353946,-0.0281106,-0.998978,0
0,0,0,0,6719,128,384,7231,1132,8363,-0.00955525,-0.0219286,-0.999714,0
0,0,0,0,13080,188,725,13993,1948,15941,0.0100871,-0.00798761,-0.999917,0
0,0,0,0,19230,196,764,20190,1702,21892,-0.00159539,-0.024981,-0.999687,0
0,0,0,0,10142,133,581,10856,1449,12305,0.0167375,-0.00928251,-0.999817,0
0,0,0,0,11985,232,664,12881,1678,14559,-0.0055055,-0.0354232,-0.999357,0
0,0,0,0,19035,267,768,20070,2257,22327,0.00871809,-0.00639473,-0.999941,0
0,0,0,0,8139,119,475,8733,1396,10129,-0.0036011,-0.0246912,-0.999688,0
0,0,0,0,11962,162,663,12787,1914,14701,-0.00853651,-0.0367678,-0.999287,0
0,0,0,0,20195,375,1016,21586,1939,23525,0.0103171,-0.00948832,-0.999902,0
0,0,0,0,8636,136,416,9188,1128,10316,0.000121854,-0.0252455,-0.999681,0
0,0,0,0,5574,104,310,5988,826,6814,0.00598471,-0.00891914,-0.999942,0
0,0,0,0,5471,105,320,5896,893,6789,-0.0109807,-0.0342709,-0.999352,0
0,0,0,0,19836,339,1138,21313,2666,23979,0.0264489,0.00229344,-0.999647,0
0,0,0,0,13337,200,605,14142,1463,15605,-0.042134,-0.0797397,-0.995925,0
0,0,0,0,8548,132,473,9153,1005,10158,0.0279202,-0.00938247,-0.999566,0
0,0,0,0,19775,354,980,21109,1820,22929,-0.0186996,-0.0385037,-0.999084,0
0,0,0,0,13741,243,822,14806,1585,16391,0.0169658,-0.0155317,-0.999736,0
0,0,0,0,8098,126,502,8726,1684,10410,-0.0135551,-0.0404104,-0.999091,0
0,0,0,0,19164,202,767,20133,1997,22130,0.0107023,-0.0132045,-0.999856,0
0,0,0,0,10272,129,581,10982,1242,12224,0.00135005,-0.022361,-0.999749,0
0,0,0,0,11654,143,688,12485,1876,14361,0.0029151,-0.0143899,-0.999893,0
0,0,0,0,19090,246,763,20099,2367,22466,0.00547503,-0.0184801,-0.999814,0
0,0,0,0,10439,197,587,11223,1519,12742,-0.00924603,-0.0508882,-0.998662,0
0,0,0,0,19569,335,1118,21022,1911,22933,0.0130139,-0.00793347,-0.999884,0
0,0,0,0,10217,111,583,10911,1633,12544,-0.000932565,-0.0252815,-0.99968,0
0,0,0,0,15699,233,907,16839,2782,19621,0.00606082,-0.013116,-0.999896,0
0,0,0,0,11479,159,659,12297,1669,13966,0.01535,-0.0113889,-0.999817,0
0,0,0,0,18958,251,766,19975,2154,22129,-0.0209471,-0.0404264,-0.998963,0
0,0,0,0,17319,184,609,18112,1775,19887,0.0157139,-0.0103585,-0.999823,0
0,0,0,0,8255,155,473,8883,1375,10258,-0.021469,-0.0399291,-0.998972,0
0,0,0,0,14821,225,831,15877,2303,18180,0.0248125,-0.0165779,-0.999555,0
0,0,0,0,14542,288,847,15677,2225,17902,-0.000757936,-0.0125415,-0.999921,0
0,0,0,0,10835,199,624,11658,1802,13460,0.00565821,-0.0227596,-0.999725,0
0,0,0,0,18061,341,847,19249,1779,21028,-0.00270738,-0.031138,-0.999511,0
0,0,0,0,9505,183,550,10238,1447,11685,-0.000215698,-0.016045,-0.999871,0
0,0,0,0,19161,284,709,20154,2150,22304,0.00705236,-0.0197063,-0.999781,0
0,0,0,0,9619,197,551,10367,1547,11914,-0.00708677,-0.0425098,-0.999071,0
0,0,0,0,18214,297,988,19499,2426,21925,0.00779328,-0.0133874,-0.99988,0
0,0,0,0,12428,247,715,13390,2010,15400,-0.0014565,-0.0297125,-0.999557,0
0,0,0,0,11548,203,661,12412,1608,14020,-0.00276644,-0.0213574,-0.999768,0
0,0,0,0,19278,328,1002,20608,2708,23316,0.00548487,-0.018916,-0.999806,0
0,0,0,0,15396,137,552,16085,1441,17526,-0.00299677,-0.0236263,-0.999716,0
0,0,0,0,7758,131,453,8342,1244,9586,-0.000332368,-0.00772534,-0.99997,0
0,0,0,0,13811,175,765,14751,2636,17387,0.0097016,-0.0124938,-0.999875,0
0,0,0,0,19095,245,767,20107,2297,22404,-0.00415626,-0.0242354,-0.999698,0
0,0,0,0,10238,178,581,10997,1463,12460,0.0100527,-0.0132262,-0.999862,0
0,0,0,0,16207,264,948,17419,1773,19192,-0.005008,-0.0257424,-0.999657,0
0,0,0,0,11452,185,662,12299,1682,13981,0.0254386,-0.00305486,-0.999672,0
0,0,0,0,13739,251,792,14782,2096,16878,-0.0128032,-0.036305,-0.999259,0
0,0,0,0,13186,218,779,14183,1796,15979,0.0248572,-0.00740233,-0.999664,0
0,0,0,0,13667,192,765,14624,1751,16375,-0.0175738,-0.0366248,-0.999174,0
0,0,0,0,10564,204,588,11356,1365,12721,0.0151466,-0.0131779,-0.999798,0
0,0,0,0,15719,212,928,16859,2448,19307,-0.0233584,-0.0499229,-0.99848,0
0,0,0,0,11828,203,680,12711,1603,14314,0.0143525,-0.0104973,-0.999842,0
0,0,0,0,17667,324,1049,19040,2997,22037,-0.00272825,-0.0278629,-0.999608,0
