Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18366,187,624,19177,-1000,-1000,-1,-1,-1,0
0,0,0,0,6512,28,318,6858,-1000,-1000,-1,-1,-1,0
0,0,0,0,16531,51,539,17121,-1000,-1000,-1,-1,-1,0
0,0,0,0,7034,25,388,7447,-1000,-1000,-1,-1,-1,0
0,0,0,0,6439,27,357,6823,-1000,-1000,-1,-1,-1,0
0,0,0,0,9634,61,564,10259,-1000,-1000,-1,-1,-1,0
0,0,0,0,12651,86,698,13435,-1000,-1000,-1,-1,-1,0
0,0,0,0,11942,117,681,12740,-1000,-1000,-1,-1,-1,0
0,0,0,0,9441,111,516,10068,-1000,-1000,-1,-1,-1,0
0,0,0,0,9585,48,511,10144,-1000,-1000,-1,-1,-1,0
0,0,0,0,18552,105,747,19404,-1000,-1000,-1,-1,-1,0
0,0,0,0,7999,71,460,8530,-1000,-1000,-1,-1,-1,0
0,0,0,0,7875,44,464,8383,-1000,-1000,-1,-1,-1,0
0,0,0,0,16621,84,556,17261,-1000,-1000,-1,-1,-1,0
0,0,0,0,6840,48,370,7258,-1000,-1000,-1,-1,-1,0
0,0,0,0,8011,74,437,8522,-1000,-1000,-1,-1,-1,0
0,0,0,0,18257,79,729,19065,-1000,-1000,-1,-1,-1,0
0,0,0,0,7829,43,372,8244,-1000,-1000,-1,-1,-1,0
0,0,0,0,6414,36,369,6819,-1000,-1000,-1,-1,-1,0
0,0,0,0,19594,94,776,20464,-1000,-1000,-1,-1,-1,0
0,0,0,0,8024,29,486,8539,-1000,-1000,-1,-1,-1,0
0,0,0,0,7364,34,464,7862,-1000,-1000,-1,-1,-1,0
0,0,0,0,18547,49,706,19302,-1000,-1000,-1,-1,-1,0
0,0,0,0,6528,37,395,6960,-1000,-1000,-1,-1,-1,0
0,0,0,0,18707,51,749,19507,-1000,-1000,-1,-1,-1,0
0,0,0,0,7206,48,399,7653,-1000,-1000,-1,-1,-1,0
0,0,0,0,4882,33,262,5177,-1000,-1000,-1,-1,-1,0
0,0,0,0,4855,20,280,5155,-1000,-1000,-1,-1,-1,0
0,0,0,0,15565,75,1063,16703,-1000,-1000,-1,-1,-1,0
0,0,0,0,13775,43,539,14357,-1000,-1000,-1,-1,-1,0
0,0,0,0,6634,31,370,7035,-1000,-1000,-1,-1,-1,0
0,0,0,0,15335,63,904,16302,-1000,-1000,-1,-1,-1,0
0,0,0,0,11216,41,634,11891,-1000,-1000,-1,-1,-1,0
0,0,0,0,8923,32,526,9481,-1000,-1000,-1,-1,-1,0
0,0,0,0,13705,115,774,14594,-1000,-1000,-1,-1,-1,0
0,0,0,0,8353,86,468,8907,-1000,-1000,-1,-1,-1,0
