Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,20196,150,681,21027,1960,22987,-0.244067,0.0127166,-0.969675,0
0,0,0,0,7153,71,466,7690,973,8663,0.215267,0.0372285,-0.975846,0
0,0,0,0,7186,89,388,7663,915,8578,-0.0640582,-0.000170024,-0.997946,0
0,0,0,0,8481,158,519,9158,1147,10305,0.0496356,0.0322549,-0.998246,0
0,0,0,0,9723,141,555,10419,1250,11669,-0.0791593,-0.0542704,-0.995384,0
0,0,0,0,9563,109,431,10103,1411,11514,0.0344468,0.039044,-0.998644,0
0,0,0,0,7399,106,385,7890,1094,8984,-0.0927828,-0.109076,-0.989694,0
0,0,0,0,7388,126,530,8044,1972,10016,0.229346,0.367513,-0.901296,0
0,0,0,0,7543,109,380,8032,-1000,-1000,-1,-1,-1,0
0,0,0,0,9809,89,503,10401,-1000,-1000,-1,-1,-1,0
0,0,0,0,8550,159,470,9179,-1000,-1000,-1,-1,-1,0
0,0,0,0,7439,53,428,7920,1438,9358,-0.0262943,-0.102497,-0.994386,0
0,0,0,0,6695,131,387,7213,747,7960,-0.127506,-0.0939129,-0.987382,0
0,0,0,0,21004,274,835,22113,1479,23592,0.278055,0.483524,-0.829994,0
0,0,0,0,8620,58,571,9249,-1000,-1000,-1,-1,-1,0
0,0,0,0,12395,106,757,13258,-1000,-1000,-1,-1,-1,0
0,0,0,0,12557,69,517,13143,-1000,-1000,-1,-1,-1,0
0,0,0,0,6609,50,368,7027,1909,8936,0.0831633,0.701037,-0.708259,0
0,0,0,0,6517,54,474,7045,-1000,-1000,-1,-1,-1,0
0,0,0,0,11194,117,613,11924,-1000,-1000,-1,-1,-1,0
0,0,0,0,15036,71,797,15904,-1000,-1000,-1,-1,-1,0
0,0,0,0,24777,63,732,25572,-1000,-1000,-1,-1,-1,0
0,0,0,0,7974,39,339,8352,-1000,-1000,-1,-1,-1,0
0,0,0,0,22653,75,641,23369,-1000,-1000,-1,-1,-1,0
0,0,0,0,7738,47,367,8152,-1000,-1000,-1,-1,-1,0
0,0,0,0,6587,44,340,6971,-1000,-1000,-1,-1,-1,0
0,0,0,0,21551,69,661,22281,-1000,-1000,-1,-1,-1,0
0,0,0,0,7818,56,439,8313,-1000,-1000,-1,-1,-1,0
0,0,0,0,6545,31,357,6933,2046,8979,0.0384654,-0.0709759,-0.996736,0
0,0,0,0,19831,86,628,20545,-1000,-1000,-1,-1,-1,0
0,0,0,0,7134,74,352,7560,-1000,-1000,-1,-1,-1,0
0,0,0,0,21948,83,603,22634,-1000,-1000,-1,-1,-1,0
0,0,0,0,8104,55,367,8526,-1000,-1000,-1,-1,-1,0
0,0,0,0,17729,114,523,18366,-1000,-1000,-1,-1,-1,0
0,0,0,0,6991,49,349,7389,-1000,-1000,-1,-1,-1,0
0,0,0,0,12673,112,483,13268,-1000,-1000,-1,-1,-1,0
0,0,0,0,6580,54,330,6964,-1000,-1000,-1,-1,-1,0
0,0,0,0,7366,64,322,7752,-1000,-1000,-1,-1,-1,0
0,0,0,0,7194,61,385,7640,-1000,-1000,-1,-1,-1,0
0,0,0,0,18535,96,622,19253,-1000,-1000,-1,-1,-1,0
0,0,0,0,7174,53,394,7621,-1000,-1000,-1,-1,-1,0
0,0,0,0,7207,49,409,7665,-1000,-1000,-1,-1,-1,0
0,0,0,0,9591,149,525,10265,-1000,-1000,-1,-1,-1,0
0,0,0,0,14906,114,804,15824,-1000,-1000,-1,-1,-1,0
0,0,0,0,10570,162,691,11423,-1000,-1000,-1,-1,-1,0
0,0,0,0,8680,108,508,9296,-1000,-1000,-1,-1,-1,0
0,0,0,0,18610,136,593,19339,-1000,-1000,-1,-1,-1,0
0,0,0,0,7536,81,393,8010,-1000,-1000,-1,-1,-1,0
0,0,0,0,15430,164,841,16435,-1000,-1000,-1,-1,-1,0
