Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,18783,115,749,19647,1605,21252,0.0224824,-0.108326,-0.993861,0
0,0,0,0,9817,86,547,10450,1252,11702,0.0391809,-0.177062,-0.98342,0
0,0,0,0,12197,111,700,13008,1911,14919,-0.00350206,0.0774413,-0.996991,0
0,0,0,0,12002,183,668,12853,4005,16858,0.0175639,-0.143872,-0.98944,0
0,0,0,0,9653,107,521,10281,1599,11880,0.0433771,-0.166091,-0.985156,0
0,0,0,0,19269,165,1075,20509,2909,23418,0.0337928,-0.141767,-0.989323,0
0,0,0,0,9769,94,547,10410,1588,11998,0.0229144,-0.17209,-0.984815,0
0,0,0,0,18913,256,1044,20213,2182,22395,0.0308193,-0.118203,-0.992511,0
0,0,0,0,9886,109,549,10544,1267,11811,0.0183711,-0.178272,-0.98381,0
0,0,0,0,18790,226,888,19904,2402,22306,-0.0239146,0.185304,-0.98239,0
0,0,0,0,9892,146,548,10586,1629,12215,0.025509,-0.160064,-0.986777,0
0,0,0,0,19239,181,1130,20550,2172,22722,0.0391258,-0.144813,-0.988685,0
0,0,0,0,12738,79,554,13371,1821,15192,0.0383795,-0.160496,-0.98629,0
0,0,0,0,9532,101,539,10172,1739,11911,0.030888,-0.140215,-0.989639,0
0,0,0,0,14148,175,775,15098,2149,17247,0.0349313,-0.174504,-0.984037,0
0,0,0,0,18425,169,721,19315,2238,21553,-0.0200393,0.13806,-0.990221,0
0,0,0,0,9715,139,548,10402,-1000,-1000,-1,-1,-1,0
0,0,0,0,9894,97,532,10523,-1000,-1000,-1,-1,-1,0
0,0,0,0,14149,94,779,15022,1241,16263,-0.00660698,-0.0231662,-0.99971,0
0,0,0,0,19159,158,722,20039,2134,22173,0.0109655,-0.110129,-0.993857,0
0,0,0,0,10056,171,565,10792,1441,12233,0.0234746,-0.192547,-0.981007,0
0,0,0,0,11447,241,623,12311,2396,14707,0.00431751,-0.145919,-0.989287,0
0,0,0,0,14055,199,778,15032,1793,16825,0.022141,-0.189827,-0.981568,0
0,0,0,0,14342,139,776,15257,2378,17635,0.0311634,-0.16435,-0.98591,0
0,0,0,0,10541,103,582,11226,1384,12610,0.0200048,-0.183421,-0.982831,0
0,0,0,0,18956,264,739,19959,2612,22571,0.00566376,-0.178185,-0.983981,0
0,0,0,0,9869,118,552,10539,1763,12302,0.0280267,-0.176007,-0.98399,0
0,0,0,0,11176,134,624,11934,1731,13665,-0.00504456,-0.180644,-0.983535,0
0,0,0,0,18648,176,721,19545,1963,21508,-0.00580186,-0.183088,-0.983079,0
0,0,0,0,9879,121,561,10561,1786,12347,0.0126712,-0.179894,-0.983604,0
0,0,0,0,11110,145,643,11898,1458,13356,0.0223191,-0.17862,-0.983665,0
0,0,0,0,19089,153,719,19961,2090,22051,0.0636736,-0.169063,-0.983546,0
0,0,0,0,9933,95,548,10576,1042,11618,0.0418934,-0.176166,-0.983468,0
0,0,0,0,14241,134,776,15151,2115,17266,-0.0178352,-0.18235,-0.983072,0
0,0,0,0,13887,161,776,14824,1712,16536,0.00732336,-0.182903,-0.983104,0
0,0,0,0,16593,121,681,17395,1964,19359,0.0207692,-0.177524,-0.983897,0
0,0,0,0,9504,164,517,10185,1358,11543,-0.0011309,-0.181428,-0.983404,0
