Downsample[ns],BuildFilTree[ns],SearchFil[ns],DeleteFil[ns],BuildTreeSub[ns],SearchSub[ns],DeleteSub[ns],PreProcTotal[ns],Plane[ns],Total[ns],nx,ny,nz,planeCount
0,0,0,0,21320,306,812,22438,1276,23714,-0.065022,-0.0726414,-0.995236,0
0,0,0,0,8608,129,401,9138,805,9943,-0.0705858,-0.0477038,-0.996365,0
0,0,0,0,9176,145,502,9823,1059,10882,-0.0687156,-0.0559728,-0.996065,0
0,0,0,0,19517,210,591,20318,1248,21566,-0.0701697,-0.0452235,-0.99651,0
0,0,0,0,8710,137,481,9328,985,10313,-0.068349,-0.0522372,-0.996293,0
0,0,0,0,9706,158,606,10470,1214,11684,-0.0714872,-0.0513592,-0.996118,0
0,0,0,0,9700,179,526,10405,1130,11535,-0.0663614,-0.0503374,-0.996525,0
0,0,0,0,14683,217,768,15668,1229,16897,-0.0769321,-0.0606328,-0.995191,0
0,0,0,0,10935,185,592,11712,1257,12969,-0.0668168,-0.0504896,-0.996487,0
0,0,0,0,10418,126,488,11032,1014,12046,-0.0722604,-0.0479992,-0.99623,0
0,0,0,0,9556,164,531,10251,1099,11350,-0.0665712,-0.0499486,-0.996531,0
0,0,0,0,18758,331,930,20019,1589,21608,-0.0700081,-0.0484624,-0.996369,0
0,0,0,0,12713,192,556,13461,1243,14704,-0.0682201,-0.0531836,-0.996252,0
0,0,0,0,10011,216,610,10837,1136,11973,-0.0649052,-0.0485159,-0.996711,0
0,0,0,0,17903,173,718,18794,1555,20349,-0.0690247,-0.0483941,-0.996441,0
0,0,0,0,10448,161,569,11178,1137,12315,-0.0639792,-0.0473882,-0.996826,0
0,0,0,0,12754,200,669,13623,1384,15007,-0.0729472,-0.0519753,-0.995981,0
0,0,0,0,15735,174,626,16535,1378,17913,-0.0682854,-0.046944,-0.996561,0
0,0,0,0,9210,104,504,9818,1250,11068,-0.0686146,-0.0476764,-0.996503,0
0,0,0,0,16720,182,912,17814,1465,19279,-0.0662445,-0.0472139,-0.996686,0
0,0,0,0,17498,212,591,18301,1259,19560,-0.0734399,-0.0521118,-0.995937,0
0,0,0,0,8990,116,478,9584,1009,10593,-0.0673523,-0.0516061,-0.996394,0
0,0,0,0,15487,156,873,16516,1767,18283,-0.072953,-0.0520799,-0.995975,0
0,0,0,0,11780,144,644,12568,1359,13927,-0.0631666,-0.0486415,-0.996817,0
0,0,0,0,16042,234,592,16868,1238,18106,-0.0721026,-0.0515198,-0.996066,0
0,0,0,0,7402,112,402,7916,866,8782,-0.0669787,-0.0488277,-0.996559,0
0,0,0,0,9878,188,536,10602,1086,11688,-0.0676574,-0.0469742,-0.996602,0
0,0,0,0,18957,252,634,19843,1315,21158,-0.0695768,-0.0516597,-0.996238,0
0,0,0,0,8756,123,479,9358,1020,10378,-0.0732796,-0.0570134,-0.995681,0
0,0,0,0,18880,167,773,19820,1249,21069,-0.0674227,-0.0496639,-0.996488,0
0,0,0,0,8735,131,489,9355,1073,10428,-0.072221,-0.0541566,-0.995917,0
0,0,0,0,11965,177,629,12771,1282,14053,-0.0676602,-0.0488338,-0.996512,0
0,0,0,0,19545,196,777,20518,1299,21817,-0.0715891,-0.0529968,-0.996025,0
0,0,0,0,8908,138,481,9527,1020,10547,-0.0641424,-0.0481204,-0.99678,0
0,0,0,0,11914,176,626,12716,1397,14113,-0.0728562,-0.0513484,-0.99602,0
0,0,0,0,18471,236,718,19425,1529,20954,-0.0622691,-0.0503501,-0.996789,0
0,0,0,0,19877,255,787,20919,1672,22591,-0.0716605,-0.0491005,-0.99622,0
0,0,0,0,7996,139,400,8535,896,9431,-0.0640825,-0.0554758,-0.996401,0
0,0,0,0,5493,83,275,5851,561,6412,-0.0739029,-0.0480902,-0.996105,0
0,0,0,0,5340,98,296,5734,599,6333,-0.0647904,-0.0539776,-0.996438,0
0,0,0,0,14291,175,766,15232,1584,16816,-0.0735126,-0.0499184,-0.996044,0
0,0,0,0,19810,206,792,20808,1322,22130,-0.0649476,-0.0540602,-0.996423,0
0,0,0,0,8744,123,481,9348,1015,10363,-0.0750047,-0.0525904,-0.995796,0
0,0,0,0,12602,207,668,13477,1498,14975,-0.0676226,-0.0521,-0.99635,0
0,0,0,0,19139,213,768,20120,1234,21354,-0.0668806,-0.0504044,-0.996487,0
0,0,0,0,8757,109,478,9344,1045,10389,-0.0693895,-0.0508551,-0.996293,0
0,0,0,0,15982,239,837,17058,1395,18453,-0.0736711,-0.0534757,-0.995848,0
0,0,0,0,21184,170,777,22131,1577,23708,-0.0710765,-0.0513317,-0.996149,0
0,0,0,0,8342,138,405,8885,790,9675,-0.0694559,-0.0504885,-0.996307,0
0,0,0,0,5401,86,271,5758,592,6350,-0.0724272,-0.056487,-0.995773,0
0,0,0,0,6296,84,367,6747,751,7498,-0.0622588,-0.0479419,-0.996908,0
0,0,0,0,18873,229,1066,20168,2023,22191,-0.0733081,-0.0555737,-0.99576,0
0,0,0,0,12828,157,556,13541,1182,14723,-0.0641502,-0.0499789,-0.996688,0
0,0,0,0,10286,130,529,10945,1172,12117,-0.0700706,-0.0525479,-0.996157,0
0,0,0,0,20930,187,778,21895,1788,23683,-0.0731152,-0.0552538,-0.995792,0
0,0,0,0,10056,124,477,10657,834,11491,-0.06688,-0.0454557,-0.996725,0
0,0,0,0,9867,167,528,10562,1260,11822,-0.0700347,-0.0519375,-0.996192,0
0,0,0,0,18254,222,734,19210,1644,20854,-0.0706716,-0.0539053,-0.996042,0
0,0,0,0,10524,171,562,11257,1238,12495,-0.0721092,-0.0565324,-0.995793,0
0,0,0,0,15613,273,837,16723,1698,18421,-0.0654223,-0.0496773,-0.99662,0
0,0,0,0,11366,121,626,12113,1333,13446,-0.0733737,-0.0502033,-0.99604,0
0,0,0,0,14296,170,771,15237,1404,16641,-0.0672374,-0.053383,-0.996308,0
0,0,0,0,16816,269,912,17997,1676,19673,-0.0729742,-0.0492345,-0.996118,0
0,0,0,0,12471,117,670,13258,1267,14525,-0.0705081,-0.0534964,-0.996075,0
0,0,0,0,10124,113,528,10765,1186,11951,-0.0716058,-0.0566647,-0.995822,0
0,0,0,0,14081,246,769,15096,1443,16539,-0.0663639,-0.0480325,-0.996639,0
0,0,0,0,11316,180,597,12093,1288,13381,-0.0716251,-0.0532426,-0.99601,0
0,0,0,0,19618,256,779,20653,1668,22321,-0.0694122,-0.0516749,-0.996248,0
0,0,0,0,11120,147,600,11867,1288,13155,-0.0718837,-0.0564176,-0.995816,0
0,0,0,0,13582,258,718,14558,1491,16049,-0.0650573,-0.0512703,-0.996564,0
0,0,0,0,13326,206,716,14248,1293,15541,-0.0722344,-0.0548178,-0.99588,0
0,0,0,0,12532,201,671,13404,1471,14875,-0.067207,-0.0513159,-0.996419,0
0,0,0,0,15940,236,629,16805,1399,18204,-0.0729207,-0.0554686,-0.995794,0
0,0,0,0,9316,152,501,9969,1084,11053,-0.067445,-0.051092,-0.996414,0
0,0,0,0,17148,222,917,18287,2044,20331,-0.0678348,-0.0518414,-0.996349,0
0,0,0,0,12509,187,658,13354,1186,14540,-0.070858,-0.0541849,-0.996014,0
0,0,0,0,11744,179,639,12562,1422,13984,-0.0678082,-0.0546244,-0.996202,0
0,0,0,0,14727,251,774,15752,1444,17196,-0.0684101,-0.0523341,-0.996284,0
0,0,0,0,10970,207,597,11774,1232,13006,-0.0695582,-0.0543684,-0.996095,0
0,0,0,0,16876,190,668,17734,1386,19120,-0.0700894,-0.0546321,-0.996044,0
0,0,0,0,9800,138,527,10465,1120,11585,-0.0666653,-0.0511443,-0.996464,0
0,0,0,0,9930,163,570,10663,1172,11835,-0.0723089,-0.0511715,-0.996068,0
0,0,0,0,18420,211,729,19360,1421,20781,-0.0689891,-0.0526685,-0.996226,0
0,0,0,0,8364,134,456,8954,1012,9966,-0.0693957,-0.0513795,-0.996265,0
0,0,0,0,18839,211,1003,20053,1556,21609,-0.0667154,-0.0495753,-0.99654,0
0,0,0,0,10153,171,556,10880,1196,12076,-0.0697286,-0.0524966,-0.996184,0
0,0,0,0,10427,164,649,11240,1253,12493,-0.0688371,-0.0523622,-0.996253,0
0,0,0,0,15961,240,837,17038,1451,18489,-0.0712367,-0.05499,-0.995943,0
0,0,0,0,18152,142,589,18883,1318,20201,-0.0718703,-0.0545528,-0.995921,0
0,0,0,0,7665,165,561,8391,869,9260,-0.0673414,-0.0513548,-0.996407,0
0,0,0,0,11655,157,627,12439,1338,13777,-0.0733966,-0.0544211,-0.995817,0
0,0,0,0,14325,228,779,15332,1416,16748,-0.0677995,-0.0520374,-0.996341,0
0,0,0,0,11442,143,603,12188,1350,13538,-0.0692023,-0.0521268,-0.99624,0
0,0,0,0,16706,182,670,17558,1571,19129,-0.06603,-0.0513088,-0.996497,0
0,0,0,0,9928,162,528,10618,1160,11778,-0.0730344,-0.0546002,-0.995834,0
0,0,0,0,11556,203,627,12386,1344,13730,-0.0675552,-0.0527918,-0.996318,0
0,0,0,0,20006,263,773,21042,1660,22702,-0.0729344,-0.0545267,-0.995845,0
0,0,0,0,9021,145,482,9648,1025,10673,-0.068268,-0.0559616,-0.996096,0
0,0,0,0,11468,194,644,12306,1344,13650,-0.0736799,-0.0561944,-0.995698,0
0,0,0,0,18970,171,749,19890,1477,21367,-0.0679205,-0.0345736,-0.997091,0
0,0,0,0,10745,161,585,11491,938,12429,-0.0721062,-0.0034207,-0.997391,0
0,0,0,0,18127,188,590,18905,1210,20115,-0.0693972,0.0746933,-0.994789,0
0,0,0,0,9684,110,477,10271,1399,11670,-0.0945819,0.17901,-0.97929,0
0,0,0,0,13089,154,705,13948,1823,15771,-0.115292,0.224456,-0.96764,0
0,0,0,0,13357,258,792,14407,1169,15576,-0.131865,0.364909,-0.921658,0
0,0,0,0,10518,144,549,11211,1713,12924,-0.168866,0.494488,-0.852623,0
0,0,0,0,14911,177,947,16035,1706,17741,-0.111465,0.576837,-0.809219,0
0,0,0,0,10669,159,576,11404,1500,12904,-0.105226,0.652511,-0.750438,0
0,0,0,0,22797,170,741,23708,-1000,-1000,-1,-1,-1,0
0,0,0,0,8178,89,368,8635,-1000,-1000,-1,-1,-1,0
0,0,0,0,5555,52,253,5860,847,6707,-0.106968,0.691445,-0.714466,0
0,0,0,0,5057,54,264,5375,-1000,-1000,-1,-1,-1,0
0,0,0,0,12470,160,632,13262,-1000,-1000,-1,-1,-1,0
0,0,0,0,12664,152,636,13452,-1000,-1000,-1,-1,-1,0
0,0,0,0,15572,216,819,16607,-1000,-1000,-1,-1,-1,0
0,0,0,0,9376,126,483,9985,1871,11856,-0.162475,0.645675,-0.746128,0
0,0,0,0,17380,119,870,18369,-1000,-1000,-1,-1,-1,0
0,0,0,0,13486,102,726,14314,-1000,-1000,-1,-1,-1,0
0,0,0,0,10455,74,518,11047,-1000,-1000,-1,-1,-1,0
0,0,0,0,15412,125,754,16291,-1000,-1000,-1,-1,-1,0
0,0,0,0,11787,92,615,12494,-1000,-1000,-1,-1,-1,0
0,0,0,0,16116,130,837,17083,-1000,-1000,-1,-1,-1,0
0,0,0,0,9847,80,504,10431,-1000,-1000,-1,-1,-1,0
0,0,0,0,11302,90,574,11966,-1000,-1000,-1,-1,-1,0
0,0,0,0,11017,89,587,11693,-1000,-1000,-1,-1,-1,0
0,0,0,0,12620,110,757,13487,-1000,-1000,-1,-1,-1,0
0,0,0,0,8803,83,510,9396,-1000,-1000,-1,-1,-1,0
0,0,0,0,17676,173,965,18814,7778,26592,0.127158,-0.397475,-0.90876,0
0,0,0,0,9113,70,487,9670,-1000,-1000,-1,-1,-1,0
0,0,0,0,5875,55,319,6249,-1000,-1000,-1,-1,-1,0
0,0,0,0,19193,337,993,20523,-1000,-1000,-1,-1,-1,0
0,0,0,0,9951,124,500,10575,1317,11892,0.161673,-0.492656,-0.855074,0
0,0,0,0,20059,202,699,20960,2115,23075,0.162436,-0.531539,-0.831313,0
0,0,0,0,10944,132,566,11642,1787,13429,0.0891564,-0.452083,-0.887509,0
0,0,0,0,10949,140,533,11622,1459,13081,0.0678089,-0.203391,-0.976747,0
0,0,0,0,11251,133,543,11927,1549,13476,0.0391161,-0.163373,-0.985788,0
0,0,0,0,13256,113,657,14026,2197,16223,0.0704446,-0.104111,-0.992068,0
0,0,0,0,13772,141,662,14575,4294,18869,0.00637973,-0.0496461,-0.998747,0
0,0,0,0,10693,104,546,11343,-1000,-1000,-1,-1,-1,0
0,0,0,0,8852,113,429,9394,-1000,-1000,-1,-1,-1,0
0,0,0,0,14834,186,696,15716,-1000,-1000,-1,-1,-1,0
0,0,0,0,10700,112,535,11347,-1000,-1000,-1,-1,-1,0
0,0,0,0,21019,202,756,21977,2466,24443,0.154417,0.285813,-0.945763,0
0,0,0,0,7998,91,378,8467,2307,10774,-0.183459,0.139143,-0.97313,0
